run:      1; obh2 = 2.207E-02
 computational parameters:
   cy = 0.003/  ct = 0.000/  initial temp = 3.48E+02/  final temp = 1.00E-02/  smallest abundances allowed = 1.00E-25
 model parameters:
   g =  0.00/  tau = 885.70/  # nu =  3.00/  lambda =  0.000E+00/  xi-e =  0.000E+00/  xi-m =  0.000E+00/  xi-t =  0.000E+00
it =    306

    temp        n/H          p          D/H         T/H        3He/H        4He        6Li/H       7Li/H       7Be/H
 2.018E-01   1.897E-01   8.406E-01   2.967E-10   9.385E-12   1.126E-12   2.137E-10   1.190E-25   1.190E-25   1.190E-25
 1.982E-01   1.892E-01   8.409E-01   3.473E-10   1.597E-11   1.796E-12   3.608E-10   1.189E-25   1.189E-25   1.189E-25
 1.946E-01   1.887E-01   8.412E-01   4.108E-10   2.652E-11   2.785E-12   6.073E-10   1.189E-25   1.189E-25   1.189E-25
 1.908E-01   1.882E-01   8.416E-01   4.938E-10   4.279E-11   4.167E-12   1.019E-09   1.188E-25   1.188E-25   1.188E-25
 1.867E-01   1.876E-01   8.420E-01   6.081E-10   6.691E-11   5.986E-12   1.705E-09   1.188E-25   1.188E-25   1.188E-25
 1.821E-01   1.869E-01   8.425E-01   7.769E-10   1.018E-10   8.247E-12   2.843E-09   1.187E-25   1.187E-25   1.187E-25
 1.769E-01   1.861E-01   8.431E-01   1.046E-09   1.530E-10   1.099E-11   4.726E-09   1.186E-25   1.186E-25   1.186E-25
 1.709E-01   1.851E-01   8.438E-01   1.508E-09   2.333E-10   1.447E-11   7.836E-09   1.185E-25   1.185E-25   1.185E-25
 1.641E-01   1.839E-01   8.446E-01   2.355E-09   3.723E-10   1.932E-11   1.296E-08   1.184E-25   1.184E-25   1.184E-25
 1.571E-01   1.826E-01   8.456E-01   3.881E-09   6.167E-10   2.624E-11   2.092E-08   1.183E-25   1.627E-25   1.183E-25
 1.510E-01   1.814E-01   8.465E-01   6.287E-09   9.972E-10   3.508E-11   3.168E-08   1.181E-25   6.883E-25   1.181E-25
 1.456E-01   1.802E-01   8.473E-01   9.945E-09   1.570E-09   4.614E-11   4.581E-08   1.180E-25   2.640E-24   1.180E-25
 1.409E-01   1.790E-01   8.482E-01   1.541E-08   2.417E-09   5.988E-11   6.422E-08   1.179E-25   9.385E-24   1.179E-25
 1.366E-01   1.779E-01   8.490E-01   2.346E-08   3.648E-09   7.680E-11   8.806E-08   1.178E-25   3.135E-23   1.178E-25
 1.327E-01   1.768E-01   8.498E-01   3.515E-08   5.411E-09   9.750E-11   1.187E-07   2.524E-25   9.939E-23   1.177E-25
 1.292E-01   1.757E-01   8.505E-01   5.192E-08   7.905E-09   1.226E-10   1.579E-07   6.215E-25   3.013E-22   1.176E-25
 1.260E-01   1.747E-01   8.513E-01   7.576E-08   1.139E-08   1.530E-10   2.079E-07   1.477E-24   8.783E-22   1.175E-25
 1.231E-01   1.737E-01   8.520E-01   1.093E-07   1.620E-08   1.893E-10   2.712E-07   3.399E-24   2.473E-21   1.174E-25
 1.203E-01   1.727E-01   8.528E-01   1.561E-07   2.278E-08   2.327E-10   3.511E-07   7.584E-24   6.749E-21   1.173E-25
 1.178E-01   1.717E-01   8.535E-01   2.208E-07   3.169E-08   2.840E-10   4.517E-07   1.644E-23   1.791E-20   1.172E-25
 1.154E-01   1.707E-01   8.542E-01   3.098E-07   4.362E-08   3.444E-10   5.781E-07   3.463E-23   4.628E-20   1.790E-25
 1.132E-01   1.697E-01   8.549E-01   4.314E-07   5.947E-08   4.149E-10   7.367E-07   7.102E-23   1.168E-19   3.447E-25
 1.111E-01   1.688E-01   8.556E-01   5.963E-07   8.027E-08   4.967E-10   9.355E-07   1.419E-22   2.880E-19   6.540E-25
 1.092E-01   1.678E-01   8.563E-01   8.189E-07   1.073E-07   5.905E-10   1.185E-06   2.764E-22   6.949E-19   1.224E-24
 1.073E-01   1.669E-01   8.570E-01   1.118E-06   1.420E-07   6.970E-10   1.499E-06   5.260E-22   1.642E-18   2.259E-24
 1.055E-01   1.660E-01   8.576E-01   1.517E-06   1.860E-07   8.163E-10   1.896E-06   9.796E-22   3.798E-18   4.118E-24
 1.039E-01   1.651E-01   8.583E-01   2.048E-06   2.410E-07   9.481E-10   2.400E-06   1.789E-21   8.605E-18   7.412E-24
