
run:      1; obh2 = 2.207E-02
    Temp          D/H         T/H        3He/H       4He/H
   9.328E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.918E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.526E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.151E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.792E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.449E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   7.122E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.808E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.509E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   6.223E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.949E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.687E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.437E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   5.198E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.969E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.751E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.542E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.342E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   4.151E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.968E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.794E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.627E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.467E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.315E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.169E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   3.029E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.896E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.769E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.647E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.531E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.419E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.313E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.211E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.114E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   2.021E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.932E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.847E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.766E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.688E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.614E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.543E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.475E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.410E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.348E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.289E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.232E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.178E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.126E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.076E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   1.029E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   9.839E-04   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   9.406E-04   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.992E-04   0.000E+00   0.000E+00   0.000E+00   0.000E+00
   8.617E-04   0.000E+00   0.000E+00   0.000E+00   0.000E+00
