 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                al31          al32          al33          al34          al35          al36          al37          al38 
     79  3.934936577490E-02  6.735226E-13  2.348851E-15  6.660622E-17  2.290107E-20  2.434830E-22  2.807173E-26  8.192168E-29  1.000000E-30
     80  3.961640452516E-02  7.906552E-13  2.795308E-15  8.095208E-17  2.799000E-20  3.038207E-22  3.519264E-26  1.043721E-28  1.000000E-30
     81  3.991996766101E-02  9.369413E-13  3.364650E-15  9.980975E-17  3.473264E-20  3.860499E-22  4.495859E-26  1.358169E-28  1.000000E-30
     82  4.019473378510E-02  1.079557E-12  3.932277E-15  1.192232E-16  4.173217E-20  4.739601E-22  5.546820E-26  1.704022E-28  1.000000E-30
     83  4.046928694587E-02  1.229723E-12  4.543558E-15  1.408064E-16  4.957818E-20  5.753843E-22  6.767121E-26  2.114193E-28  1.000000E-30
     84  4.074955599116E-02  1.386607E-12  5.198602E-15  1.647604E-16  5.836438E-20  6.925426E-22  8.186433E-26  2.602106E-28  1.000000E-30
     85  4.099011663524E-02  1.519599E-12  5.769369E-15  1.864129E-16  6.638041E-20  8.028532E-22  9.532093E-26  3.075201E-28  1.000000E-30
     86  4.118445936105E-02  1.622899E-12  6.224714E-15  2.042914E-16  7.305606E-20  8.973762E-22  1.069237E-25  3.491330E-28  1.000000E-30
     87  4.137235583218E-02  1.716817E-12  6.650342E-15  2.215850E-16  7.956741E-20  9.921254E-22  1.186230E-25  3.918844E-28  1.000000E-30
     88  4.152714488067E-02  1.788220E-12  6.983672E-15  2.356099E-16  8.489212E-20  1.071701E-21  1.285049E-25  4.286436E-28  1.000000E-30
     89  4.165981986900E-02  1.844162E-12  7.252760E-15  2.473174E-16  8.937172E-20  1.140299E-21  1.370676E-25  4.610066E-28  1.000000E-30
     90  4.188596337322E-02  1.926311E-12  7.666948E-15  2.662465E-16  9.669493E-20  1.256292E-21  1.516483E-25  5.173068E-28  1.000000E-30
     91  4.208159634323E-02  1.982207E-12  7.971627E-15  2.812240E-16  1.025798E-19  1.353836E-21  1.640230E-25  5.664215E-28  1.000000E-30
     92  4.230932596557E-02  2.028026E-12  8.255007E-15  2.966058E-16  1.087412E-19  1.461614E-21  1.778398E-25  6.229645E-28  1.000000E-30
     93  4.251598135750E-02  2.050935E-12  8.440388E-15  3.083440E-16  1.135681E-19  1.552006E-21  1.895742E-25  6.727292E-28  1.000000E-30
     94  4.274368410830E-02  2.055865E-12  8.563695E-15  3.186092E-16  1.179496E-19  1.641559E-21  2.013773E-25  7.248930E-28  1.000000E-30
     95  4.294191711445E-02  2.043806E-12  8.603711E-15  3.252080E-16  1.209304E-19  1.709963E-21  2.105587E-25  7.674323E-28  1.000000E-30
     96  4.316569238790E-02  2.014166E-12  8.580506E-15  3.301585E-16  1.233925E-19  1.776244E-21  2.196529E-25  8.119004E-28  1.000000E-30
     97  4.339365876136E-02  1.969180E-12  8.491264E-15  3.326778E-16  1.249767E-19  1.832026E-21  2.275385E-25  8.531646E-28  1.000000E-30
     98  4.362382833621E-02  1.911789E-12  8.345402E-15  3.329471E-16  1.257325E-19  1.877116E-21  2.341681E-25  8.907894E-28  1.000000E-30
     99  4.384703699487E-02  1.847724E-12  8.162146E-15  3.313829E-16  1.257787E-19  1.911295E-21  2.394558E-25  9.237392E-28  1.000000E-30
    100  4.408801045744E-02  1.772353E-12  7.930331E-15  3.280802E-16  1.252115E-19  1.939229E-21  2.440861E-25  9.559275E-28  1.000000E-30
    101  4.430336182063E-02  1.701391E-12  7.700654E-15  3.239528E-16  1.242464E-19  1.957186E-21  2.473718E-25  9.819340E-28  1.000000E-30
    102  4.453208602613E-02  1.624461E-12  7.442742E-15  3.187028E-16  1.228757E-19  1.970713E-21  2.501864E-25  1.007416E-27  1.000000E-30
    103  4.474836808964E-02  1.551194E-12  7.189769E-15  3.130746E-16  1.213087E-19  1.978960E-21  2.522921E-25  1.029756E-27  1.000000E-30
    104  4.497736119052E-02  1.473640E-12  6.914848E-15  3.065104E-16  1.193969E-19  1.983261E-21  2.539753E-25  1.051654E-27  1.000000E-30
    105  4.517199675598E-02  1.407772E-12  6.675514E-15  3.004345E-16  1.175619E-19  1.983106E-21  2.549300E-25  1.068654E-27  1.000000E-30
    106  4.536038532241E-02  1.343769E-12  6.437491E-15  2.940484E-16  1.155722E-19  1.979009E-21  2.553543E-25  1.083302E-27  1.000000E-30
    107  4.552484255766E-02  1.287431E-12  6.223185E-15  2.879911E-16  1.136311E-19  1.971583E-21  2.552314E-25  1.094197E-27  1.000000E-30
    108  4.581275722245E-02  1.186897E-12  5.828846E-15  2.760527E-16  1.096688E-19  1.947702E-21  2.536043E-25  1.107534E-27  1.000000E-30
    109  4.603616864208E-02  1.106832E-12  5.503434E-15  2.654269E-16  1.060137E-19  1.917532E-21  2.508110E-25  1.111325E-27  1.000000E-30
    110  4.624194314299E-02  1.030735E-12  5.184363E-15  2.543199E-16  1.020832E-19  1.878111E-21  2.466898E-25  1.107845E-27  1.000000E-30
    111  4.641297951594E-02  9.666393E-13  4.908988E-15  2.442703E-16  9.845743E-20  1.837413E-21  2.421945E-25  1.099947E-27  1.000000E-30
    112  4.656990459822E-02  9.075034E-13  4.649771E-15  2.344463E-16  9.486050E-20  1.793760E-21  2.372095E-25  1.088533E-27  1.000000E-30
    113  4.671253119976E-02  8.538159E-13  4.410305E-15  2.250765E-16  9.138851E-20  1.749048E-21  2.319837E-25  1.074678E-27  1.000000E-30
    114  4.684580987606E-02  8.040014E-13  4.184708E-15  2.160049E-16  8.799359E-20  1.703237E-21  2.265375E-25  1.058813E-27  1.000000E-30
    115  4.697520204195E-02  7.562435E-13  3.965424E-15  2.069704E-16  8.458345E-20  1.655398E-21  2.207732E-25  1.040845E-27  1.000000E-30
    116  4.709649788536E-02  7.122477E-13  3.760861E-15  1.983569E-16  8.130767E-20  1.607905E-21  2.149878E-25  1.021857E-27  1.000000E-30
    117  4.721637454993E-02  6.697044E-13  3.560751E-15  1.897623E-16  7.801719E-20  1.558817E-21  2.089531E-25  1.001226E-27  1.000000E-30
    118  4.732862910872E-02  6.308720E-13  3.376129E-15  1.816878E-16  7.490721E-20  1.511242E-21  2.030586E-25  9.803879E-28  1.000000E-30
    119  4.750539400184E-02  5.720065E-13  3.092675E-15  1.690238E-16  6.999549E-20  1.433936E-21  1.933981E-25  9.450022E-28  1.000000E-30
    120  4.767210524850E-02  5.193813E-13  2.835545E-15  1.572554E-16  6.539582E-20  1.359274E-21  1.839831E-25  9.092535E-28  1.000000E-30
    121  4.783406579930E-02  4.711893E-13  2.596908E-15  1.460922E-16  6.100260E-20  1.286016E-21  1.746740E-25  8.728453E-28  1.000000E-30
    122  4.799263518131E-02  4.269209E-13  2.374901E-15  1.354912E-16  5.680390E-20  1.214251E-21  1.654912E-25  8.359855E-28  1.000000E-30
    123  4.815339657435E-02  3.848854E-13  2.161398E-15  1.250850E-16  5.265595E-20  1.141595E-21  1.561305E-25  7.974423E-28  1.000000E-30
    124  4.832264594384E-02  3.440299E-13  1.951344E-15  1.146458E-16  4.847031E-20  1.066639E-21  1.464157E-25  7.565762E-28  1.000000E-30
    125  4.849826454798E-02  3.052689E-13  1.749568E-15  1.044184E-16  4.434525E-20  9.911239E-22  1.365711E-25  7.143020E-28  1.000000E-30
    126  4.867786870736E-02  2.693337E-13  1.560145E-15  9.462542E-17  4.037215E-20  9.167959E-22  1.268261E-25  6.716186E-28  1.000000E-30
    127  4.885872256535E-02  2.367585E-13  1.386281E-15  8.545888E-17  3.663163E-20  8.453200E-22  1.174034E-25  6.295593E-28  1.000000E-30
    128  4.903755607841E-02  2.078993E-13  1.230352E-15  7.707887E-17  3.319276E-20  7.782489E-22  1.085146E-25  5.891665E-28  1.000000E-30
    129  4.921259737621E-02  1.826587E-13  1.092347E-15  6.952324E-17  3.007535E-20  7.162437E-22  1.002561E-25  5.509986E-28  1.000000E-30
    130  4.938368810460E-02  1.606451E-13  9.705968E-16  6.273732E-17  2.726093E-20  6.592062E-22  9.262295E-26  5.151558E-28  1.000000E-30
    131  4.955132280349E-02  1.414187E-13  8.630739E-16  5.663998E-17  2.471942E-20  6.067655E-22  8.557312E-26  4.815491E-28  1.000000E-30
    132  4.971624312404E-02  1.245747E-13  7.678528E-16  5.114900E-17  2.241954E-20  5.584815E-22  7.905381E-26  4.500213E-28  1.000000E-30
    133  4.987811857735E-02  1.098646E-13  6.838161E-16  4.622340E-17  2.034680E-20  5.142313E-22  7.305410E-26  4.206042E-28  1.000000E-30
    134  5.003799836445E-02  9.688990E-14  6.089005E-16  4.175919E-17  1.845912E-20  4.732288E-22  6.747011E-26  3.928200E-28  1.000000E-30
    135  5.019682549602E-02  8.545301E-14  5.421981E-16  3.772219E-17  1.674451E-20  4.353920E-22  6.229706E-26  3.667498E-28  1.000000E-30
    136  5.035511419132E-02  7.536552E-14  4.827859E-16  3.407144E-17  1.518726E-20  4.004983E-22  5.750851E-26  3.423224E-28  1.000000E-30
    137  5.051299755300E-02  6.648274E-14  4.299645E-16  3.077716E-17  1.377620E-20  3.684070E-22  5.308869E-26  3.195128E-28  1.000000E-30
    138  5.067010535678E-02  5.869869E-14  3.832419E-16  2.782084E-17  1.250479E-20  3.390750E-22  4.903505E-26  2.983621E-28  1.000000E-30
    139  5.082726902819E-02  5.186103E-14  3.418263E-16  2.516342E-17  1.135752E-20  3.122418E-22  4.531482E-26  2.787515E-28  1.000000E-30
    140  5.098506829486E-02  4.585529E-14  3.051304E-16  2.277690E-17  1.032345E-20  2.877401E-22  4.190776E-26  2.606234E-28  1.000000E-30
    141  5.114361869269E-02  4.060061E-14  2.727549E-16  2.064418E-17  9.396219E-21  2.655035E-22  3.880756E-26  2.439932E-28  1.000000E-30
    142  5.130328078870E-02  3.601797E-14  2.442992E-16  1.874716E-17  8.568978E-21  2.454495E-22  3.600558E-26  2.288648E-28  1.000000E-30
    143  5.146205644840E-02  3.209369E-14  2.197606E-16  1.709374E-17  7.846167E-21  2.277695E-22  3.353157E-26  2.154523E-28  1.000000E-30
    144  5.162089365231E-02  2.873454E-14  1.986317E-16  1.565745E-17  7.217180E-21  2.122872E-22  3.136395E-26  2.036945E-28  1.000000E-30
    145  5.177902725711E-02  2.589592E-14  1.806988E-16  1.443078E-17  6.679623E-21  1.990235E-22  2.950867E-26  1.936807E-28  1.000000E-30
    146  5.193558292952E-02  2.352475E-14  1.656807E-16  1.340027E-17  6.228324E-21  1.879158E-22  2.795933E-26  1.854199E-28  1.000000E-30
    147  5.207655208218E-02  2.173482E-14  1.543515E-16  1.262488E-17  5.889781E-21  1.796816E-22  2.681825E-26  1.795006E-28  1.000000E-30
    148  5.220437120847E-02  2.037123E-14  1.457590E-16  1.204234E-17  5.636975E-21  1.736804E-22  2.599634E-26  1.754495E-28  1.000000E-30
    149  5.240275279905E-02  1.869724E-14  1.353474E-16  1.135535E-17  5.343271E-21  1.671427E-22  2.512829E-26  1.717721E-28  1.000000E-30
    150  5.258707116153E-02  1.757479E-14  1.286055E-16  1.094363E-17  5.174672E-21  1.641395E-22  2.477821E-26  1.713936E-28  1.000000E-30
    151  5.276353482958E-02  1.684844E-14  1.245773E-16  1.074574E-17  5.104927E-21  1.640994E-22  2.486999E-26  1.739880E-28  1.000000E-30
    152  5.293536770993E-02  1.643513E-14  1.227633E-16  1.073162E-17  5.121617E-21  1.668047E-22  2.537775E-26  1.795211E-28  1.000000E-30
    153  5.310288915571E-02  1.628456E-14  1.228601E-16  1.088334E-17  5.217428E-21  1.721436E-22  2.628959E-26  1.880162E-28  1.000000E-30
    154  5.325369291828E-02  1.634228E-14  1.244188E-16  1.115643E-17  5.370173E-21  1.793063E-22  2.747793E-26  1.984835E-28  1.000000E-30
    155  5.339308966526E-02  1.654523E-14  1.270334E-16  1.152263E-17  5.567516E-21  1.879980E-22  2.890256E-26  2.107334E-28  1.000000E-30
    156  5.362726198018E-02  1.717855E-14  1.338018E-16  1.237975E-17  6.020164E-21  2.072640E-22  3.203845E-26  2.373521E-28  1.000000E-30
    157  5.383816121000E-02  1.803317E-14  1.423094E-16  1.341217E-17  6.560461E-21  2.299826E-22  3.572752E-26  2.685986E-28  1.000000E-30
    158  5.403768730975E-02  1.906360E-14  1.523343E-16  1.461610E-17  7.189308E-21  2.564803E-22  4.003372E-26  3.052525E-28  1.000000E-30
    159  5.422986619970E-02  2.023953E-14  1.637075E-16  1.598559E-17  7.905554E-21  2.869273E-22  4.499344E-26  3.478319E-28  1.000000E-30
    160  5.440569294967E-02  2.145780E-14  1.755125E-16  1.741970E-17  8.657722E-21  3.192832E-22  5.028054E-26  3.936857E-28  1.000000E-30
    161  5.456994612052E-02  2.270939E-14  1.877098E-16  1.891891E-17  9.446832E-21  3.536765E-22  5.591971E-26  4.431192E-28  1.000000E-30
    162  5.485681963417E-02  2.513064E-14  2.115830E-16  2.191062E-17  1.103057E-20  4.240864E-22  6.752360E-26  5.464544E-28  1.000000E-30
    163  5.511708850657E-02  2.756336E-14  2.360026E-16  2.505467E-17  1.270812E-20  5.006508E-22  8.022731E-26  6.619138E-28  1.000000E-30
    164  5.536560227933E-02  3.007064E-14  2.616599E-16  2.845052E-17  1.453455E-20  5.862025E-22  9.451724E-26  7.944047E-28  1.000000E-30
    165  5.559867087093E-02  3.256771E-14  2.877251E-16  3.199705E-17  1.645726E-20  6.785856E-22  1.100494E-25  9.412307E-28  1.000000E-30
    166  5.582344501454E-02  3.510533E-14  3.147375E-16  3.577317E-17  1.852030E-20  7.801885E-22  1.272400E-25  1.106800E-27  1.000000E-30
    167  5.608267729631E-02  3.817479E-14  3.481301E-16  4.058111E-17  2.116933E-20  9.141812E-22  1.500665E-25  1.331129E-27  1.000000E-30
    168  5.632179590432E-02  4.113353E-14  3.810664E-16  4.547185E-17  2.388778E-20  1.055546E-21  1.743204E-25  1.574510E-27  1.000000E-30
    169  5.658568452696E-02  4.453891E-14  4.198740E-16  5.141779E-17  2.722242E-20  1.233891E-21  2.051410E-25  1.890401E-27  1.000000E-30
    170  5.682194908758E-02  4.771292E-14  4.568988E-16  5.726939E-17  3.053340E-20  1.415962E-21  2.368311E-25  2.222079E-27  1.000000E-30
    171  5.707748662895E-02  5.128246E-14  4.995026E-16  6.421095E-17  3.449551E-20  1.639874E-21  2.760801E-25  2.641438E-27  1.000000E-30
    172  5.730159219632E-02  5.453257E-14  5.391649E-16  7.086655E-17  3.832668E-20  1.862189E-21  3.153170E-25  3.069134E-27  1.000000E-30
    173  5.769211250520E-02  6.047948E-14  6.138188E-16  8.387577E-17  4.589710E-20  2.316742E-21  3.962567E-25  3.974597E-27  1.000000E-30
    174  5.804755660481E-02  6.622248E-14  6.883959E-16  9.747202E-17  5.391273E-20  2.818060E-21  4.864747E-25  5.015560E-27  1.000000E-30
    175  5.837706807704E-02  7.182202E-14  7.634415E-16  1.117365E-16  6.242431E-20  3.370789E-21  5.869247E-25  6.208141E-27  1.000000E-30
    176  5.868213309337E-02  7.724143E-14  8.382442E-16  1.265161E-16  7.134268E-20  3.970464E-21  6.969040E-25  7.548858E-27  1.000000E-30
    177  5.897372529375E-02  8.263052E-14  9.147411E-16  1.421944E-16  8.090415E-20  4.634881E-21  8.198117E-25  9.085086E-27  1.000000E-30
