 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                hg197         hg198         hg199         hg200         hg201         hg202         hg203         hg204
    128  4.903755607841E-02  2.066197E-28  4.241558E-28  8.909191E-28  1.057711E-27  1.324706E-27  7.400204E-28  4.946953E-28  1.427116E-28
    129  4.921259737621E-02  2.033020E-28  4.276546E-28  9.183650E-28  1.116021E-27  1.426190E-27  8.142461E-28  5.545685E-28  1.636386E-28
    130  4.938368810460E-02  1.999961E-28  4.307844E-28  9.455202E-28  1.176370E-27  1.534768E-27  8.965061E-28  6.228868E-28  1.883861E-28
    131  4.955132280349E-02  1.960309E-28  4.321221E-28  9.689370E-28  1.233631E-27  1.642477E-27  9.811709E-28  6.951090E-28  2.152069E-28
    132  4.971624312404E-02  1.928670E-28  4.347133E-28  9.950981E-28  1.295741E-27  1.759834E-27  1.074808E-27  7.762910E-28  2.461252E-28
    133  4.987811857735E-02  1.892492E-28  4.360390E-28  1.018489E-27  1.355381E-27  1.876313E-27  1.170379E-27  8.609070E-28  2.789865E-28
    134  5.003799836445E-02  1.865796E-28  4.392911E-28  1.046843E-27  1.423774E-27  2.009204E-27  1.280347E-27  9.594771E-28  3.180496E-28
    135  5.019682549602E-02  1.848021E-28  4.445864E-28  1.080764E-27  1.501998E-27  2.160177E-27  1.405802E-27  1.072828E-27  3.634242E-28
    136  5.035511419132E-02  1.832609E-28  4.504545E-28  1.116955E-27  1.586014E-27  2.324329E-27  1.544425E-27  1.199929E-27  4.152348E-28
    137  5.051299755300E-02  1.816141E-28  4.561499E-28  1.153769E-27  1.673879E-27  2.499523E-27  1.695554E-27  1.340958E-27  4.739274E-28
    138  5.067010535678E-02  1.793503E-28  4.602813E-28  1.187435E-27  1.759797E-27  2.676881E-27  1.853214E-27  1.491406E-27  5.380972E-28
    139  5.082726902819E-02  1.777061E-28  4.660393E-28  1.226553E-27  1.857729E-27  2.880067E-27  2.036359E-27  1.668765E-27  6.152538E-28
    140  5.098506829486E-02  1.764148E-28  4.728821E-28  1.269926E-27  1.966101E-27  3.106944E-27  2.243754E-27  1.872311E-27  7.052986E-28
    141  5.114361869269E-02  1.749732E-28  4.794974E-28  1.314125E-27  2.079890E-27  3.350265E-27  2.471073E-27  2.099395E-27  8.078399E-28
    142  5.130328078870E-02  1.737655E-28  4.869863E-28  1.362399E-27  2.204948E-27  3.621000E-27  2.728229E-27  2.360195E-27  9.278410E-28
    143  5.146205644840E-02  1.700391E-28  4.876175E-28  1.392709E-27  2.304294E-27  3.855913E-27  2.965027E-27  2.609237E-27  1.046395E-27
    144  5.162089365231E-02  1.673357E-28  4.905248E-28  1.429586E-27  2.417980E-27  4.124353E-27  3.239697E-27  2.903355E-27  1.190050E-27
    145  5.177902725711E-02  1.635623E-28  4.902516E-28  1.457938E-27  2.520273E-27  4.380204E-27  3.512516E-27  3.203491E-27  1.340673E-27
    146  5.193558292952E-02  1.612197E-28  4.844567E-28  1.445414E-27  2.514782E-27  4.411361E-27  3.596059E-27  3.343384E-27  1.443732E-27
    147  5.207655208218E-02  1.423835E-28  4.382736E-28  1.336044E-27  2.377267E-27  4.248142E-27  3.531384E-27  3.336307E-27  1.467861E-27
    148  5.220437120847E-02  1.270744E-28  3.983505E-28  1.234045E-27  2.233144E-27  4.047128E-27  3.415134E-27  3.266484E-27  1.457655E-27
    149  5.240275279905E-02  1.922751E-28  6.167731E-28  1.951996E-27  3.623174E-27  6.728836E-27  5.857677E-27  5.770305E-27  2.678650E-27
    150  5.258707116153E-02  1.684869E-28  5.699186E-28  1.888562E-27  3.662062E-27  7.010606E-27  6.239115E-27  6.201587E-27  2.865106E-27
    151  5.276353482958E-02  1.568907E-28  5.425731E-28  1.837587E-27  3.653843E-27  7.151453E-27  6.524129E-27  6.622468E-27  3.138412E-27
    152  5.293536770993E-02  1.481517E-28  5.238456E-28  1.811173E-27  3.686961E-27  7.370386E-27  6.892698E-27  7.151816E-27  3.484448E-27
    153  5.310288915571E-02  1.441116E-28  5.106220E-28  1.768858E-27  3.618570E-27  7.295013E-27  6.938706E-27  7.350849E-27  3.709871E-27
    154  5.325369291828E-02  1.254289E-28  4.561949E-28  1.617350E-27  3.389306E-27  6.967879E-27  6.765133E-27  7.287416E-27  3.750576E-27
    155  5.339308966526E-02  1.127673E-28  4.179633E-28  1.503170E-27  3.185442E-27  6.587439E-27  6.406970E-27  6.888043E-27  3.519146E-27
    156  5.362726198018E-02  1.829499E-28  6.946428E-28  2.554634E-27  5.580809E-27  1.193161E-26  1.218259E-26  1.376903E-26  7.565725E-27
    157  5.383816121000E-02  1.476255E-28  6.006445E-28  2.351524E-27  5.458576E-27  1.216723E-26  1.279004E-26  1.459700E-26  7.925313E-27
    158  5.403768730975E-02  1.335642E-28  5.550413E-28  2.223734E-27  5.314638E-27  1.216833E-26  1.319665E-26  1.547130E-26  8.689103E-27
    159  5.422986619970E-02  1.286303E-28  5.346417E-28  2.139716E-27  5.127726E-27  1.184371E-26  1.312326E-26  1.581896E-26  9.326824E-27
    160  5.440569294967E-02  1.117237E-28  4.786681E-28  1.966847E-27  4.841757E-27  1.142275E-26  1.293833E-26  1.587605E-26  9.565254E-27
    161  5.456994612052E-02  9.957126E-29  4.383050E-28  1.839235E-27  4.606529E-27  1.097499E-26  1.248545E-26  1.530262E-26  9.142695E-27
    162  5.485681963417E-02  1.644596E-28  7.431737E-28  3.192387E-27  8.266542E-27  2.046672E-26  2.471525E-26  3.225316E-26  2.115164E-26
    163  5.511708850657E-02  1.249137E-28  6.138026E-28  2.856268E-27  8.018761E-27  2.099429E-26  2.633918E-26  3.474630E-26  2.228317E-26
    164  5.536560227933E-02  1.202539E-28  5.847681E-28  2.698781E-27  7.587155E-27  2.013897E-26  2.618413E-26  3.616803E-26  2.516812E-26
    165  5.559867087093E-02  1.035258E-28  5.249368E-28  2.508434E-27  7.293096E-27  1.984955E-26  2.647708E-26  3.735982E-26  2.676006E-26
    166  5.582344501454E-02  9.097942E-29  4.836280E-28  2.398365E-27  7.193333E-27  1.992411E-26  2.676353E-26  3.763154E-26  2.647981E-26
    167  5.608267729631E-02  9.334209E-29  5.236924E-28  2.710547E-27  8.479454E-27  2.426002E-26  3.368278E-26  4.858341E-26  3.519903E-26
    168  5.632179590432E-02  7.753490E-29  4.500724E-28  2.412975E-27  7.887813E-27  2.351144E-26  3.435058E-26  5.186901E-26  3.986273E-26
    169  5.658568452696E-02  7.745771E-29  4.701622E-28  2.609365E-27  8.804232E-27  2.682558E-26  3.993928E-26  6.101797E-26  4.729697E-26
