 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                zn77          zn78          zn79          zn80          zn81          zn82          zn83          zn84 
    257  1.039121745974E-01  1.149171E-10  3.313690E-08  2.120859E-06  3.340609E-05  1.049096E-07  2.021981E-08  1.323569E-11  1.033121E-12
    258  1.045193471709E-01  9.007560E-11  2.947835E-08  2.051879E-06  3.612738E-05  1.164577E-07  2.428678E-08  1.613471E-11  1.355143E-12
    259  1.051181778144E-01  7.050450E-11  2.614906E-08  1.978099E-06  3.888758E-05  1.286672E-07  2.901536E-08  1.956299E-11  1.767061E-12
    260  1.056826419982E-01  5.569525E-11  2.325573E-08  1.903740E-06  4.154682E-05  1.409275E-07  3.422585E-08  2.340367E-11  2.265069E-12
    261  1.062431336111E-01  4.379872E-11  2.060049E-08  1.825135E-06  4.423037E-05  1.538240E-07  4.023260E-08  2.790348E-11  2.893637E-12
    262  1.068146627648E-01  3.413542E-11  1.813335E-08  1.742173E-06  4.699682E-05  1.677076E-07  4.732641E-08  3.330638E-11  3.707480E-12
    263  1.073656177930E-01  2.674223E-11  1.597693E-08  1.660340E-06  4.967892E-05  1.817819E-07  5.521586E-08  3.941590E-11  4.699538E-12
    264  1.079139362418E-01  2.084737E-11  1.402041E-08  1.576490E-06  5.234962E-05  1.964476E-07  6.423805E-08  4.651788E-11  5.941668E-12
    265  1.084202130578E-01  1.650014E-11  1.238473E-08  1.498297E-06  5.480299E-05  2.105482E-07  7.372648E-08  5.410685E-11  7.367364E-12
    266  1.089957947327E-01  1.260009E-11  1.071696E-08  1.409541E-06  5.756261E-05  2.272042E-07  8.602777E-08  6.411095E-11  9.391657E-12
    267  1.095139929398E-01  9.843573E-12  9.374843E-09  1.329968E-06  6.000715E-05  2.427427E-07  9.865029E-08  7.455159E-11  1.166881E-11
    268  1.100036617482E-01  7.755686E-12  8.229968E-09  1.254858E-06  6.227055E-05  2.578710E-07  1.120944E-07  8.584841E-11  1.431073E-11
    269  1.105581599754E-01  5.899230E-12  7.077472E-09  1.171413E-06  6.476522E-05  2.754875E-07  1.292817E-07  1.005343E-10  1.800527E-11
    270  1.111738162549E-01  4.335791E-12  5.962071E-09  1.081419E-06  6.743518E-05  2.956105E-07  1.511005E-07  1.195360E-10  2.319488E-11
    271  1.117276452796E-01  3.266125E-12  5.085432E-09  1.002382E-06  6.973516E-05  3.141847E-07  1.735292E-07  1.394448E-10  2.909764E-11
    272  1.122547306619E-01  2.483560E-12  4.355678E-09  9.297280E-07  7.182347E-05  3.322374E-07  1.976227E-07  1.612189E-10  3.606657E-11
    273  1.128196390807E-01  1.845590E-12  3.677586E-09  8.552869E-07  7.394475E-05  3.519602E-07  2.267572E-07  1.880388E-10  4.534498E-11
    274  1.134172103791E-01  1.341618E-12  3.062360E-09  7.803362E-07  7.605066E-05  3.732159E-07  2.617818E-07  2.209234E-10  5.770844E-11
    275  1.139661173569E-01  9.951240E-13  2.577324E-09  7.147771E-07  7.785459E-05  3.930669E-07  2.982641E-07  2.558505E-10  7.196425E-11
    276  1.145721141816E-01  7.130049E-13  2.123507E-09  6.469336E-07  7.969714E-05  4.153171E-07  3.438822E-07  3.004078E-10  9.173393E-11
    277  1.151138636995E-01  5.278036E-13  1.781070E-09  5.903834E-07  8.121149E-05  4.354941E-07  3.899883E-07  3.463505E-10  1.138739E-10
    278  1.160623872824E-01  3.076603E-13  1.297164E-09  4.993559E-07  8.356258E-05  4.714541E-07  4.849492E-07  4.435035E-10  1.661691E-10
    279  1.166131253687E-01  2.240936E-13  1.075416E-09  4.518135E-07  8.475475E-05  4.926944E-07  5.495487E-07  5.113506E-10  2.068177E-10
    280  1.171578902390E-01  1.633054E-13  8.911414E-10  4.083987E-07  8.581339E-05  5.139751E-07  6.213573E-07  5.882589E-10  2.567326E-10
    281  1.179966344325E-01  9.932962E-14  6.627370E-10  3.477556E-07  8.721685E-05  5.472863E-07  7.497861E-07  7.292884E-10  3.582215E-10
    282  1.184626561866E-01  7.519408E-14  5.610361E-10  3.175115E-07  8.788275E-05  5.660925E-07  8.316776E-07  8.213423E-10  4.310130E-10
    283  1.189221956404E-01  5.707358E-14  4.754304E-10  2.899664E-07  8.846360E-05  5.848594E-07  9.207703E-07  9.232026E-10  5.172516E-10
    284  1.197605220964E-01  3.416700E-14  3.492326E-10  2.445422E-07  8.933813E-05  6.197022E-07  1.108079E-06  1.142535E-09  7.221493E-10
    285  1.205341475296E-01  2.118746E-14  2.617126E-10  2.083462E-07  8.994463E-05  6.525885E-07  1.313393E-06  1.390238E-09  9.829941E-10
    286  1.212540834288E-01  1.350430E-14  1.992406E-10  1.789227E-07  9.034744E-05  6.838747E-07  1.537843E-06  1.668649E-09  1.310810E-09
    287  1.219299358624E-01  8.795322E-15  1.536138E-10  1.546336E-07  9.059079E-05  7.138697E-07  1.782939E-06  1.980723E-09  1.718971E-09
    288  1.225766858039E-01  5.824552E-15  1.195311E-10  1.342826E-07  9.070716E-05  7.431565E-07  2.053193E-06  2.333628E-09  2.229101E-09
    289  1.231854533608E-01  3.931075E-15  9.406775E-11  1.172895E-07  9.071560E-05  7.712534E-07  2.344852E-06  2.723696E-09  2.849537E-09
    290  1.237219182154E-01  2.769618E-15  7.597185E-11  1.039133E-07  9.064299E-05  7.964319E-07  2.635895E-06  3.121602E-09  3.540342E-09
    291  1.242404039059E-01  1.972067E-15  6.172227E-11  9.235326E-08  9.050242E-05  8.211280E-07  2.950881E-06  3.561260E-09  4.368246E-09
    292  1.248086455930E-01  1.356705E-15  4.907393E-11  8.105654E-08  9.026858E-05  8.485816E-07  3.338921E-06  4.114685E-09  5.502253E-09
    293  1.253177247642E-01  9.646301E-16  3.982049E-11  7.193381E-08  8.998607E-05  8.734876E-07  3.730197E-06  4.684620E-09  6.772375E-09
    294  1.258810647447E-01  6.602884E-16  3.155068E-11  6.295607E-08  8.959181E-05  9.013428E-07  4.215812E-06  5.407552E-09  8.525606E-09
    295  1.264205598797E-01  4.588134E-16  2.521269E-11  5.535561E-08  8.913120E-05  9.282496E-07  4.738529E-06  6.203557E-09  1.063159E-08
    296  1.270317883483E-01  3.019869E-16  1.948284E-11  4.771647E-08  8.850473E-05  9.588977E-07  5.408929E-06  7.248944E-09  1.366460E-08
    297  1.275757308169E-01  2.072449E-16  1.544270E-11  4.171642E-08  8.784839E-05  9.861994E-07  6.083324E-06  8.326248E-09  1.709351E-08
    298  1.286048671531E-01  1.012438E-16  9.903050E-12  3.223410E-08  8.633285E-05  1.037441E-06  7.586518E-06  1.081214E-08  2.611493E-08
    299  1.290949488661E-01  7.141471E-17  7.974594E-12  2.840239E-08  8.547099E-05  1.061350E-06  8.423957E-06  1.224247E-08  3.197750E-08
    300  1.295345101683E-01  5.213764E-17  6.556611E-12  2.532296E-08  8.461586E-05  1.082358E-06  9.248146E-06  1.367990E-08  3.834186E-08
    301  1.303954523490E-01  2.806990E-17  4.451386E-12  2.016095E-08  8.269962E-05  1.121783E-06  1.108143E-05  1.697620E-08  5.466520E-08
    302  1.308549873199E-01  2.003185E-17  3.603462E-12  1.778699E-08  8.153250E-05  1.141527E-06  1.219315E-05  1.903628E-08  6.605946E-08
    303  1.312776310019E-01  1.464539E-17  2.960163E-12  1.582115E-08  8.036527E-05  1.158664E-06  1.330300E-05  2.113672E-08  7.859733E-08
    304  1.320787884157E-01  8.057467E-18  2.030005E-12  1.262207E-08  7.789548E-05  1.187865E-06  1.564765E-05  2.571252E-08  1.090678E-07
    305  1.327308179063E-01  4.913521E-18  1.483332E-12  1.044306E-08  7.561888E-05  1.207647E-06  1.780670E-05  3.008301E-08  1.421657E-07
    306  1.333821207310E-01  2.968620E-18  1.076272E-12  8.588942E-09  7.309320E-05  1.222986E-06  2.020029E-05  3.509640E-08  1.849214E-07
    307  1.339749669338E-01  1.869681E-18  8.002155E-13  7.160093E-09  7.057679E-05  1.232526E-06  2.258273E-05  4.026024E-08  2.343225E-07
    308  1.345530840576E-01  1.182812E-18  5.957874E-13  5.964938E-09  6.791924E-05  1.237133E-06  2.509561E-05  4.589083E-08  2.944992E-07
    309  1.351098094661E-01  7.536093E-19  4.451451E-13  4.971744E-09  6.517028E-05  1.236629E-06  2.769034E-05  5.190144E-08  3.661936E-07
    310  1.359304916944E-01  3.848546E-19  2.871519E-13  3.770226E-09  6.081419E-05  1.226444E-06  3.178779E-05  6.181658E-08  5.019334E-07
    311  1.363572082699E-01  2.699624E-19  2.274517E-13  3.249986E-09  5.841774E-05  1.216379E-06  3.403243E-05  6.747472E-08  5.896569E-07
    312  1.367788244083E-01  1.886223E-19  1.796162E-13  2.792747E-09  5.596561E-05  1.202959E-06  3.632081E-05  7.341190E-08  6.902401E-07
    313  1.375777712339E-01  9.485763E-20  1.137611E-13  2.077124E-09  5.115379E-05  1.168416E-06  4.077905E-05  8.551790E-08  9.242440E-07
    314  1.380438267916E-01  6.329147E-20  8.669115E-14  1.738748E-09  4.827753E-05  1.142873E-06  4.341858E-05  9.305336E-08  1.091197E-06
    315  1.384690951451E-01  4.338914E-20  6.721333E-14  1.470133E-09  4.561850E-05  1.116001E-06  4.583838E-05  1.002214E-07  1.266837E-06
    316  1.391087445178E-01  2.437312E-20  4.542770E-14  1.132934E-09  4.160457E-05  1.069780E-06  4.944509E-05  1.114339E-07  1.577938E-06
    317  1.397002518981E-01  1.424271E-20  3.139101E-14  8.841196E-10  3.792919E-05  1.021652E-06  5.268628E-05  1.221482E-07  1.921983E-06
    318  1.402705851668E-01  8.434690E-21  2.179556E-14  6.907725E-10  3.445442E-05  9.709374E-07  5.568154E-05  1.326993E-07  2.312856E-06
    319  1.408634912375E-01  4.843291E-21  1.474512E-14  5.290792E-10  3.094601E-05  9.143642E-07  5.861811E-05  1.437971E-07  2.790098E-06
    320  1.414089642241E-01  2.908527E-21  1.022550E-14  4.114144E-10  2.785694E-05  8.600438E-07  6.110793E-05  1.539849E-07  3.298950E-06
    321  1.419220762512E-01  1.806721E-21  7.209860E-15  3.231118E-10  2.509564E-05  8.077132E-07  6.323440E-05  1.634547E-07  3.845042E-06
    322  1.422771704232E-01  1.295917E-21  5.626370E-15  2.719440E-10  2.326653E-05  7.708671E-07  6.457834E-05  1.699186E-07  4.266594E-06
    323  1.426029315631E-01  9.567750E-22  4.467351E-15  2.314946E-10  2.165567E-05  7.369242E-07  6.570908E-05  1.757483E-07  4.686410E-06
    324  1.430135230101E-01  6.563541E-22  3.329860E-15  1.884138E-10  1.972438E-05  6.943098E-07  6.698521E-05  1.829195E-07  5.262565E-06
    325  1.434683796643E-01  4.368463E-22  2.396074E-15  1.494661E-10  1.771823E-05  6.476610E-07  6.819626E-05  1.905881E-07  5.965830E-06
    326  1.440315208021E-01  2.685824E-22  1.584371E-15  1.115597E-10  1.542861E-05  5.911117E-07  6.939161E-05  1.996129E-07  6.939542E-06
    327  1.445490332405E-01  1.743336E-22  1.071859E-15  8.450569E-11  1.350613E-05  5.404880E-07  7.018891E-05  2.073845E-07  7.946835E-06
    328  1.451370980342E-01  1.101932E-22  6.834049E-16  6.127736E-11  1.154106E-05  4.854514E-07  7.073006E-05  2.154938E-07  9.227244E-06
