 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                k48           k49           k50           k51           k52           k53           k54           k55  
    118  4.732862910872E-02  7.990173E-11  7.553173E-12  7.075646E-15  3.683195E-17  8.834099E-21  1.616157E-23  6.847869E-28  1.000000E-30
    119  4.750539400184E-02  8.734360E-11  8.412830E-12  7.928896E-15  4.175698E-17  1.005570E-20  1.858725E-23  7.883902E-28  1.000000E-30
    120  4.767210524850E-02  9.464323E-11  9.278739E-12  8.795275E-15  4.683250E-17  1.132092E-20  2.113100E-23  8.971768E-28  1.000000E-30
    121  4.783406579930E-02  1.019860E-10  1.017239E-11  9.696345E-15  5.218698E-17  1.266207E-20  2.385976E-23  1.014021E-27  1.000000E-30
    122  4.799263518131E-02  1.094039E-10  1.109829E-11  1.063703E-14  5.785534E-17  1.408849E-20  2.679602E-23  1.139905E-27  1.000000E-30
    123  4.815339657435E-02  1.171415E-10  1.208911E-11  1.165134E-14  6.405336E-17  1.565551E-20  3.005947E-23  1.279988E-27  1.000000E-30
    124  4.832264594384E-02  1.255235E-10  1.319099E-11  1.278823E-14  7.110095E-17  1.744594E-20  3.383310E-23  1.442177E-27  1.000000E-30
    125  4.849826454798E-02  1.344663E-10  1.439946E-11  1.404537E-14  7.901219E-17  1.946594E-20  3.814421E-23  1.627715E-27  1.000000E-30
    126  4.867786870736E-02  1.438585E-10  1.570548E-11  1.541555E-14  8.776970E-17  2.171368E-20  4.300356E-23  1.837140E-27  1.000000E-30
    127  4.885872256535E-02  1.535535E-10  1.709359E-11  1.688450E-14  9.730788E-17  2.417476E-20  4.839419E-23  2.069790E-27  1.000000E-30
    128  4.903755607841E-02  1.633570E-10  1.853920E-11  1.842763E-14  1.074875E-16  2.681527E-20  5.425391E-23  2.323048E-27  1.000000E-30
    129  4.921259737621E-02  1.731405E-10  2.002488E-11  2.002724E-14  1.182060E-16  2.961018E-20  6.053678E-23  2.594979E-27  1.000000E-30
    130  4.938368810460E-02  1.828584E-10  2.154437E-11  2.167723E-14  1.294341E-16  3.255307E-20  6.723671E-23  2.885368E-27  1.062263E-30
    131  4.955132280349E-02  1.924997E-10  2.309665E-11  2.337712E-14  1.411798E-16  3.564733E-20  7.436984E-23  3.194962E-27  1.184627E-30
    132  4.971624312404E-02  2.020668E-10  2.468309E-11  2.512918E-14  1.534716E-16  3.890184E-20  8.196590E-23  3.525104E-27  1.315390E-30
    133  4.987811857735E-02  2.114964E-10  2.629441E-11  2.692390E-14  1.662556E-16  4.230383E-20  9.000463E-23  3.874968E-27  1.455042E-30
    134  5.003799836445E-02  2.207880E-10  2.793292E-11  2.876481E-14  1.795725E-16  4.586569E-20  9.852601E-23  4.246353E-27  1.604429E-30
    135  5.019682549602E-02  2.299575E-10  2.960278E-11  3.065756E-14  1.934796E-16  4.960452E-20  1.075826E-22  4.641618E-27  1.764652E-30
    136  5.035511419132E-02  2.389745E-10  3.130171E-11  3.260097E-14  2.079895E-16  5.352592E-20  1.172025E-22  5.062063E-27  1.936419E-30
    137  5.051299755300E-02  2.477755E-10  3.302176E-11  3.458751E-14  2.230703E-16  5.762366E-20  1.273861E-22  5.507805E-27  2.119980E-30
    138  5.067010535678E-02  2.562589E-10  3.474737E-11  3.660085E-14  2.386228E-16  6.187335E-20  1.380896E-22  5.977005E-27  2.314788E-30
    139  5.082726902819E-02  2.643761E-10  3.647385E-11  3.863736E-14  2.546469E-16  6.627767E-20  1.493377E-22  6.470857E-27  2.521567E-30
    140  5.098506829486E-02  2.720449E-10  3.819087E-11  4.068718E-14  2.710990E-16  7.082793E-20  1.611299E-22  6.989452E-27  2.740626E-30
    141  5.114361869269E-02  2.791393E-10  3.987936E-11  4.273029E-14  2.878580E-16  7.549440E-20  1.734136E-22  7.530611E-27  2.971350E-30
    142  5.130328078870E-02  2.855224E-10  4.151854E-11  4.474480E-14  3.047902E-16  8.024408E-20  1.861297E-22  8.091874E-27  3.213030E-30
    143  5.146205644840E-02  2.909574E-10  4.306021E-11  4.667467E-14  3.214690E-16  8.496137E-20  1.989952E-22  8.660897E-27  3.460680E-30
    144  5.162089365231E-02  2.953172E-10  4.448323E-11  4.849675E-14  3.377397E-16  8.960652E-20  2.119280E-22  9.234192E-27  3.713107E-30
    145  5.177902725711E-02  2.984139E-10  4.574738E-11  5.016356E-14  3.532305E-16  9.407787E-20  2.246741E-22  9.800642E-27  3.965764E-30
    146  5.193558292952E-02  3.000587E-10  4.680971E-11  5.162318E-14  3.675175E-16  9.825767E-20  2.369274E-22  1.034680E-26  4.212993E-30
    147  5.207655208218E-02  3.002035E-10  4.757549E-11  5.273939E-14  3.791966E-16  1.017302E-19  2.474401E-22  1.081691E-26  4.429299E-30
    148  5.220437120847E-02  2.991479E-10  4.809084E-11  5.356141E-14  3.885828E-16  1.045752E-19  2.563741E-22  1.121789E-26  4.617057E-30
    149  5.240275279905E-02  2.951039E-10  4.850733E-11  5.442113E-14  4.003773E-16  1.082756E-19  2.687207E-22  1.177519E-26  4.885162E-30
    150  5.258707116153E-02  2.885529E-10  4.842233E-11  5.469648E-14  4.076768E-16  1.107514E-19  2.780224E-22  1.219933E-26  5.098808E-30
    151  5.276353482958E-02  2.796910E-10  4.787618E-11  5.443369E-14  4.108189E-16  1.120924E-19  2.844884E-22  1.249939E-26  5.261536E-30
    152  5.293536770993E-02  2.686532E-10  4.688594E-11  5.364853E-14  4.098604E-16  1.123076E-19  2.880975E-22  1.267419E-26  5.372308E-30
    153  5.310288915571E-02  2.557273E-10  4.548228E-11  5.236748E-14  4.048697E-16  1.114024E-19  2.887755E-22  1.271999E-26  5.428454E-30
    154  5.325369291828E-02  2.424365E-10  4.385983E-11  5.078379E-14  3.968671E-16  1.096108E-19  2.868183E-22  1.264815E-26  5.430939E-30
    155  5.339308966526E-02  2.289542E-10  4.207971E-11  4.897676E-14  3.865736E-16  1.071394E-19  2.828057E-22  1.248438E-26  5.391099E-30
    156  5.362726198018E-02  2.043318E-10  3.856539E-11  4.528133E-14  3.634432E-16  1.013196E-19  2.713931E-22  1.200197E-26  5.232454E-30
    157  5.383816121000E-02  1.808415E-10  3.496072E-11  4.137511E-14  3.371565E-16  9.448986E-20  2.564755E-22  1.136065E-26  4.995788E-30
    158  5.403768730975E-02  1.583347E-10  3.131427E-11  3.733893E-14  3.086670E-16  8.694054E-20  2.389675E-22  1.060147E-26  4.700244E-30
    159  5.422986619970E-02  1.371373E-10  2.772456E-11  3.329926E-14  2.791175E-16  7.899949E-20  2.197910E-22  9.765330E-27  4.363894E-30
    160  5.440569294967E-02  1.186516E-10  2.447516E-11  2.959262E-14  2.512212E-16  7.142056E-20  2.009256E-22  8.939432E-27  4.023863E-30
    161  5.456994612052E-02  1.024894E-10  2.154335E-11  2.621054E-14  2.251741E-16  6.428248E-20  1.827354E-22  8.140651E-27  3.689250E-30
    162  5.485681963417E-02  7.740452E-11  1.681535E-11  2.068236E-14  1.814173E-16  5.216899E-20  1.510187E-22  6.742985E-27  3.092253E-30
    163  5.511708850657E-02  5.847329E-11  1.308984E-11  1.626097E-14  1.453697E-16  4.208179E-20  1.238561E-22  5.541716E-27  2.569037E-30
    164  5.536560227933E-02  4.378876E-11  1.008855E-11  1.265267E-14  1.151916E-16  3.355916E-20  1.003560E-22  4.499290E-27  2.107577E-30
    165  5.559867087093E-02  3.280577E-11  7.765016E-12  9.826248E-15  9.100299E-17  2.667153E-20  8.095870E-23  3.636537E-27  1.720140E-30
    166  5.582344501454E-02  2.445710E-11  5.942197E-12  7.585076E-15  7.141969E-17  2.105375E-20  6.483613E-23  2.917713E-27  1.393215E-30
    167  5.608267729631E-02  1.715640E-11  4.296269E-12  5.539415E-15  5.316657E-17  1.577848E-20  4.940875E-23  2.228233E-27  1.075668E-30
    168  5.632179590432E-02  1.221569E-11  3.145664E-12  4.093728E-15  3.999332E-17  1.194296E-20  3.798015E-23  1.716245E-27  1.000000E-30
    169  5.658568452696E-02  8.309528E-12  2.206903E-12  2.901736E-15  2.890970E-17  8.692742E-21  2.812040E-23  1.273526E-27  1.000000E-30
    170  5.682194908758E-02  5.850097E-12  1.597328E-12  2.119730E-15  2.149376E-17  6.502940E-21  2.136160E-23  9.693696E-28  1.000000E-30
    171  5.707748662895E-02  3.996884E-12  1.124578E-12  1.507421E-15  1.558007E-17  4.745515E-21  1.585024E-23  7.208426E-28  1.000000E-30
    172  5.730159219632E-02  2.872628E-12  8.298155E-13  1.122167E-15  1.179477E-17  3.613830E-21  1.224816E-23  5.581019E-28  1.000000E-30
    173  5.769211250520E-02  1.658698E-12  5.015789E-13  6.887936E-16  7.454397E-18  2.307548E-21  8.021791E-24  3.667559E-28  1.000000E-30
    174  5.804755660481E-02  1.065422E-12  3.359884E-13  4.679829E-16  5.203282E-18  1.626080E-21  5.787073E-24  2.654176E-28  1.000000E-30
    175  5.837706807704E-02  7.640691E-13  2.505113E-13  3.535600E-16  4.031123E-18  1.270975E-21  4.623340E-24  2.126711E-28  1.000000E-30
    176  5.868213309337E-02  6.092898E-13  2.070877E-13  2.958732E-16  3.452863E-18  1.097624E-21  4.074334E-24  1.879324E-28  1.000000E-30
    177  5.897372529375E-02  5.279015E-13  1.857336E-13  2.685008E-16  3.204205E-18  1.026633E-21  3.885450E-24  1.796952E-28  1.000000E-30
