 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                prot          he4  
    279  1.166131253687E-01  6.346390E-10  3.632061E-02
    280  1.171578902390E-01  6.143862E-10  3.625393E-02
    281  1.179966344325E-01  5.841255E-10  3.615550E-02
    282  1.184626561866E-01  5.677900E-10  3.610293E-02
    283  1.189221956404E-01  5.520246E-10  3.605249E-02
    284  1.197605220964E-01  5.241035E-10  3.596396E-02
    285  1.205341475296E-01  4.993041E-10  3.588604E-02
    286  1.212540834288E-01  4.770513E-10  3.581662E-02
    287  1.219299358624E-01  4.568761E-10  3.575402E-02
    288  1.225766858039E-01  4.382166E-10  3.569636E-02
    289  1.231854533608E-01  4.212177E-10  3.564398E-02
    290  1.237219182154E-01  4.066885E-10  3.559930E-02
    291  1.242404039059E-01  3.930431E-10  3.555738E-02
    292  1.248086455930E-01  3.785274E-10  3.551281E-02
    293  1.253177247642E-01  3.659046E-10  3.547405E-02
    294  1.258810647447E-01  3.523498E-10  3.543241E-02
    295  1.264205598797E-01  3.397710E-10  3.539371E-02
    296  1.270317883483E-01  3.259779E-10  3.535121E-02
    297  1.275757308169E-01  3.141056E-10  3.531454E-02
    298  1.286048671531E-01  2.926558E-10  3.524797E-02
    299  1.290949488661E-01  2.828804E-10  3.521750E-02
    300  1.295345101683E-01  2.743585E-10  3.519082E-02
    301  1.303954523490E-01  2.583142E-10  3.514024E-02
    302  1.308549873199E-01  2.500912E-10  3.511412E-02
    303  1.312776310019E-01  2.427389E-10  3.509062E-02
    304  1.320787884157E-01  2.293438E-10  3.504739E-02
    305  1.327308179063E-01  2.189681E-10  3.501344E-02
    306  1.333821207310E-01  2.090568E-10  3.498058E-02
    307  1.339749669338E-01  2.004267E-10  3.495156E-02
    308  1.345530840576E-01  1.923566E-10  3.492405E-02
    309  1.351098094661E-01  1.848947E-10  3.489827E-02
    310  1.359304916944E-01  1.744330E-10  3.486150E-02
    311  1.363572082699E-01  1.692354E-10  3.484293E-02
    312  1.367788244083E-01  1.642563E-10  3.482494E-02
    313  1.375777712339E-01  1.552352E-10  3.479180E-02
    314  1.380438267916E-01  1.502151E-10  3.477302E-02
    315  1.384690951451E-01  1.457839E-10  3.475621E-02
    316  1.391087445178E-01  1.393803E-10  3.473153E-02
    317  1.397002518981E-01  1.337300E-10  3.470931E-02
    318  1.402705851668E-01  1.285192E-10  3.468841E-02
    319  1.408634912375E-01  1.233398E-10  3.466721E-02
    320  1.414089642241E-01  1.187832E-10  3.464816E-02
    321  1.419220762512E-01  1.146720E-10  3.463063E-02
    322  1.422771704232E-01  1.119239E-10  3.461871E-02
    323  1.426029315631E-01  1.094704E-10  3.460792E-02
    324  1.430135230101E-01  1.064676E-10  3.459452E-02
    325  1.434683796643E-01  1.032560E-10  3.457992E-02
    326  1.440315208021E-01  9.944123E-11  3.456220E-02
    327  1.445490332405E-01  9.608888E-11  3.454626E-02
    328  1.451370980342E-01  9.244952E-11  3.452851E-02
    329  1.457052374241E-01  8.909911E-11  3.451173E-02
    330  1.463107957421E-01  8.569966E-11  3.449423E-02
    331  1.468752132891E-01  8.268356E-11  3.447826E-02
    332  1.475510939381E-01  7.925456E-11  3.445955E-02
    333  1.481899111058E-01  7.619042E-11  3.444227E-02
    334  1.491767377555E-01  7.177153E-11  3.441632E-02
    335  1.497116139607E-01  6.952707E-11  3.440261E-02
    336  1.502421520731E-01  6.740044E-11  3.438925E-02
    337  1.509052103900E-01  6.487330E-11  3.437287E-02
    338  1.515352476696E-01  6.259976E-11  3.435761E-02
    339  1.521327102765E-01  6.055423E-11  3.434343E-02
    340  1.526678407657E-01  5.880667E-11  3.433093E-02
    341  1.532481602429E-01  5.699621E-11  3.431760E-02
    342  1.535863948111E-01  5.598076E-11  3.430994E-02
    343  1.538995751697E-01  5.506604E-11  3.430290E-02
    344  1.546020187628E-01  5.309545E-11  3.428735E-02
    345  1.552062305672E-01  5.148692E-11  3.427420E-02
    346  1.557875935888E-01  5.001092E-11  3.426174E-02
    347  1.566447447202E-01  4.795261E-11  3.424370E-02
    348  1.574294426159E-01  4.617994E-11  3.422750E-02
    349  1.581710514975E-01  4.459749E-11  3.421245E-02
    350  1.588328903187E-01  4.325189E-11  3.419922E-02
    351  1.594606073659E-01  4.202952E-11  3.418684E-02
    352  1.600565792087E-01  4.091570E-11  3.417522E-02
    353  1.607059625219E-01  3.974618E-11  3.416270E-02
    354  1.613957576202E-01  3.855148E-11  3.414955E-02
    355  1.620398820205E-01  3.747830E-11  3.413741E-02
    356  1.627691861850E-01  3.630362E-11  3.412382E-02
    357  1.634667099868E-01  3.521865E-11  3.411094E-02
    358  1.645369737572E-01  3.361598E-11  3.409144E-02
    359  1.651200899964E-01  3.276945E-11  3.408092E-02
    360  1.656939516385E-01  3.195503E-11  3.407064E-02
    361  1.664404283242E-01  3.091605E-11  3.405738E-02
    362  1.671401020014E-01  2.996252E-11  3.404505E-02
    363  1.682228463170E-01  2.852347E-11  3.402616E-02
    364  1.688914277275E-01  2.765214E-11  3.401460E-02
    365  1.695862681704E-01  2.676302E-11  3.400267E-02
    366  1.708796298676E-01  2.514019E-11  3.398068E-02
    367  1.720689125062E-01  2.368844E-11  3.396073E-02
    368  1.730357271347E-01  2.253524E-11  3.394470E-02
    369  1.739185931198E-01  2.150512E-11  3.393021E-02
    370  1.748109107026E-01  2.048612E-11  3.391571E-02
    371  1.757092013639E-01  1.948652E-11  3.390129E-02
    372  1.765567714958E-01  1.856690E-11  3.388785E-02
    373  1.775373762473E-01  1.753671E-11  3.387250E-02
    374  1.784803688374E-01  1.657977E-11  3.385798E-02
    375  1.795112536071E-01  1.557605E-11  3.384238E-02
    376  1.804824008025E-01  1.467119E-11  3.382797E-02
    377  1.815169070317E-01  1.375403E-11  3.381295E-02
    378  1.825428215499E-01  1.289247E-11  3.379842E-02
    379  1.841355644659E-01  1.165343E-11  3.377661E-02
    380  1.856860183354E-01  1.056222E-11  3.375632E-02
    381  1.870847965371E-01  9.672541E-12  3.373885E-02
    382  1.883699545972E-01  8.929895E-12  3.372354E-02
