 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                cu62          cu63          cu64          cu65          cu66          cu67          cu68          cu69 
    156  5.362726198018E-02  1.240064E-17  8.570084E-15  4.098956E-13  5.163520E-11  4.445670E-10  1.838696E-08  2.815721E-08  1.368973E-07
    157  5.383816121000E-02  1.068959E-17  7.705826E-15  3.797305E-13  4.971586E-11  4.391167E-10  1.881945E-08  2.945769E-08  1.478466E-07
    158  5.403768730975E-02  9.118849E-18  6.842333E-15  3.468856E-13  4.711294E-11  4.263313E-10  1.889946E-08  3.020381E-08  1.562357E-07
    159  5.422986619970E-02  7.696802E-18  6.003272E-15  3.128038E-13  4.401784E-11  4.077445E-10  1.867470E-08  3.044894E-08  1.621603E-07
    160  5.440569294967E-02  6.501007E-18  5.253884E-15  2.807221E-13  4.081022E-11  3.862179E-10  1.822558E-08  3.026788E-08  1.655617E-07
    161  5.456994612052E-02  5.489347E-18  4.586286E-15  2.508824E-13  3.760136E-11  3.630545E-10  1.761856E-08  2.976743E-08  1.669488E-07
    162  5.485681963417E-02  3.984012E-18  3.528389E-15  2.011276E-13  3.179885E-11  3.179928E-10  1.620643E-08  2.821899E-08  1.653541E-07
    163  5.511708850657E-02  2.904178E-18  2.712027E-15  1.604841E-13  2.663616E-11  2.749949E-10  1.465312E-08  2.622304E-08  1.599097E-07
    164  5.536560227933E-02  2.103463E-18  2.066532E-15  1.267403E-13  2.203673E-11  2.345600E-10  1.304277E-08  2.396176E-08  1.518103E-07
    165  5.559867087093E-02  1.528528E-18  1.575083E-15  9.989903E-14  1.814500E-11  1.987544E-10  1.150345E-08  2.166169E-08  1.422588E-07
    166  5.582344501454E-02  1.106886E-18  1.194556E-15  7.826788E-14  1.483002E-11  1.670121E-10  1.004892E-08  1.937979E-08  1.317803E-07
    167  5.608267729631E-02  7.508844E-19  8.548336E-16  5.815140E-14  1.156971E-11  1.345399E-10  8.466936E-09  1.678583E-08  1.188326E-07
    168  5.632179590432E-02  5.179301E-19  6.194891E-16  4.362742E-14  9.080147E-12  1.087650E-10  7.135022E-09  1.451104E-08  1.066288E-07
    169  5.658568452696E-02  3.392124E-19  4.284947E-16  3.135306E-14  6.858234E-12  8.488610E-11  5.830230E-09  1.219716E-08  9.340077E-08
    170  5.682194908758E-02  2.297660E-19  3.048080E-16  2.308009E-14  5.278567E-12  6.728270E-11  4.815529E-09  1.033312E-08  8.211269E-08
    171  5.707748662895E-02  1.492458E-19  2.087799E-16  1.640602E-14  3.937476E-12  5.181304E-11  3.877692E-09  8.552779E-09  7.075193E-08
    172  5.730159219632E-02  1.014412E-19  1.486769E-16  1.206950E-14  3.021890E-12  4.089347E-11  3.182939E-09  7.192260E-09  6.163737E-08
    173  5.769211250520E-02  5.094014E-20  8.099977E-17  6.960212E-15  1.876406E-12  2.666593E-11  2.223104E-09  5.240506E-09  4.777665E-08
    174  5.804755660481E-02  2.678110E-20  4.588179E-17  4.153076E-15  1.198068E-12  1.780443E-11  1.580631E-09  3.872897E-09  3.736602E-08
    175  5.837706807704E-02  1.459658E-20  2.680331E-17  2.546350E-15  7.823181E-13  1.211969E-11  1.140761E-09  2.897551E-09  2.946959E-08
    176  5.868213309337E-02  8.255135E-21  1.616725E-17  1.606414E-15  5.232803E-13  8.425798E-12  8.373301E-10  2.199146E-09  2.348966E-08
    177  5.897372529375E-02  4.756938E-21  9.909597E-18  1.027920E-15  3.541719E-13  5.917830E-12  6.195123E-10  1.680091E-09  1.880903E-08
