 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                rb78          rb79          rb80          rb81          rb82          rb83          rb84          rb85 
    101  4.430336182063E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.048773E-29  2.600676E-27  6.604376E-26  7.436966E-24
    102  4.453208602613E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.324796E-29  5.989402E-27  1.564430E-25  1.831386E-23
    103  4.474836808964E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.037505E-29  1.345369E-26  3.609073E-25  4.383479E-23
    104  4.497736119052E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.851068E-30  1.159320E-28  3.215821E-26  8.873519E-25  1.120555E-22
    105  4.517199675598E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.704927E-30  2.365587E-28  6.776900E-26  1.915541E-24  2.500572E-22
    106  4.536038532241E-02  1.000000E-30  1.000000E-30  1.000000E-30  7.214488E-30  4.701664E-28  1.389940E-25  4.022085E-24  5.422610E-22
    107  4.552484255766E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.278810E-29  8.486202E-28  2.578941E-25  7.618009E-24  1.056433E-21
    108  4.581275722245E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.357657E-29  2.301778E-27  7.344939E-25  2.249954E-23  3.278508E-21
    109  4.603616864208E-02  1.000000E-30  1.000000E-30  1.000000E-30  6.817112E-29  4.798882E-27  1.592073E-24  5.020003E-23  7.606571E-21
    110  4.624194314299E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.257577E-28  9.078333E-27  3.123438E-24  1.011739E-22  1.589810E-20
    111  4.641297951594E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.029872E-28  1.497052E-26  5.310426E-24  1.759348E-22  2.849656E-20
    112  4.656990459822E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.074239E-28  2.313107E-26  8.440396E-24  2.855078E-22  4.755206E-20
    113  4.671253119976E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.396450E-28  3.369637E-26  1.261814E-23  4.350210E-22  7.432058E-20
    114  4.684580987606E-02  1.000000E-30  1.000000E-30  1.000000E-30  6.043669E-28  4.713865E-26  1.808713E-23  6.348099E-22  1.110710E-19
    115  4.697520204195E-02  1.000000E-30  1.000000E-30  1.000000E-30  8.116320E-28  6.440099E-26  2.530577E-23  9.037790E-22  1.618479E-19
    116  4.709649788536E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.057463E-27  8.528144E-26  3.427036E-23  1.244183E-21  2.277244E-19
    117  4.721637454993E-02  1.000000E-30  1.000000E-30  1.098571E-30  1.359109E-27  1.113976E-25  4.577296E-23  1.689043E-21  3.159081E-19
    118  4.732862910872E-02  1.000000E-30  1.000000E-30  1.346478E-30  1.703988E-27  1.418141E-25  5.950352E-23  2.229521E-21  4.255461E-19
