 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                o13           o14           o15           o16           o17           o18           o19           o20  
    101  4.430336182063E-02  7.753073E-27  5.323657E-24  2.124166E-18  4.532237E-12  7.313324E-13  8.835471E-13  1.206246E-24  1.234878E-26
    102  4.453208602613E-02  8.431075E-27  5.092741E-24  2.110192E-18  4.769715E-12  5.948404E-13  7.492400E-13  1.206239E-24  1.234864E-26
    103  4.474836808964E-02  8.192521E-27  4.922465E-24  2.094965E-18  5.005400E-12  4.940725E-13  6.443057E-13  1.206232E-24  1.234850E-26
    104  4.497736119052E-02  8.905926E-27  4.783049E-24  2.076780E-18  5.267054E-12  4.117579E-13  5.538143E-13  1.206225E-24  1.234836E-26
    105  4.517199675598E-02  7.707123E-27  4.689418E-24  2.059748E-18  5.499520E-12  3.577625E-13  4.914596E-13  1.206219E-24  1.234824E-26
    106  4.536038532241E-02  7.607811E-27  4.613768E-24  2.041999E-18  5.733596E-12  3.167569E-13  4.420847E-13  1.206213E-24  1.234812E-26
    107  4.552484255766E-02  6.791509E-27  4.555418E-24  2.025589E-18  5.945450E-12  2.884062E-13  4.066743E-13  1.206208E-24  1.234802E-26
    108  4.581275722245E-02  1.232426E-26  4.461077E-24  1.995155E-18  6.333921E-12  2.519315E-13  3.591271E-13  1.206199E-24  1.234784E-26
    109  4.603616864208E-02  9.788658E-27  4.388350E-24  1.970357E-18  6.651567E-12  2.327375E-13  3.328521E-13  1.206192E-24  1.234769E-26
    110  4.624194314299E-02  9.213331E-27  4.317998E-24  1.946868E-18  6.957614E-12  2.204796E-13  3.153378E-13  1.206185E-24  1.234757E-26
    111  4.641297951594E-02  7.782340E-27  4.256326E-24  1.927047E-18  7.222264E-12  2.135116E-13  3.049489E-13  1.206180E-24  1.234746E-26
    112  4.656990459822E-02  7.253913E-27  4.196871E-24  1.908717E-18  7.473679E-12  2.092790E-13  2.983187E-13  1.206175E-24  1.234736E-26
    113  4.671253119976E-02  6.685635E-27  4.140420E-24  1.891993E-18  7.709641E-12  2.069875E-13  2.944446E-13  1.206171E-24  1.234727E-26
    114  4.684580987606E-02  6.330907E-27  4.085669E-24  1.876348E-18  7.936817E-12  2.060266E-13  2.925004E-13  1.206167E-24  1.234719E-26
    115  4.697520204195E-02  6.229742E-27  4.030787E-24  1.861169E-18  8.163778E-12  2.060698E-13  2.920309E-13  1.206163E-24  1.234710E-26
    116  4.709649788536E-02  5.909547E-27  3.977915E-24  1.846965E-18  8.382478E-12  2.069010E-13  2.927636E-13  1.206159E-24  1.234703E-26
    117  4.721637454993E-02  5.915341E-27  3.924431E-24  1.832963E-18  8.604462E-12  2.084085E-13  2.945254E-13  1.206155E-24  1.234695E-26
    118  4.732862910872E-02  5.598811E-27  3.873346E-24  1.819892E-18  8.817769E-12  2.103900E-13  2.970529E-13  1.206152E-24  1.234688E-26
    119  4.750539400184E-02  9.060516E-27  3.791177E-24  1.799399E-18  9.164715E-12  2.145331E-13  3.026414E-13  1.206146E-24  1.234677E-26
    120  4.767210524850E-02  8.695527E-27  3.712031E-24  1.780183E-18  9.504834E-12  2.194862E-13  3.095953E-13  1.206141E-24  1.234667E-26
    121  4.783406579930E-02  8.595441E-27  3.633872E-24  1.761622E-18  9.847802E-12  2.251848E-13  3.178167E-13  1.206136E-24  1.234657E-26
    122  4.799263518131E-02  8.560400E-27  3.556320E-24  1.743553E-18  1.019612E-11  2.315517E-13  3.272027E-13  1.206131E-24  1.234647E-26
    123  4.815339657435E-02  8.835719E-27  3.476636E-24  1.725335E-18  1.056261E-11  2.387843E-13  3.380688E-13  1.206126E-24  1.234636E-26
    124  4.832264594384E-02  9.485667E-27  3.392072E-24  1.706267E-18  1.096340E-11  2.471533E-13  3.508703E-13  1.206121E-24  1.234626E-26
    125  4.849826454798E-02  1.004166E-26  3.303788E-24  1.686598E-18  1.139618E-11  2.566084E-13  3.655945E-13  1.206115E-24  1.234615E-26
    126  4.867786870736E-02  1.047965E-26  3.213125E-24  1.666601E-18  1.185738E-11  2.670478E-13  3.821481E-13  1.206110E-24  1.234604E-26
    127  4.885872256535E-02  1.076747E-26  3.121618E-24  1.646582E-18  1.234165E-11  2.783091E-13  4.003376E-13  1.206104E-24  1.234592E-26
    128  4.903755607841E-02  1.085836E-26  3.031071E-24  1.626897E-18  1.284102E-11  2.901533E-13  4.198312E-13  1.206098E-24  1.234581E-26
    129  4.921259737621E-02  1.083235E-26  2.942507E-24  1.607730E-18  1.335042E-11  3.024042E-13  4.403825E-13  1.206093E-24  1.234570E-26
    130  4.938368810460E-02  1.078619E-26  2.856102E-24  1.589088E-18  1.386892E-11  3.149876E-13  4.619047E-13  1.206088E-24  1.234559E-26
    131  4.955132280349E-02  1.076249E-26  2.771677E-24  1.570906E-18  1.439755E-11  3.278846E-13  4.844039E-13  1.206082E-24  1.234549E-26
    132  4.971624312404E-02  1.078030E-26  2.688914E-24  1.553097E-18  1.493835E-11  3.411072E-13  5.079438E-13  1.206077E-24  1.234538E-26
    133  4.987811857735E-02  1.076892E-26  2.608019E-24  1.535687E-18  1.548999E-11  3.545890E-13  5.324506E-13  1.206072E-24  1.234528E-26
    134  5.003799836445E-02  1.082399E-26  2.528253E-24  1.518549E-18  1.605631E-11  3.684502E-13  5.581921E-13  1.206067E-24  1.234518E-26
    135  5.019682549602E-02  1.094280E-26  2.449411E-24  1.501582E-18  1.664054E-11  3.826893E-13  5.852306E-13  1.206062E-24  1.234508E-26
    136  5.035511419132E-02  1.109873E-26  2.371296E-24  1.484725E-18  1.724504E-11  3.973269E-13  6.136766E-13  1.206057E-24  1.234498E-26
    137  5.051299755300E-02  1.126607E-26  2.293882E-24  1.467959E-18  1.787100E-11  4.123579E-13  6.435990E-13  1.206053E-24  1.234488E-26
    138  5.067010535678E-02  1.140737E-26  2.217383E-24  1.451319E-18  1.851755E-11  4.277280E-13  6.749717E-13  1.206048E-24  1.234478E-26
    139  5.082726902819E-02  1.161334E-26  2.141428E-24  1.434710E-18  1.918887E-11  4.435010E-13  7.080157E-13  1.206043E-24  1.234469E-26
    140  5.098506829486E-02  1.186881E-26  2.065777E-24  1.418065E-18  1.988853E-11  4.597219E-13  7.429341E-13  1.206038E-24  1.234459E-26
    141  5.114361869269E-02  1.214000E-26  1.990417E-24  1.401367E-18  2.061836E-11  4.763912E-13  7.798513E-13  1.206033E-24  1.234449E-26
    142  5.130328078870E-02  1.244778E-26  1.915223E-24  1.384572E-18  2.138154E-11  4.935358E-13  8.189662E-13  1.206028E-24  1.234439E-26
    143  5.146205644840E-02  1.259846E-26  1.841172E-24  1.367881E-18  2.216963E-11  5.109238E-13  8.598809E-13  1.206023E-24  1.234429E-26
    144  5.162089365231E-02  1.282956E-26  1.767850E-24  1.351187E-18  2.298821E-11  5.286378E-13  9.029179E-13  1.206018E-24  1.234419E-26
    145  5.177902725711E-02  1.299913E-26  1.695640E-24  1.334561E-18  2.383428E-11  5.465719E-13  9.479562E-13  1.206013E-24  1.234409E-26
    146  5.193558292952E-02  1.308609E-26  1.624772E-24  1.318075E-18  2.470420E-11  5.646777E-13  9.949905E-13  1.206008E-24  1.234399E-26
    147  5.207655208218E-02  1.192582E-26  1.561646E-24  1.303209E-18  2.551563E-11  5.812130E-13  1.039392E-12  1.206004E-24  1.234390E-26
    148  5.220437120847E-02  1.092544E-26  1.505029E-24  1.289706E-18  2.627503E-11  5.963728E-13  1.081385E-12  1.206000E-24  1.234382E-26
    149  5.240275279905E-02  1.761547E-26  1.418390E-24  1.268689E-18  2.749979E-11  6.201869E-13  1.149978E-12  1.205994E-24  1.234370E-26
    150  5.258707116153E-02  1.667621E-26  1.339313E-24  1.249082E-18  2.868994E-11  6.425852E-13  1.217607E-12  1.205988E-24  1.234358E-26
    151  5.276353482958E-02  1.626493E-26  1.264976E-24  1.230222E-18  2.987846E-11  6.642402E-13  1.286078E-12  1.205983E-24  1.234347E-26
    152  5.293536770993E-02  1.613425E-26  1.193961E-24  1.211761E-18  3.108376E-11  6.854918E-13  1.356433E-12  1.205977E-24  1.234336E-26
    153  5.310288915571E-02  1.600675E-26  1.126116E-24  1.193656E-18  3.230615E-11  7.063380E-13  1.428711E-12  1.205972E-24  1.234326E-26
    154  5.325369291828E-02  1.459427E-26  1.066291E-24  1.177266E-18  3.344800E-11  7.251756E-13  1.496987E-12  1.205967E-24  1.234316E-26
    155  5.339308966526E-02  1.367186E-26  1.012112E-24  1.162027E-18  3.453963E-11  7.426324E-13  1.562943E-12  1.205963E-24  1.234307E-26
    156  5.362726198018E-02  2.403513E-26  9.236978E-25  1.136242E-18  3.645487E-11  7.719635E-13  1.680045E-12  1.205956E-24  1.234293E-26
    157  5.383816121000E-02  2.210427E-26  8.470136E-25  1.112789E-18  3.827202E-11  7.983588E-13  1.792781E-12  1.205949E-24  1.234279E-26
    158  5.403768730975E-02  2.135455E-26  7.772959E-25  1.090415E-18  4.007600E-11  8.231891E-13  1.905896E-12  1.205943E-24  1.234267E-26
    159  5.422986619970E-02  2.098574E-26  7.130916E-25  1.068719E-18  4.189470E-11  8.468012E-13  2.020612E-12  1.205937E-24  1.234255E-26
    160  5.440569294967E-02  1.951555E-26  6.570840E-25  1.048781E-18  4.363171E-11  8.680053E-13  2.130295E-12  1.205932E-24  1.234244E-26
    161  5.456994612052E-02  1.853588E-26  6.072726E-25  1.030099E-18  4.532025E-11  8.873734E-13  2.236704E-12  1.205926E-24  1.234234E-26
    162  5.485681963417E-02  3.417511E-26  5.264240E-25  9.974667E-19  4.843027E-11  9.198263E-13  2.430630E-12  1.205917E-24  1.234216E-26
    163  5.511708850657E-02  3.186227E-26  4.601553E-25  9.679547E-19  5.143965E-11  9.474170E-13  2.614428E-12  1.205909E-24  1.234199E-26
    164  5.536560227933E-02  3.125286E-26  4.032299E-25  9.400231E-19  5.449153E-11  9.717749E-13  2.795302E-12  1.205902E-24  1.234184E-26
    165  5.559867087093E-02  3.003782E-26  3.553662E-25  9.141717E-19  5.752251E-11  9.926448E-13  2.968369E-12  1.205894E-24  1.234169E-26
    166  5.582344501454E-02  2.974450E-26  3.139571E-25  8.895985E-19  6.061228E-11  1.010967E-12  3.138089E-12  1.205887E-24  1.234155E-26
    167  5.608267729631E-02  3.558466E-26  2.716794E-25  8.617880E-19  6.438975E-11  1.029822E-12  3.336011E-12  1.205879E-24  1.234139E-26
    168  5.632179590432E-02  3.346065E-26  2.374417E-25  8.366825E-19  6.808919E-11  1.045125E-12  3.520021E-12  1.205872E-24  1.234124E-26
    169  5.658568452696E-02  3.843973E-26  2.043863E-25  8.095891E-19  7.242692E-11  1.059887E-12  3.724609E-12  1.205864E-24  1.234107E-26
    170  5.682194908758E-02  3.516838E-26  1.785147E-25  7.858657E-19  7.655186E-11  1.071419E-12  3.909245E-12  1.205856E-24  1.234092E-26
    171  5.707748662895E-02  3.934273E-26  1.540102E-25  7.607445E-19  8.128625E-11  1.082347E-12  4.110863E-12  1.205848E-24  1.234076E-26
    172  5.730159219632E-02  3.513471E-26  1.351418E-25  7.391497E-19  8.568592E-11  1.090795E-12  4.289633E-12  1.205841E-24  1.234062E-26
    173  5.769211250520E-02  6.579890E-26  1.072727E-25  7.024073E-19  9.394980E-11  1.103484E-12  4.606874E-12  1.205829E-24  1.234037E-26
    174  5.804755660481E-02  6.225904E-26  8.658283E-26  6.698592E-19  1.021892E-10  1.113287E-12  4.903377E-12  1.205818E-24  1.234015E-26
    175  5.837706807704E-02  5.980200E-26  7.074972E-26  6.404429E-19  1.104900E-10  1.121170E-12  5.184849E-12  1.205808E-24  1.233994E-26
    176  5.868213309337E-02  5.717384E-26  5.851561E-26  6.138482E-19  1.187914E-10  1.127639E-12  5.451359E-12  1.205799E-24  1.233975E-26
    177  5.897372529375E-02  5.640869E-26  4.867847E-26  5.889988E-19  1.273240E-10  1.133218E-12  5.711557E-12  1.205789E-24  1.233957E-26
