 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                mn67          mn68          mn69          mn70          mn71          mn72          mn73          mn74 
    166  5.582344501454E-02  3.856500E-16  1.057104E-18  1.681982E-20  1.686059E-23  1.035180E-25  3.164532E-29  1.000000E-30  1.000000E-30
    167  5.608267729631E-02  3.664354E-16  1.014261E-18  1.653686E-20  1.671109E-23  1.048754E-25  3.228051E-29  1.000000E-30  1.000000E-30
    168  5.632179590432E-02  3.447936E-16  9.629937E-19  1.605979E-20  1.635046E-23  1.047175E-25  3.243688E-29  1.000000E-30  1.000000E-30
    169  5.658568452696E-02  3.180445E-16  8.971782E-19  1.534097E-20  1.574790E-23  1.031507E-25  3.217646E-29  1.000000E-30  1.000000E-30
    170  5.682194908758E-02  2.927773E-16  8.333239E-19  1.457283E-20  1.507052E-23  1.007279E-25  3.161942E-29  1.000000E-30  1.000000E-30
    171  5.707748662895E-02  2.651549E-16  7.620582E-19  1.365518E-20  1.423525E-23  9.725225E-26  3.073780E-29  1.000000E-30  1.000000E-30
    172  5.730159219632E-02  2.414005E-16  6.997319E-19  1.281004E-20  1.344873E-23  9.366754E-26  2.978350E-29  1.000000E-30  1.000000E-30
    173  5.769211250520E-02  2.022151E-16  5.949477E-19  1.130791E-20  1.201904E-23  8.658604E-26  2.782377E-29  1.000000E-30  1.000000E-30
    174  5.804755660481E-02  1.703523E-16  5.080530E-19  9.991946E-21  1.074018E-23  7.979082E-26  2.588776E-29  1.000000E-30  1.000000E-30
    175  5.837706807704E-02  1.448641E-16  4.375467E-19  8.883387E-21  9.648659E-24  7.375329E-26  2.414232E-29  1.000000E-30  1.000000E-30
    176  5.868213309337E-02  1.246610E-16  3.810067E-19  7.969537E-21  8.741142E-24  6.863468E-26  2.265597E-29  1.000000E-30  1.000000E-30
