 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                cd116         cd117         cd118         cd119         cd120         cd121         cd122         cd123
    141  5.114361869269E-02  1.040209E-27  1.990313E-27  2.426034E-27  1.632507E-27  1.099226E-27  5.343824E-28  1.003621E-28  2.638152E-29
    142  5.130328078870E-02  1.084768E-27  2.108421E-27  2.620863E-27  1.785583E-27  1.225603E-27  6.026515E-28  1.151527E-28  3.065325E-29
    143  5.146205644840E-02  1.116581E-27  2.205313E-27  2.796954E-27  1.930193E-27  1.352603E-27  6.733809E-28  1.308412E-28  3.520152E-29
    144  5.162089365231E-02  1.156864E-27  2.323557E-27  3.013267E-27  2.109584E-27  1.511747E-27  7.626245E-28  1.506624E-28  4.097356E-29
    145  5.177902725711E-02  1.194929E-27  2.444755E-27  3.245483E-27  2.306025E-27  1.690558E-27  8.642226E-28  1.739669E-28  4.783786E-29
    146  5.193558292952E-02  1.205317E-27  2.535331E-27  3.492145E-27  2.541153E-27  1.933798E-27  1.010320E-27  2.094803E-28  5.850631E-29
    147  5.207655208218E-02  1.126659E-27  2.407858E-27  3.382872E-27  2.492398E-27  1.933643E-27  1.021863E-27  2.155910E-28  6.096653E-29
    148  5.220437120847E-02  1.057683E-27  2.294932E-27  3.288201E-27  2.453308E-27  1.941691E-27  1.038344E-27  2.228567E-28  6.375813E-29
    149  5.240275279905E-02  1.693016E-27  3.752007E-27  5.495754E-27  4.148299E-27  3.324708E-27  1.786525E-27  3.843111E-28  1.097995E-28
    150  5.258707116153E-02  1.614294E-27  3.609459E-27  5.358546E-27  4.084781E-27  3.339010E-27  1.819354E-27  4.016493E-28  1.172038E-28
    151  5.276353482958E-02  1.625276E-27  3.723100E-27  5.710765E-27  4.446654E-27  3.760319E-27  2.090491E-27  4.750777E-28  1.412779E-28
    152  5.293536770993E-02  1.648271E-27  3.862103E-27  6.113054E-27  4.859751E-27  4.252132E-27  2.412825E-27  5.652523E-28  1.715365E-28
    153  5.310288915571E-02  1.635639E-27  3.933319E-27  6.444245E-27  5.238385E-27  4.752289E-27  2.755740E-27  6.671432E-28  2.070364E-28
    154  5.325369291828E-02  1.548448E-27  3.787331E-27  6.356261E-27  5.250814E-27  4.895603E-27  2.886933E-27  7.174875E-28  2.267188E-28
    155  5.339308966526E-02  1.453112E-27  3.596795E-27  6.141518E-27  5.134134E-27  4.891122E-27  2.924842E-27  7.443889E-28  2.393598E-28
    156  5.362726198018E-02  2.558035E-27  6.551333E-27  1.173994E-26  1.012419E-26  1.010731E-26  6.197718E-27  1.624186E-27  5.297242E-28
    157  5.383816121000E-02  2.589920E-27  6.702719E-27  1.221808E-26  1.067403E-26  1.094354E-26  6.835199E-27  1.852582E-27  6.197474E-28
    158  5.403768730975E-02  2.807056E-27  7.410205E-27  1.385394E-26  1.231011E-26  1.300941E-26  8.282589E-27  2.317467E-27  7.909239E-28
    159  5.422986619970E-02  3.076631E-27  8.316073E-27  1.599833E-26  1.445499E-26  1.567658E-26  1.013965E-26  2.918429E-27  1.020391E-27
    160  5.440569294967E-02  3.418640E-27  9.364405E-27  1.828268E-26  1.666043E-26  1.829900E-26  1.192348E-26  3.473175E-27  1.224979E-27
    161  5.456994612052E-02  3.877711E-27  1.081809E-26  2.161134E-26  1.996682E-26  2.236331E-26  1.472060E-26  4.341450E-27  1.541523E-27
    162  5.485681963417E-02  6.803871E-27  1.960305E-26  4.121793E-26  3.949584E-26  4.731973E-26  3.249306E-26  1.025001E-26  3.803779E-27
    163  5.511708850657E-02  8.988635E-27  2.654197E-26  5.721797E-26  5.555853E-26  6.781607E-26  4.708297E-26  1.516658E-26  5.725066E-27
    164  5.536560227933E-02  1.202085E-26  3.668838E-26  8.255306E-26  8.226830E-26  1.042543E-25  7.381484E-26  2.438332E-26  9.337748E-27
    165  5.559867087093E-02  1.641155E-26  5.151851E-26  1.200615E-25  1.222008E-25  1.598184E-25  1.151271E-25  3.896954E-26  1.515041E-26
    166  5.582344501454E-02  2.255700E-26  7.255578E-26  1.747212E-25  1.815738E-25  2.456270E-25  1.804510E-25  6.295131E-26  2.495950E-26
    167  5.608267729631E-02  3.357907E-26  1.112096E-25  2.783926E-25  2.964676E-25  4.172552E-25  3.136782E-25  1.134068E-25  4.602945E-26
    168  5.632179590432E-02  4.762490E-26  1.619552E-25  4.199022E-25  4.571231E-25  6.666208E-25  5.115229E-25  1.908725E-25  7.907863E-26
    169  5.658568452696E-02  7.142241E-26  2.504179E-25  6.761509E-25  7.550806E-25  1.147548E-24  9.018508E-25  3.492755E-25  1.482584E-25
    170  5.682194908758E-02  1.016165E-25  3.659231E-25  1.023844E-24  1.169232E-24  1.842756E-24  1.478993E-24  5.919297E-25  2.566937E-25
    171  5.707748662895E-02  1.495940E-25  5.542925E-25  1.611334E-24  1.884944E-24  3.089679E-24  2.536811E-24  1.052263E-24  4.670842E-25
    172  5.730159219632E-02  2.087214E-25  7.929927E-25  2.383922E-24  2.848168E-24  4.832151E-24  4.047340E-24  1.732400E-24  7.848687E-25
    173  5.769211250520E-02  3.738361E-25  1.484339E-24  4.733984E-24  5.869320E-24  1.057809E-23  9.174190E-24  4.149074E-24  1.948133E-24
    174  5.804755660481E-02  6.243338E-25  2.580448E-24  8.685894E-24  1.113890E-23  2.121629E-23  1.899550E-23  9.035296E-24  4.383005E-24
    175  5.837706807704E-02  9.975953E-25  4.279728E-24  1.514668E-23  2.004302E-23  4.018833E-23  3.705954E-23  1.847490E-23  9.237692E-24
    176  5.868213309337E-02  1.529793E-24  6.794119E-24  2.519486E-23  3.432581E-23  7.219624E-23  6.842557E-23  3.563596E-23  1.832696E-23
