 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ar31          ar32          ar33          ar34          ar35          ar36          ar37          ar38 
     96  4.316569238790E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.060037E-30  2.428321E-24  2.220564E-18  2.861142E-16  3.750659E-13
     97  4.339365876136E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.228647E-30  2.231135E-24  2.093406E-18  2.735521E-16  3.703353E-13
     98  4.362382833621E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.445072E-30  2.054009E-24  1.964354E-18  2.594380E-16  3.619833E-13
     99  4.384703699487E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.681886E-30  1.905469E-24  1.842847E-18  2.449485E-16  3.510080E-13
    100  4.408801045744E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.938658E-30  1.770640E-24  1.719176E-18  2.289760E-16  3.366536E-13
    101  4.430336182063E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.013751E-29  1.670277E-24  1.616844E-18  2.147662E-16  3.221641E-13
    102  4.453208602613E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.027874E-29  1.580952E-24  1.517524E-18  2.000830E-16  3.056853E-13
    103  4.474836808964E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.030412E-29  1.507610E-24  1.431650E-18  1.867360E-16  2.895149E-13
    104  4.497736119052E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.017669E-29  1.435269E-24  1.347341E-18  1.732394E-16  2.721873E-13
    105  4.517199675598E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.919651E-30  1.373042E-24  1.278966E-18  1.622594E-16  2.575251E-13
    106  4.536038532241E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.531143E-30  1.308358E-24  1.213605E-18  1.519868E-16  2.434969E-13
    107  4.552484255766E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.081301E-30  1.246351E-24  1.155878E-18  1.432446E-16  2.314237E-13
    108  4.581275722245E-02  1.000000E-30  1.000000E-30  1.000000E-30  8.079481E-30  1.123123E-24  1.050596E-18  1.282709E-16  2.106543E-13
    109  4.603616864208E-02  1.000000E-30  1.000000E-30  1.000000E-30  7.164898E-30  1.015504E-24  9.641929E-19  1.168650E-16  1.948489E-13
    110  4.624194314299E-02  1.000000E-30  1.000000E-30  1.000000E-30  6.265480E-30  9.091982E-25  8.806248E-19  1.064287E-16  1.803957E-13
    111  4.641297951594E-02  1.000000E-30  1.000000E-30  1.000000E-30  5.515837E-30  8.189609E-25  8.097201E-19  9.790193E-17  1.685539E-13
    112  4.656990459822E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.848081E-30  7.366946E-25  7.444058E-19  9.023878E-17  1.578477E-13
    113  4.671253119976E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.270584E-30  6.637553E-25  6.855649E-19  8.344688E-17  1.482771E-13
