 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                s43           s44           s45           s46           s47           s48           s49           cl28 
    101  4.430336182063E-02  1.692000E-18  6.283291E-21  5.075602E-25  2.621297E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    102  4.453208602613E-02  1.888410E-18  7.145498E-21  5.773100E-25  3.020295E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    103  4.474836808964E-02  2.085796E-18  8.034423E-21  6.492460E-25  3.438579E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    104  4.497736119052E-02  2.308447E-18  9.062419E-21  7.324666E-25  3.930269E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    105  4.517199675598E-02  2.509824E-18  1.001396E-20  8.095254E-25  4.392372E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    106  4.536038532241E-02  2.716051E-18  1.100883E-20  8.901198E-25  4.882160E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    107  4.552484255766E-02  2.905366E-18  1.193983E-20  9.655644E-25  5.346336E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    108  4.581275722245E-02  3.256658E-18  1.371226E-20  1.109258E-24  6.244983E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    109  4.603616864208E-02  3.544208E-18  1.520834E-20  1.230611E-24  7.018643E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    110  4.624194314299E-02  3.815934E-18  1.666345E-20  1.348678E-24  7.784642E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    111  4.641297951594E-02  4.044973E-18  1.792339E-20  1.450951E-24  8.458941E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    112  4.656990459822E-02  4.255429E-18  1.911094E-20  1.547387E-24  9.104316E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    113  4.671253119976E-02  4.445307E-18  2.020957E-20  1.636639E-24  9.710274E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    114  4.684580987606E-02  4.620273E-18  2.124728E-20  1.720975E-24  1.029088E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    115  4.697520204195E-02  4.786847E-18  2.226032E-20  1.803339E-24  1.086581E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    116  4.709649788536E-02  4.939286E-18  2.321127E-20  1.880688E-24  1.141320E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    117  4.721637454993E-02  5.085789E-18  2.414915E-20  1.957007E-24  1.196073E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    118  4.732862910872E-02  5.218772E-18  2.502318E-20  2.028161E-24  1.247821E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    119  4.750539400184E-02  5.419056E-18  2.638609E-20  2.139178E-24  1.329989E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    120  4.767210524850E-02  5.596887E-18  2.765122E-20  2.242307E-24  1.407991E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    121  4.783406579930E-02  5.758705E-18  2.885661E-20  2.340641E-24  1.483989E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    122  4.799263518131E-02  5.906011E-18  3.000913E-20  2.434732E-24  1.558327E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    123  4.815339657435E-02  6.042454E-18  3.113913E-20  2.527039E-24  1.633017E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    124  4.832264594384E-02  6.173733E-18  3.229343E-20  2.621413E-24  1.711257E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    125  4.849826454798E-02  6.296569E-18  3.345057E-20  2.716112E-24  1.791860E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    126  4.867786870736E-02  6.408199E-18  3.458901E-20  2.809384E-24  1.873520E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    127  4.885872256535E-02  6.506460E-18  3.568730E-20  2.899475E-24  1.954793E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    128  4.903755607841E-02  6.589822E-18  3.672370E-20  2.984604E-24  2.034039E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    129  4.921259737621E-02  6.658252E-18  3.768804E-20  3.063927E-24  2.110339E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    130  4.938368810460E-02  6.712624E-18  3.858021E-20  3.137429E-24  2.183503E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    131  4.955132280349E-02  6.753912E-18  3.940324E-20  3.205352E-24  2.253607E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    132  4.971624312404E-02  6.782907E-18  4.016044E-20  3.267960E-24  2.320797E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    133  4.987811857735E-02  6.800045E-18  4.084951E-20  3.325059E-24  2.384752E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    134  5.003799836445E-02  6.803612E-18  4.145977E-20  3.375736E-24  2.444787E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    135  5.019682549602E-02  6.795819E-18  4.200477E-20  3.421128E-24  2.501759E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    136  5.035511419132E-02  6.776818E-18  4.248412E-20  3.461201E-24  2.555613E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    137  5.051299755300E-02  6.746500E-18  4.289423E-20  3.495660E-24  2.606035E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    138  5.067010535678E-02  6.704845E-18  4.323003E-20  3.524081E-24  2.652524E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    139  5.082726902819E-02  6.651488E-18  4.348861E-20  3.546224E-24  2.694896E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    140  5.098506829486E-02  6.585939E-18  4.366499E-20  3.561677E-24  2.732790E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    141  5.114361869269E-02  6.507816E-18  4.375267E-20  3.569903E-24  2.765655E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    142  5.130328078870E-02  6.416631E-18  4.374491E-20  3.570339E-24  2.792938E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    143  5.146205644840E-02  6.313540E-18  4.363687E-20  3.562563E-24  2.813771E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    144  5.162089365231E-02  6.198264E-18  4.342510E-20  3.546283E-24  2.827863E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    145  5.177902725711E-02  6.071953E-18  4.310943E-20  3.521465E-24  2.834824E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    146  5.193558292952E-02  5.934724E-18  4.268173E-20  3.487384E-24  2.833631E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    147  5.207655208218E-02  5.803066E-18  4.221050E-20  3.449579E-24  2.826282E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    148  5.220437120847E-02  5.678588E-18  4.172052E-20  3.410107E-24  2.814848E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    149  5.240275279905E-02  5.479139E-18  4.086026E-20  3.340535E-24  2.789033E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    150  5.258707116153E-02  5.292317E-18  3.998554E-20  3.269532E-24  2.758191E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    151  5.276353482958E-02  5.118666E-18  3.912491E-20  3.199461E-24  2.725300E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    152  5.293536770993E-02  4.961784E-18  3.831914E-20  3.133663E-24  2.693734E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    153  5.310288915571E-02  4.828444E-18  3.762712E-20  3.076962E-24  2.667825E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    154  5.325369291828E-02  4.732068E-18  3.714184E-20  3.037005E-24  2.652890E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    155  5.339308966526E-02  4.669207E-18  3.686362E-20  3.013860E-24  2.650254E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    156  5.362726198018E-02  4.636035E-18  3.690726E-20  3.016496E-24  2.681107E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    157  5.383816121000E-02  4.704738E-18  3.769336E-20  3.079692E-24  2.762795E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    158  5.403768730975E-02  4.875227E-18  3.928517E-20  3.208712E-24  2.903648E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    159  5.422986619970E-02  5.153430E-18  4.178036E-20  3.411655E-24  3.113756E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    160  5.440569294967E-02  5.518245E-18  4.503188E-20  3.676653E-24  3.383000E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    161  5.456994612052E-02  5.964588E-18  4.902913E-20  4.002886E-24  3.712684E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    162  5.485681963417E-02  7.013038E-18  5.855168E-20  4.781242E-24  4.501168E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    163  5.511708850657E-02  8.299285E-18  7.049180E-20  5.758681E-24  5.501109E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    164  5.536560227933E-02  9.861218E-18  8.532762E-20  6.974689E-24  6.761521E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    165  5.559867087093E-02  1.165637E-17  1.027709E-19  8.405999E-24  8.266316E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    166  5.582344501454E-02  1.373212E-17  1.233920E-19  1.009978E-23  1.007294E-26  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    167  5.608267729631E-02  1.659890E-17  1.525623E-19  1.249834E-23  1.267276E-26  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    168  5.632179590432E-02  1.975471E-17  1.854792E-19  1.520792E-23  1.565982E-26  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    169  5.658568452696E-02  2.389704E-17  2.297884E-19  1.885933E-23  1.975579E-26  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    170  5.682194908758E-02  2.828588E-17  2.779199E-19  2.283012E-23  2.428785E-26  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    171  5.707748662895E-02  3.387667E-17  3.407619E-19  2.802023E-23  3.031434E-26  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    172  5.730159219632E-02  3.961550E-17  4.068261E-19  3.348236E-23  3.676346E-26  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    173  5.769211250520E-02  5.185929E-17  5.522393E-19  4.552230E-23  5.129377E-26  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    174  5.804755660481E-02  6.605460E-17  7.271894E-19  6.003289E-23  6.926572E-26  1.308875E-30  1.000000E-30  1.000000E-30  1.000000E-30
    175  5.837706807704E-02  8.242606E-17  9.359905E-19  7.737941E-23  9.127239E-26  1.718794E-30  1.000000E-30  1.000000E-30  1.000000E-30
    176  5.868213309337E-02  1.009333E-16  1.179658E-18  9.765378E-23  1.175737E-25  2.207183E-30  1.000000E-30  1.000000E-30  1.000000E-30
    177  5.897372529375E-02  1.222368E-16  1.468700E-18  1.217390E-22  1.494843E-25  2.797890E-30  1.000000E-30  1.000000E-30  1.000000E-30
