 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                p40           p41           p42           p43           p44           p45           p46           s26  
    180  5.987296131417E-02  4.777082E-19  3.684597E-21  2.462558E-24  1.018084E-25  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    181  6.018239261751E-02  5.503748E-19  4.352709E-21  2.931902E-24  1.245738E-25  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    182  6.051941164510E-02  6.432342E-19  5.228354E-21  3.552038E-24  1.555789E-25  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    183  6.081686890997E-02  7.391086E-19  6.155255E-21  4.213731E-24  1.896740E-25  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    184  6.107970107709E-02  8.364152E-19  7.117196E-21  4.905354E-24  2.262928E-25  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    185  6.149099227918E-02  1.016561E-18  8.947691E-21  6.233100E-24  2.990158E-25  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    186  6.184187848266E-02  1.202378E-18  1.089478E-20  7.659352E-24  3.801581E-25  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    187  6.212841772032E-02  1.379953E-18  1.280484E-20  9.070244E-24  4.630819E-25  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    188  6.241083345826E-02  1.581260E-18  1.502213E-20  1.072054E-23  5.629942E-25  1.013001E-30  1.000000E-30  1.000000E-30  1.000000E-30
    189  6.286334795077E-02  1.967837E-18  1.941603E-20  1.402398E-23  7.710670E-25  1.364631E-30  1.000000E-30  1.000000E-30  1.000000E-30
    190  6.324448148531E-02  2.366760E-18  2.411304E-20  1.759535E-23  1.006200E-24  1.755848E-30  1.000000E-30  1.000000E-30  1.000000E-30
    191  6.354755735680E-02  2.741614E-18  2.865690E-20  2.108251E-23  1.244372E-24  2.147450E-30  1.000000E-30  1.000000E-30  1.000000E-30
    192  6.382753282149E-02  3.140418E-18  3.361424E-20  2.491773E-23  1.514781E-24  2.587595E-30  1.000000E-30  1.000000E-30  1.000000E-30
    193  6.429792763326E-02  3.943739E-18  4.393904E-20  3.299146E-23  2.108714E-24  3.541649E-30  1.000000E-30  1.000000E-30  1.000000E-30
    194  6.470641913937E-02  4.803874E-18  5.542774E-20  4.208660E-23  2.811106E-24  4.652377E-30  1.000000E-30  1.000000E-30  1.000000E-30
    195  6.514351188605E-02  5.928385E-18  7.102553E-20  5.458504E-23  3.823633E-24  6.229727E-30  1.000000E-30  1.000000E-30  1.000000E-30
    196  6.551961572666E-02  7.101646E-18  8.789725E-20  6.826129E-23  4.983447E-24  8.010783E-30  1.000000E-30  1.000000E-30  1.000000E-30
    197  6.614173306661E-02  9.560787E-18  1.249341E-19  9.873302E-23  7.724697E-24  1.214379E-29  1.000000E-30  1.000000E-30  1.000000E-30
    198  6.666431851744E-02  1.224924E-17  1.675585E-19  1.343847E-22  1.114722E-23  1.720063E-29  1.000000E-30  1.000000E-30  1.000000E-30
    199  6.714973898932E-02  1.539831E-17  2.198405E-19  1.787664E-22  1.566305E-23  2.375408E-29  1.000000E-30  1.000000E-30  1.000000E-30
    200  6.763365269933E-02  1.932597E-17  2.880193E-19  2.374778E-22  2.198483E-23  3.277037E-29  1.000000E-30  1.000000E-30  1.000000E-30
    201  6.810748363549E-02  2.410917E-17  3.748184E-19  3.133008E-22  3.062094E-23  4.487709E-29  1.000000E-30  1.000000E-30  1.000000E-30
    202  6.886988901479E-02  3.434120E-17  5.717528E-19  4.886357E-22  5.212381E-23  7.434664E-29  1.000000E-30  1.000000E-30  1.000000E-30
    203  6.932442343830E-02  4.231180E-17  7.340885E-19  6.358333E-22  7.154393E-23  1.003798E-28  1.000000E-30  1.000000E-30  1.000000E-30
    204  6.977291475786E-02  5.197225E-17  9.392195E-19  8.243585E-22  9.773870E-23  1.349473E-28  1.000000E-30  1.000000E-30  1.000000E-30
    205  7.051837306122E-02  7.304910E-17  1.413501E-18  1.268537E-21  1.641183E-22  2.206343E-28  1.000000E-30  1.000000E-30  1.000000E-30
    206  7.120724846930E-02  9.981170E-17  2.058415E-18  1.886103E-21  2.647357E-22  3.471929E-28  1.000000E-30  1.000000E-30  1.000000E-30
    207  7.185571854523E-02  1.337320E-16  2.930047E-18  2.738423E-21  4.154259E-22  5.321698E-28  1.000000E-30  1.000000E-30  1.000000E-30
    208  7.250556240022E-02  1.789836E-16  4.168678E-18  3.974886E-21  6.524085E-22  8.161661E-28  1.000000E-30  1.000000E-30  1.000000E-30
    209  7.308358088908E-02  2.317338E-16  5.699861E-18  5.532993E-21  9.737894E-22  1.192999E-27  1.000000E-30  1.000000E-30  1.000000E-30
    210  7.365083251161E-02  2.985060E-16  7.749586E-18  7.657282E-21  1.443911E-21  1.732926E-27  1.000000E-30  1.000000E-30  1.000000E-30
    211  7.420607479025E-02  3.821527E-16  1.046339E-17  1.052133E-20  2.123447E-21  2.497541E-27  1.000000E-30  1.000000E-30  1.000000E-30
    212  7.477269193766E-02  4.913355E-16  1.420875E-17  1.454713E-20  3.147974E-21  3.626882E-27  1.047901E-30  1.000000E-30  1.000000E-30
    213  7.532671922740E-02  6.280377E-16  1.916605E-17  1.997387E-20  4.629322E-21  5.226806E-27  1.557339E-30  1.000000E-30  1.000000E-30
    214  7.590819975934E-02  8.120898E-16  2.623312E-17  2.785729E-20  6.941651E-21  7.672567E-27  2.356473E-30  1.000000E-30  1.000000E-30
    215  7.648106882397E-02  1.045176E-15  3.572026E-17  3.864583E-20  1.034618E-20  1.119796E-26  3.544424E-30  1.000000E-30  1.000000E-30
    216  7.706864365518E-02  1.353178E-15  4.901873E-17  5.406593E-20  1.558682E-20  1.650981E-26  5.390987E-30  1.000000E-30  1.000000E-30
    217  7.765097184480E-02  1.746785E-15  6.706105E-17  7.540398E-20  2.340415E-20  2.426421E-26  8.173069E-30  1.000000E-30  1.000000E-30
    218  7.824188421090E-02  2.260523E-15  9.208034E-17  1.055916E-19  3.533337E-20  3.584265E-26  1.246191E-29  1.000000E-30  1.000000E-30
    219  7.883216312169E-02  2.921664E-15  1.263219E-16  1.477547E-19  5.332639E-20  5.292639E-26  1.899840E-29  1.000000E-30  1.000000E-30
    220  7.934760137230E-02  3.652889E-15  1.664330E-16  1.980899E-19  7.640594E-20  7.439632E-26  2.746472E-29  1.000000E-30  1.000000E-30
    221  7.991019390762E-02  4.655002E-15  2.246493E-16  2.725429E-19  1.130772E-19  1.078205E-25  4.104942E-29  1.000000E-30  1.000000E-30
    222  8.044081450283E-02  5.842566E-15  2.977668E-16  3.678639E-19  1.635406E-19  1.528800E-25  5.993019E-29  1.000000E-30  1.000000E-30
    223  8.103419684334E-02  7.524165E-15  4.077679E-16  5.141649E-19  2.470838E-19  2.258958E-25  9.151635E-29  1.000000E-30  1.000000E-30
    224  8.158988408622E-02  9.519293E-15  5.465901E-16  7.025976E-19  3.632580E-19  3.252536E-25  1.359113E-28  1.000000E-30  1.000000E-30
    225  8.219791245697E-02  1.228802E-14  7.519551E-16  9.873027E-19  5.532555E-19  4.841536E-25  2.093319E-28  1.000000E-30  1.000000E-30
    226  8.273529679330E-02  1.537294E-14  9.955496E-16  1.332053E-18  8.018257E-19  6.875765E-25  3.064462E-28  1.000000E-30  1.000000E-30
    227  8.327310875316E-02  1.920473E-14  1.316692E-15  1.795586E-18  1.161616E-18  9.760244E-25  4.485058E-28  1.000000E-30  1.000000E-30
    228  8.381967664174E-02  2.402264E-14  1.745856E-15  2.427650E-18  1.690386E-18  1.391183E-24  6.595722E-28  1.000000E-30  1.000000E-30
    229  8.442137901789E-02  3.063891E-14  2.375238E-15  3.374978E-18  2.549348E-18  2.050684E-24  1.006532E-27  1.000000E-30  1.000000E-30
    230  8.496109010092E-02  3.800854E-14  3.123598E-15  4.525913E-18  3.679680E-18  2.899761E-24  1.468538E-27  1.000000E-30  1.000000E-30
    231  8.556251684447E-02  4.811244E-14  4.221339E-15  6.252277E-18  5.519933E-18  4.251421E-24  2.230062E-27  1.000000E-30  1.000000E-30
    232  8.609514523980E-02  5.900276E-14  5.487686E-15  8.288826E-18  7.874807E-18  5.943157E-24  3.216686E-27  1.000000E-30  1.000000E-30
    233  8.668730402486E-02  7.360372E-14  7.307450E-15  1.128276E-17  1.163602E-17  8.585390E-24  4.812707E-27  1.000000E-30  1.000000E-30
    234  8.725638446658E-02  9.041788E-14  9.562094E-15  1.508180E-17  1.683893E-17  1.215679E-23  7.050161E-27  1.000000E-30  1.000000E-30
    235  8.784892152766E-02  1.110776E-13  1.255073E-14  2.024328E-17  2.455940E-17  1.733278E-23  1.041637E-26  1.000000E-30  1.000000E-30
    236  8.837914431516E-02  1.324670E-13  1.588664E-14  2.614587E-17  3.418175E-17  2.363825E-23  1.466892E-26  1.000000E-30  1.000000E-30
    237  8.927467123273E-02  1.750439E-13  2.323564E-14  3.957880E-17  5.877063E-17  3.926740E-23  2.573750E-26  1.000000E-30  1.000000E-30
    238  9.009385267910E-02  2.206303E-13  3.216378E-14  5.655841E-17  9.443608E-17  6.113730E-23  4.214810E-26  1.000000E-30  1.000000E-30
    239  9.088007009323E-02  2.695242E-13  4.302709E-14  7.803383E-17  1.459696E-16  9.167502E-23  6.636931E-26  1.000000E-30  1.000000E-30
    240  9.160938796651E-02  3.179771E-13  5.526194E-14  1.031655E-16  2.145807E-16  1.310165E-22  9.929358E-26  1.000000E-30  1.000000E-30
    241  9.231864750676E-02  3.665199E-13  6.922982E-14  1.329670E-16  3.068340E-16  1.822637E-22  1.444713E-25  1.000000E-30  1.000000E-30
    242  9.335415502949E-02  4.368597E-13  9.329615E-14  1.868742E-16  5.028496E-16  2.868785E-22  2.430197E-25  1.300076E-30  1.000000E-30
    243  9.429165011748E-02  4.967706E-13  1.187057E-13  2.471042E-16  7.647675E-16  4.206487E-22  3.786215E-25  1.984286E-30  1.000000E-30
    244  9.514750284226E-02  5.463677E-13  1.448152E-13  3.123734E-16  1.099704E-15  5.850081E-22  5.568341E-25  2.892011E-30  1.000000E-30
    245  9.592869681963E-02  5.864189E-13  1.709943E-13  3.811614E-16  1.510456E-15  7.793487E-22  7.810340E-25  4.022970E-30  1.000000E-30
    246  9.638259128200E-02  6.074633E-13  1.873288E-13  4.257035E-16  1.808057E-15  9.164788E-22  9.465629E-25  4.852348E-30  1.000000E-30
    247  9.686466198075E-02  6.280196E-13  2.055788E-13  4.768977E-16  2.181174E-15  1.084893E-21  1.157252E-24  5.902465E-30  1.000000E-30
    248  9.745016881397E-02  6.507899E-13  2.291400E-13  5.451217E-16  2.728729E-15  1.326411E-21  1.471778E-24  7.461032E-30  1.000000E-30
    249  9.798964068785E-02  6.700742E-13  2.524257E-13  6.147432E-16  3.345552E-15  1.592150E-21  1.832465E-24  9.237844E-30  1.000000E-30
    250  9.892639389759E-02  7.015678E-13  2.975018E-13  7.548966E-16  4.756912E-15  2.181900E-21  2.677722E-24  1.337010E-29  1.000000E-30
    251  9.977784733458E-02  7.312744E-13  3.456973E-13  9.110184E-16  6.564058E-15  2.911589E-21  3.790147E-24  1.876263E-29  1.000000E-30
    252  1.005622893962E-01  7.642190E-13  3.997473E-13  1.091286E-15  8.906275E-15  3.830433E-21  5.266989E-24  2.587077E-29  1.000000E-30
    253  1.013070552067E-01  8.060248E-13  4.645059E-13  1.311765E-15  1.205702E-14  5.035699E-21  7.297036E-24  3.558068E-29  1.000000E-30
    254  1.019791947326E-01  8.589501E-13  5.406149E-13  1.574580E-15  1.612657E-14  6.559014E-21  9.970100E-24  4.829715E-29  1.000000E-30
    255  1.025982572428E-01  9.275409E-13  6.335660E-13  1.899042E-15  2.150485E-14  8.534990E-21  1.356319E-23  6.531096E-29  1.000000E-30
    256  1.032644197032E-01  1.032378E-12  7.704892E-13  2.382512E-15  3.006915E-14  1.162391E-20  1.938238E-23  9.273998E-29  1.000000E-30
    257  1.039121745974E-01  1.178387E-12  9.592160E-13  3.058164E-15  4.291781E-14  1.617087E-20  2.826663E-23  1.344224E-28  1.000000E-30
    258  1.045193471709E-01  1.370168E-12  1.210637E-12  3.972931E-15  6.163097E-14  2.266960E-20  4.143190E-23  1.959115E-28  1.000000E-30
    259  1.051181778144E-01  1.629227E-12  1.561542E-12  5.273915E-15  9.034490E-14  3.245101E-20  6.199276E-23  2.915068E-28  1.000000E-30
    260  1.056826419982E-01  1.956771E-12  2.025900E-12  7.031571E-15  1.323138E-13  4.647230E-20  9.258467E-23  4.330999E-28  1.000000E-30
    261  1.062431336111E-01  2.385200E-12  2.667623E-12  9.515234E-15  1.966853E-13  6.755841E-20  1.403624E-22  6.532408E-28  1.000000E-30
    262  1.068146627648E-01  2.954510E-12  3.576429E-12  1.311977E-14  2.985515E-13  1.002400E-19  2.174269E-22  1.006658E-27  1.000000E-30
    263  1.073656177930E-01  3.659724E-12  4.783101E-12  1.803067E-14  4.502582E-13  1.478899E-19  3.344643E-22  1.540846E-27  1.000000E-30
    264  1.079139362418E-01  4.548798E-12  6.420091E-12  2.487103E-14  6.817149E-13  2.190607E-19  5.165811E-22  2.368166E-27  1.000000E-30
    265  1.084202130578E-01  5.566008E-12  8.436771E-12  3.352286E-14  1.001751E-12  3.154427E-19  7.733259E-22  3.529187E-27  1.000000E-30
    266  1.089957947327E-01  6.990507E-12  1.149588E-11  4.702302E-14  1.550562E-12  4.771190E-19  1.222809E-21  5.552054E-27  1.000000E-30
    267  1.095139929398E-01  8.554413E-12  1.514514E-11  6.360119E-14  2.292422E-12  6.908679E-19  1.843303E-21  8.331235E-27  1.000000E-30
    268  1.100036617482E-01  1.031110E-11  1.958309E-11  8.432140E-14  3.307837E-12  9.774480E-19  2.709567E-21  1.219418E-26  1.000000E-30
    269  1.105581599754E-01  1.265892E-11  2.604179E-11  1.153762E-13  4.983019E-12  1.439954E-18  4.169394E-21  1.867404E-26  1.000000E-30
    270  1.111738162549E-01  1.574936E-11  3.542121E-11  1.620220E-13  7.788509E-12  2.195538E-18  6.674427E-21  2.973653E-26  1.000000E-30
    271  1.117276452796E-01  1.899411E-11  4.631566E-11  2.180785E-13  1.155143E-11  3.184437E-18  1.011729E-20  4.486534E-26  1.000000E-30
    272  1.122547306619E-01  2.249642E-11  5.926953E-11  2.869312E-13  1.667610E-11  4.500551E-18  1.491618E-20  6.585656E-26  1.000000E-30
    273  1.128196390807E-01  2.668554E-11  7.641622E-11  3.812039E-13  2.447751E-11  6.457259E-18  2.239997E-20  9.844102E-26  1.000000E-30
    274  1.134172103791E-01  3.156971E-11  9.878588E-11  5.088093E-13  3.632158E-11  9.353629E-18  3.406248E-20  1.489727E-25  1.000000E-30
    275  1.139661173569E-01  3.640379E-11  1.236528E-10  6.560258E-13  5.165182E-11  1.301008E-17  4.955554E-20  2.157851E-25  1.000000E-30
    276  1.145721141816E-01  4.201388E-11  1.563035E-10  8.570123E-13  7.520470E-11  1.848459E-17  7.401350E-20  3.207518E-25  1.000000E-30
    277  1.151138636995E-01  4.715107E-11  1.903465E-10  1.075087E-12  1.039637E-10  2.499976E-17  1.047017E-19  4.518404E-25  1.000000E-30
    278  1.160623872824E-01  5.600316E-11  2.611821E-10  1.554575E-12  1.784766E-10  4.130174E-17  1.872624E-19  8.023059E-25  1.000000E-30
    279  1.166131253687E-01  6.079118E-11  3.084233E-10  1.893061E-12  2.401916E-10  5.435630E-17  2.581855E-19  1.101611E-24  1.000000E-30
    280  1.171578902390E-01  6.507848E-11  3.589758E-10  2.271839E-12  3.182927E-10  7.045698E-17  3.505127E-19  1.489538E-24  1.000000E-30
    281  1.179966344325E-01  7.045436E-11  4.424364E-10  2.936386E-12  4.798192E-10  1.026566E-16  5.487335E-19  2.317737E-24  1.000000E-30
    282  1.184626561866E-01  7.267164E-11  4.905568E-10  3.343625E-12  5.952115E-10  1.249554E-16  6.953308E-19  2.927177E-24  1.000000E-30
    283  1.189221956404E-01  7.425693E-11  5.383381E-10  3.767504E-12  7.298080E-10  1.503747E-16  8.708029E-19  3.654007E-24  1.000000E-30
    284  1.197605220964E-01  7.547543E-11  6.237212E-10  4.582266E-12  1.036939E-09  2.064872E-16  1.286631E-18  5.367572E-24  1.000000E-30
    285  1.205341475296E-01  7.474445E-11  6.971179E-10  5.358532E-12  1.400075E-09  2.701382E-16  1.802085E-18  7.478525E-24  1.000000E-30
    286  1.212540834288E-01  7.257328E-11  7.576534E-10  6.076513E-12  1.816029E-09  3.402372E-16  2.419777E-18  9.993810E-24  1.000000E-30
    287  1.219299358624E-01  6.940663E-11  8.055184E-10  6.725296E-12  2.281600E-09  4.157999E-16  3.141837E-18  1.291860E-23  1.000000E-30
    288  1.225766858039E-01  6.559347E-11  8.420935E-10  7.308322E-12  2.799217E-09  4.967802E-16  3.979386E-18  1.629431E-23  1.000000E-30
    289  1.231854533608E-01  6.145450E-11  8.673536E-10  7.808977E-12  3.354681E-09  5.806551E-16  4.915878E-18  2.005121E-23  1.000000E-30
    290  1.237219182154E-01  5.751163E-11  8.820197E-10  8.203669E-12  3.900660E-09  6.604164E-16  5.872329E-18  2.387199E-23  1.000000E-30
    291  1.242404039059E-01  5.356928E-11  8.896524E-10  8.540479E-12  4.479076E-09  7.423129E-16  6.922936E-18  2.805263E-23  1.000000E-30
    292  1.248086455930E-01  4.920022E-11  8.908187E-10  8.854899E-12  5.170929E-09  8.371019E-16  8.228342E-18  3.322668E-23  1.000000E-30
    293  1.253177247642E-01  4.528883E-11  8.853861E-10  9.081528E-12  5.843159E-09  9.262212E-16  9.546137E-18  3.842986E-23  1.000000E-30
    294  1.258810647447E-01  4.108661E-11  8.732327E-10  9.275147E-12  6.643275E-09  1.028766E-15  1.117720E-17  4.484561E-23  1.000000E-30
    295  1.264205598797E-01  3.724758E-11  8.562186E-10  9.405411E-12  7.464117E-09  1.130303E-15  1.292039E-17  5.167634E-23  1.000000E-30
    296  1.270317883483E-01  3.314128E-11  8.309781E-10  9.484653E-12  8.458510E-09  1.248777E-15  1.512614E-17  6.028640E-23  1.000000E-30
    297  1.275757308169E-01  2.974906E-11  8.041040E-10  9.498046E-12  9.399667E-09  1.356684E-15  1.730858E-17  6.877365E-23  1.000000E-30
    298  1.286048671531E-01  2.410199E-11  7.453900E-10  9.399229E-12  1.132149E-08  1.565500E-15  2.205215E-17  8.712971E-23  1.000000E-30
    299  1.290949488661E-01  2.174797E-11  7.144470E-10  9.295974E-12  1.230250E-08  1.666728E-15  2.462238E-17  9.703204E-23  1.000000E-30
    300  1.295345101683E-01  1.983014E-11  6.859160E-10  9.180341E-12  1.321860E-08  1.758274E-15  2.711346E-17  1.066044E-22  1.000000E-30
    301  1.303954523490E-01  1.657809E-11  6.293024E-10  8.904394E-12  1.511623E-08  1.939608E-15  3.255125E-17  1.274270E-22  1.000000E-30
    302  1.308549873199E-01  1.508320E-11  5.988848E-10  8.730788E-12  1.618923E-08  2.037707E-15  3.579029E-17  1.397893E-22  1.000000E-30
    303  1.312776310019E-01  1.384885E-11  5.712315E-10  8.560262E-12  1.721562E-08  2.128854E-15  3.899795E-17  1.520061E-22  1.000000E-30
    304  1.320787884157E-01  1.185048E-11  5.205701E-10  8.221304E-12  1.927419E-08  2.304604E-15  4.574640E-17  1.776365E-22  1.000000E-30
    305  1.327308179063E-01  1.050727E-11  4.812380E-10  7.933429E-12  2.107159E-08  2.451376E-15  5.197274E-17  2.012117E-22  1.000000E-30
    306  1.333821207310E-01  9.381514E-12  4.439317E-10  7.640370E-12  2.299068E-08  2.602250E-15  5.895170E-17  2.275690E-22  1.000000E-30
    307  1.339749669338E-01  8.523106E-12  4.121241E-10  7.377516E-12  2.485707E-08  2.743986E-15  6.605405E-17  2.543307E-22  1.000000E-30
    308  1.345530840576E-01  7.813143E-12  3.829617E-10  7.124443E-12  2.679945E-08  2.886984E-15  7.376382E-17  2.833224E-22  1.000000E-30
    309  1.351098094661E-01  7.229650E-12  3.565097E-10  6.883445E-12  2.879620E-08  3.029810E-15  8.201595E-17  3.142961E-22  1.000000E-30
    310  1.359304916944E-01  6.525286E-12  3.208042E-10  6.543985E-12  3.198873E-08  3.250522E-15  9.586918E-17  3.661813E-22  1.000000E-30
    311  1.363572082699E-01  6.219662E-12  3.036629E-10  6.374356E-12  3.377778E-08  3.370605E-15  1.039748E-16  3.964849E-22  1.000000E-30
    312  1.367788244083E-01  5.950723E-12  2.875115E-10  6.208788E-12  3.564079E-08  3.493240E-15  1.126696E-16  4.289527E-22  1.000000E-30
    313  1.375777712339E-01  5.522496E-12  2.593667E-10  5.910615E-12  3.944940E-08  3.736969E-15  1.312240E-16  4.981233E-22  1.000000E-30
    314  1.380438267916E-01  5.314136E-12  2.443587E-10  5.746478E-12  4.185315E-08  3.886467E-15  1.434573E-16  5.436561E-22  1.000000E-30
    315  1.384690951451E-01  5.145132E-12  2.313802E-10  5.599730E-12  4.417499E-08  4.028063E-15  1.556486E-16  5.889831E-22  1.000000E-30
    316  1.391087445178E-01  4.924703E-12  2.132094E-10  5.387772E-12  4.791353E-08  4.250735E-15  1.760307E-16  6.646694E-22  1.000000E-30
    317  1.397002518981E-01  4.751879E-12  1.978366E-10  5.203226E-12  5.165287E-08  4.467456E-15  1.973206E-16  7.436178E-22  1.000000E-30
    318  1.402705851668E-01  4.608099E-12  1.841540E-10  5.033759E-12  5.553831E-08  4.686977E-15  2.203738E-16  8.290010E-22  1.000000E-30
    319  1.408634912375E-01  4.478042E-12  1.709589E-10  4.864019E-12  5.989601E-08  4.927065E-15  2.473277E-16  9.287162E-22  1.000000E-30
    320  1.414089642241E-01  4.373638E-12  1.597830E-10  4.716607E-12  6.421096E-08  5.158918E-15  2.751305E-16  1.031461E-21  1.000000E-30
    321  1.419220762512E-01  4.286614E-12  1.500538E-10  4.585476E-12  6.855777E-08  5.387096E-15  3.042309E-16  1.138899E-21  1.000000E-30
    322  1.422771704232E-01  4.231542E-12  1.436707E-10  4.496716E-12  7.174333E-08  5.551238E-15  3.262405E-16  1.220097E-21  1.000000E-30
    323  1.426029315631E-01  4.184439E-12  1.380806E-10  4.417514E-12  7.479983E-08  5.706422E-15  3.478894E-16  1.299919E-21  1.000000E-30
    324  1.430135230101E-01  4.129330E-12  1.314006E-10  4.321424E-12  7.884237E-08  5.908360E-15  3.773078E-16  1.408323E-21  1.000000E-30
    325  1.434683796643E-01  4.073192E-12  1.244540E-10  4.219843E-12  8.358126E-08  6.140578E-15  4.129125E-16  1.539432E-21  1.000000E-30
    326  1.440315208021E-01  4.009789E-12  1.164490E-10  4.100144E-12  8.985427E-08  6.441116E-15  4.618638E-16  1.719547E-21  1.000000E-30
    327  1.445490332405E-01  3.956470E-12  1.095788E-10  3.993775E-12  9.605189E-08  6.731212E-15  5.122113E-16  1.904654E-21  1.000000E-30
    328  1.451370980342E-01  3.901015E-12  1.023700E-10  3.879829E-12  1.036273E-07  7.077172E-15  5.763650E-16  2.140342E-21  1.000000E-30
    329  1.457052374241E-01  3.851836E-12  9.596551E-11  3.776650E-12  1.115254E-07  7.428678E-15  6.462408E-16  2.396866E-21  1.000000E-30
    330  1.463107957421E-01  3.803304E-12  8.963346E-11  3.671078E-12  1.206338E-07  7.823799E-15  7.305336E-16  2.706119E-21  1.000000E-30
    331  1.468752132891E-01  3.761231E-12  8.418777E-11  3.578084E-12  1.298140E-07  8.211926E-15  8.193988E-16  3.031969E-21  1.000000E-30
    332  1.475510939381E-01  3.714287E-12  7.821772E-11  3.474254E-12  1.417509E-07  8.702796E-15  9.406887E-16  3.476505E-21  1.000000E-30
    333  1.481899111058E-01  3.672818E-12  7.303755E-11  3.381228E-12  1.540751E-07  9.195186E-15  1.072576E-15  3.959699E-21  1.000000E-30
    334  1.491767377555E-01  3.613502E-12  6.586604E-11  3.248587E-12  1.753214E-07  1.001393E-14  1.315285E-15  4.848619E-21  1.000000E-30
    335  1.497116139607E-01  3.583426E-12  6.236992E-11  3.182633E-12  1.880599E-07  1.048841E-14  1.469883E-15  5.414728E-21  1.000000E-30
    336  1.502421520731E-01  3.554889E-12  5.911829E-11  3.119313E-12  2.016477E-07  1.098289E-14  1.642123E-15  6.045408E-21  1.000000E-30
    337  1.509052103900E-01  3.520861E-12  5.537280E-11  3.045339E-12  2.200488E-07  1.163474E-14  1.887118E-15  6.942523E-21  1.000000E-30
    338  1.515352476696E-01  3.490038E-12  5.211506E-11  2.980228E-12  2.391047E-07  1.229016E-14  2.154821E-15  7.922937E-21  1.000000E-30
    339  1.521327102765E-01  3.462096E-12  4.924819E-11  2.921127E-12  2.587366E-07  1.294709E-14  2.445312E-15  8.987079E-21  1.000000E-30
    340  1.526678407657E-01  3.438049E-12  4.686577E-11  2.871382E-12  2.777104E-07  1.356595E-14  2.739831E-15  1.006634E-20  1.000000E-30
    341  1.532481602429E-01  3.412923E-12  4.446761E-11  2.820917E-12  2.998639E-07  1.427005E-14  3.100609E-15  1.138897E-20  1.000000E-30
    342  1.535863948111E-01  3.398714E-12  4.315000E-11  2.792887E-12  3.135800E-07  1.469678E-14  3.333039E-15  1.224141E-20  1.000000E-30
    343  1.538995751697E-01  3.385887E-12  4.197429E-11  2.767337E-12  3.268518E-07  1.510365E-14  3.564500E-15  1.309056E-20  1.000000E-30
    344  1.546020187628E-01  3.358114E-12  3.950619E-11  2.713338E-12  3.587093E-07  1.605740E-14  4.145652E-15  1.522378E-20  1.000000E-30
    345  1.552062305672E-01  3.335245E-12  3.755735E-11  2.670466E-12  3.885517E-07  1.692342E-14  4.722488E-15  1.734279E-20  1.000000E-30
    346  1.557875935888E-01  3.314157E-12  3.581351E-11  2.631419E-12  4.195695E-07  1.779825E-14  5.355192E-15  1.966883E-20  1.000000E-30
    347  1.566447447202E-01  3.284708E-12  3.346319E-11  2.578088E-12  4.698189E-07  1.916709E-14  6.450122E-15  2.369844E-20  1.000000E-30
    348  1.574294426159E-01  3.259230E-12  3.152485E-11  2.533946E-12  5.208758E-07  2.050212E-14  7.650319E-15  2.812129E-20  1.000000E-30
    349  1.581710514975E-01  3.236612E-12  2.985349E-11  2.495104E-12  5.740215E-07  2.183954E-14  8.993316E-15  3.307709E-20  1.000000E-30
    350  1.588328903187E-01  3.217417E-12  2.848802E-11  2.463421E-12  6.257630E-07  2.309545E-14  1.039091E-14  3.824137E-20  1.000000E-30
    351  1.594606073659E-01  3.200007E-12  2.729102E-11  2.435551E-12  6.788145E-07  2.433977E-14  1.191677E-14  4.388718E-20  1.000000E-30
    352  1.600565792087E-01  3.184346E-12  2.623458E-11  2.410683E-12  7.330342E-07  2.557069E-14  1.357370E-14  5.002623E-20  1.000000E-30
    353  1.607059625219E-01  3.167992E-12  2.516839E-11  2.385713E-12  7.965985E-07  2.696527E-14  1.564033E-14  5.769450E-20  1.000000E-30
    354  1.613957576202E-01  3.151319E-12  2.412299E-11  2.361229E-12  8.694669E-07  2.850439E-14  1.817669E-14  6.712137E-20  1.000000E-30
    355  1.620398820205E-01  3.136590E-12  2.322087E-11  2.339976E-12  9.427913E-07  2.999501E-14  2.091177E-14  7.730455E-20  1.000000E-30
    356  1.627691861850E-01  3.120479E-12  2.227983E-11  2.317977E-12  1.032231E-06  3.174069E-14  2.449624E-14  9.067601E-20  1.000000E-30
    357  1.634667099868E-01  3.105500E-12  2.145049E-11  2.298509E-12  1.124361E-06  3.346196E-14  2.848275E-14  1.055792E-19  1.000000E-30
    358  1.645369737572E-01  3.083292E-12  2.030026E-11  2.271484E-12  1.278864E-06  3.619185E-14  3.585493E-14  1.332210E-19  1.000000E-30
    359  1.651200899964E-01  3.071127E-12  1.972851E-11  2.257987E-12  1.369875E-06  3.771538E-14  4.061225E-14  1.511105E-19  1.000000E-30
