 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                rh108         rh109         rh110         rh111         rh112         rh113         rh114         rh115
    143  5.146205644840E-02  2.340401E-26  5.918250E-26  6.603453E-26  9.323971E-26  2.685193E-26  2.224145E-26  1.762395E-27  1.123417E-28
    144  5.162089365231E-02  3.608351E-26  9.327891E-26  1.058186E-25  1.524824E-25  4.461655E-26  3.767801E-26  3.027060E-27  1.956356E-28
    145  5.177902725711E-02  5.522555E-26  1.459347E-25  1.683111E-25  2.475017E-25  7.357611E-26  6.334606E-26  5.159807E-27  3.381003E-28
    146  5.193558292952E-02  8.362646E-26  2.258429E-25  2.647603E-25  3.972189E-25  1.199467E-25  1.052606E-25  8.691343E-27  5.773177E-28
    147  5.207655208218E-02  1.208629E-25  3.328817E-25  3.960404E-25  6.050475E-25  1.853057E-25  1.654483E-25  1.382989E-26  9.300246E-28
    148  5.220437120847E-02  1.679365E-25  4.708653E-25  5.677572E-25  8.818053E-25  2.735615E-25  2.481138E-25  2.097308E-26  1.426295E-27
    149  5.240275279905E-02  2.770577E-25  7.989437E-25  9.838754E-25  1.568431E-24  4.965677E-25  4.617379E-25  3.972920E-26  2.750430E-27
    150  5.258707116153E-02  4.354981E-25  1.288560E-24  1.617667E-24  2.640735E-24  8.516545E-25  8.100459E-25  7.082925E-26  4.983538E-27
    151  5.276353482958E-02  6.635133E-25  2.012513E-24  2.573818E-24  4.298890E-24  1.411317E-24  1.371942E-24  1.218307E-25  8.706463E-27
    152  5.293536770993E-02  9.876511E-25  3.069078E-24  3.996739E-24  6.826495E-24  2.280410E-24  2.264522E-24  2.041560E-25  1.481363E-26
    153  5.310288915571E-02  1.437341E-24  4.573124E-24  6.061261E-24  1.058087E-23  3.594881E-24  3.644713E-24  3.334579E-25  2.455769E-26
    154  5.325369291828E-02  1.993603E-24  6.479799E-24  8.726229E-24  1.553622E-23  5.359782E-24  5.536991E-24  5.133611E-25  3.831722E-26
    155  5.339308966526E-02  2.671479E-24  8.856202E-24  1.210331E-23  2.194536E-23  7.678616E-24  8.071422E-24  7.575969E-25  5.725357E-26
    156  5.362726198018E-02  4.280503E-24  1.467795E-23  2.057196E-23  3.848880E-23  1.379858E-23  1.494507E-23  1.432792E-24  1.106234E-25
    157  5.383816121000E-02  6.391775E-24  2.258049E-23  3.235681E-23  6.222666E-23  2.278907E-23  2.533923E-23  2.474873E-24  1.947197E-25
    158  5.403768730975E-02  9.162326E-24  3.330365E-23  4.874328E-23  9.623773E-23  3.596772E-23  4.100436E-23  4.076120E-24  3.264815E-25
    159  5.422986619970E-02  1.273727E-23  4.758783E-23  7.108482E-23  1.439571E-22  5.486694E-23  6.407956E-23  6.479482E-24  5.280369E-25
    160  5.440569294967E-02  1.698488E-23  6.508045E-23  9.905259E-23  2.053315E-22  7.967952E-23  9.514656E-23  9.772570E-24  8.091556E-25
    161  5.456994612052E-02  2.197587E-23  8.621737E-23  1.335409E-22  2.829354E-22  1.116569E-22  1.361298E-22  1.418816E-23  1.192370E-24
    162  5.485681963417E-02  3.371357E-23  1.379329E-22  2.203879E-22  4.854355E-22  1.973858E-22  2.497000E-22  2.670967E-23  2.304685E-24
    163  5.511708850657E-02  4.858617E-23  2.063610E-22  3.389768E-22  7.729838E-22  3.228137E-22  4.221359E-22  4.622307E-23  4.084966E-24
    164  5.536560227933E-02  6.782192E-23  2.986243E-22  5.037457E-22  1.187537E-21  5.087486E-22  6.865984E-22  7.686516E-23  6.948195E-24
    165  5.559867087093E-02  9.167483E-23  4.175998E-22  7.223251E-22  1.757160E-21  7.711345E-22  1.072249E-21  1.225810E-22  1.132041E-23
    166  5.582344501454E-02  1.214661E-22  5.717898E-22  1.013266E-21  2.540963E-21  1.141368E-21  1.633555E-21  1.905716E-22  1.796779E-23
    167  5.608267729631E-02  1.664452E-22  8.139243E-22  1.483338E-21  3.853114E-21  1.778062E-21  2.631481E-21  3.142819E-22  3.035271E-23
    168  5.632179590432E-02  2.208222E-22  1.118530E-21  2.091925E-21  5.613869E-21  2.655882E-21  4.054179E-21  4.948034E-22  4.886073E-23
    169  5.658568452696E-02  2.992321E-22  1.575968E-21  3.033089E-21  8.438684E-21  4.103837E-21  6.483090E-21  8.104664E-22  8.202847E-23
    170  5.682194908758E-02  3.901696E-22  2.128137E-21  4.202378E-21  1.207695E-20  6.020130E-21  9.807726E-21  1.252757E-21  1.296293E-22
    171  5.707748662895E-02  5.163678E-22  2.925515E-21  5.940067E-21  1.768175E-20  9.053385E-21  1.525049E-20  1.993962E-21  2.113412E-22
    172  5.730159219632E-02  6.566275E-22  3.846567E-21  8.003676E-21  2.457295E-20  1.288156E-20  2.234610E-20  2.982223E-21  3.228366E-22
    173  5.769211250520E-02  9.866434E-22  6.127769E-21  1.330718E-20  4.312807E-20  2.355794E-20  4.302181E-20  5.950890E-21  6.684529E-22
    174  5.804755660481E-02  1.412010E-21  9.251489E-21  2.089069E-20  7.114378E-20  4.034920E-20  7.723391E-20  1.103868E-20  1.282622E-21
    175  5.837706807704E-02  1.950800E-21  1.343390E-20  3.145569E-20  1.121759E-19  6.588162E-20  1.317473E-19  1.941193E-20  2.327753E-21
    176  5.868213309337E-02  2.612736E-21  1.884427E-20  4.563603E-20  1.698712E-19  1.030547E-19  2.146382E-19  3.253141E-20  4.016892E-21
    177  5.897372529375E-02  3.434396E-21  2.589470E-20  6.476806E-20  2.512069E-19  1.572091E-19  3.404571E-19  5.301750E-20  6.733103E-21
