 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ti46          ti47          ti48          ti49          ti50          ti51          ti52          ti53 
    111  4.641297951594E-02  7.325621E-17  1.441280E-14  1.036938E-11  3.479854E-10  5.114139E-08  5.233278E-08  6.664149E-08  9.690478E-09
    112  4.656990459822E-02  7.520326E-17  1.495845E-14  1.091302E-11  3.740404E-10  5.639984E-08  5.863546E-08  7.612607E-08  1.122522E-08
    113  4.671253119976E-02  7.642748E-17  1.537336E-14  1.137336E-11  3.974072E-10  6.135552E-08  6.471512E-08  8.551249E-08  1.277054E-08
    114  4.684580987606E-02  7.709430E-17  1.568657E-14  1.176987E-11  4.187727E-10  6.611317E-08  7.068245E-08  9.495041E-08  1.434964E-08
    115  4.697520204195E-02  7.730759E-17  1.591973E-14  1.212059E-11  4.389269E-10  7.082780E-08  7.672544E-08  1.047341E-07  1.601228E-08
    116  4.709649788536E-02  7.713419E-17  1.607461E-14  1.241679E-11  4.571798E-10  7.531552E-08  8.260092E-08  1.144647E-07  1.769090E-08
    117  4.721637454993E-02  7.662818E-17  1.616807E-14  1.267736E-11  4.745210E-10  7.980021E-08  8.859637E-08  1.246158E-07  1.946775E-08
    118  4.732862910872E-02  7.587409E-17  1.620348E-14  1.289179E-11  4.900664E-10  8.403208E-08  9.437112E-08  1.346057E-07  2.124124E-08
    119  4.750539400184E-02  7.419299E-17  1.616230E-14  1.317113E-11  5.130703E-10  9.073358E-08  1.037584E-07  1.512929E-07  2.425676E-08
    120  4.767210524850E-02  7.212812E-17  1.602309E-14  1.336998E-11  5.330086E-10  9.706785E-08  1.129178E-07  1.681131E-07  2.736111E-08
    121  4.783406579930E-02  6.975479E-17  1.580406E-14  1.350488E-11  5.506711E-10  1.032082E-07  1.220781E-07  1.854726E-07  3.063059E-08
    122  4.799263518131E-02  6.714547E-17  1.551801E-14  1.358314E-11  5.662792E-10  1.091860E-07  1.312777E-07  2.034558E-07  3.408536E-08
    123  4.815339657435E-02  6.425133E-17  1.516001E-14  1.360827E-11  5.802978E-10  1.151932E-07  1.408223E-07  2.227081E-07  3.785781E-08
    124  4.832264594384E-02  6.103847E-17  1.472663E-14  1.358302E-11  5.932155E-10  1.214438E-07  1.510909E-07  2.441015E-07  4.213641E-08
    125  4.849826454798E-02  5.759174E-17  1.422678E-14  1.350504E-11  6.046485E-10  1.278307E-07  1.619645E-07  2.675394E-07  4.692525E-08
    126  4.867786870736E-02  5.401120E-17  1.367398E-14  1.337547E-11  6.143049E-10  1.342381E-07  1.732927E-07  2.928347E-07  5.220885E-08
    127  4.885872256535E-02  5.040444E-17  1.308536E-14  1.319889E-11  6.219966E-10  1.405421E-07  1.848865E-07  3.196764E-07  5.794269E-08
    128  4.903755607841E-02  4.688160E-17  1.248101E-14  1.298331E-11  6.276468E-10  1.466083E-07  1.965066E-07  3.475794E-07  6.403864E-08
    129  4.921259737621E-02  4.350957E-17  1.187564E-14  1.273684E-11  6.313390E-10  1.523621E-07  2.079983E-07  3.761991E-07  7.043180E-08
    130  4.938368810460E-02  4.031120E-17  1.127684E-14  1.246549E-11  6.332272E-10  1.577872E-07  2.193082E-07  4.054089E-07  7.710150E-08
    131  4.955132280349E-02  3.728844E-17  1.068823E-14  1.217332E-11  6.334558E-10  1.628874E-07  2.304244E-07  4.351838E-07  8.404955E-08
    132  4.971624312404E-02  3.443383E-17  1.011117E-14  1.186295E-11  6.321340E-10  1.676706E-07  2.413492E-07  4.655458E-07  9.128966E-08
    133  4.987811857735E-02  3.175464E-17  9.549760E-15  1.153825E-11  6.293555E-10  1.721108E-07  2.520113E-07  4.963129E-07  9.878729E-08
    134  5.003799836445E-02  2.921543E-17  8.998068E-15  1.119634E-11  6.250231E-10  1.762120E-07  2.624220E-07  5.275639E-07  1.065715E-07
    135  5.019682549602E-02  2.681883E-17  8.459253E-15  1.084068E-11  6.192937E-10  1.799787E-07  2.725867E-07  5.593418E-07  1.146655E-07
    136  5.035511419132E-02  2.455760E-17  7.933449E-15  1.047204E-11  6.121772E-10  1.833907E-07  2.824673E-07  5.915947E-07  1.230718E-07
    137  5.051299755300E-02  2.242817E-17  7.421442E-15  1.009148E-11  6.036704E-10  1.864123E-07  2.919896E-07  6.241654E-07  1.317673E-07
