 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ge72          ge73          ge74          ge75          ge76          ge77          ge78          ge79 
    119  4.750539400184E-02  4.224981E-16  4.599096E-15  1.017679E-13  3.715055E-13  2.807226E-12  3.160149E-12  8.910208E-12  3.590860E-12
    120  4.767210524850E-02  5.425398E-16  6.024583E-15  1.371264E-13  5.100197E-13  3.956087E-12  4.529657E-12  1.308115E-11  5.356137E-12
    121  4.783406579930E-02  6.860225E-16  7.766838E-15  1.817030E-13  6.882069E-13  5.475922E-12  6.374212E-12  1.884184E-11  7.834940E-12
    122  4.799263518131E-02  8.570206E-16  9.888779E-15  2.376614E-13  9.163343E-13  7.475545E-12  8.843912E-12  2.674633E-11  1.129155E-11
    123  4.815339657435E-02  1.066935E-15  1.255070E-14  3.100249E-13  1.217179E-12  1.018563E-11  1.224995E-11  3.791806E-11  1.625610E-11
    124  4.832264594384E-02  1.335036E-15  1.602712E-14  4.075214E-13  1.630797E-12  1.401796E-11  1.715411E-11  5.441586E-11  2.371059E-11
    125  4.849826454798E-02  1.673959E-15  2.052508E-14  5.378260E-13  2.195374E-12  1.940467E-11  2.417823E-11  7.867696E-11  3.486497E-11
    126  4.867786870736E-02  2.096932E-15  2.627383E-14  7.100066E-13  2.957712E-12  2.690074E-11  3.414368E-11  1.140435E-10  5.141818E-11
    127  4.885872256535E-02  2.616075E-15  3.350167E-14  9.339086E-13  3.971003E-12  3.717307E-11  4.806991E-11  1.648426E-10  7.562852E-11
    128  4.903755607841E-02  3.239106E-15  4.238637E-14  1.218527E-12  5.287471E-12  5.093051E-11  6.708817E-11  2.361399E-10  1.102259E-10
    129  4.921259737621E-02  3.974284E-15  5.312010E-14  1.573901E-12  6.966811E-12  6.901195E-11  9.256778E-11  3.342635E-10  1.586921E-10
    130  4.938368810460E-02  4.834188E-15  6.596709E-14  2.013172E-12  9.086569E-12  9.251176E-11  1.263097E-10  4.676701E-10  2.257379E-10
    131  4.955132280349E-02  5.835376E-15  8.126566E-14  2.553037E-12  1.174575E-11  1.228469E-10  1.706738E-10  6.476517E-10  3.177399E-10
    132  4.971624312404E-02  6.998562E-15  9.943757E-14  3.214500E-12  1.507023E-11  1.618529E-10  2.287583E-10  8.893415E-10  4.433653E-10
    133  4.987811857735E-02  8.338818E-15  1.208372E-13  4.017607E-12  1.918748E-11  2.115156E-10  3.040380E-10  1.210485E-09  6.130535E-10
    134  5.003799836445E-02  9.884270E-15  1.460534E-13  4.993357E-12  2.428884E-11  2.747673E-10  4.016113E-10  1.637140E-09  8.421720E-10
    135  5.019682549602E-02  1.166825E-14  1.757924E-13  6.179310E-12  3.061104E-11  3.553193E-10  5.280566E-10  2.203742E-09  1.151380E-09
    136  5.035511419132E-02  1.372548E-14  2.108301E-13  7.619234E-12  3.843779E-11  4.577866E-10  6.917250E-10  2.955265E-09  1.568143E-09
    137  5.051299755300E-02  1.608999E-14  2.519771E-13  9.361972E-12  4.809666E-11  5.877244E-10  9.029149E-10  3.948959E-09  2.128123E-09
    138  5.067010535678E-02  1.878886E-14  2.999688E-13  1.145697E-11  5.993641E-11  7.513926E-10  1.173598E-09  5.254051E-09  2.875484E-09
    139  5.082726902819E-02  2.187103E-14  3.559830E-13  1.397762E-11  7.446318E-11  9.577605E-10  1.520911E-09  6.970071E-09  3.874089E-09
    140  5.098506829486E-02  2.538753E-14  4.213179E-13  1.700947E-11  9.228478E-11  1.218000E-09  1.966661E-09  9.227383E-09  5.209125E-09
    141  5.114361869269E-02  2.938239E-14  4.972300E-13  2.064384E-11  1.140802E-10  1.545254E-09  2.537258E-09  1.218971E-08  6.989991E-09
    142  5.130328078870E-02  3.390545E-14  5.851823E-13  2.499078E-11  1.406850E-10  1.956170E-09  3.266761E-09  1.607364E-08  9.363819E-09
    143  5.146205644840E-02  3.892688E-14  6.851516E-13  3.009408E-11  1.725696E-10  2.462899E-09  4.182874E-09  2.107648E-08  1.247283E-08
    144  5.162089365231E-02  4.448808E-14  7.985661E-13  3.607730E-11  2.107401E-10  3.087274E-09  5.332567E-09  2.751731E-08  1.654304E-08
    145  5.177902725711E-02  5.056017E-14  9.255068E-13  4.300272E-11  2.558677E-10  3.847308E-09  6.758196E-09  3.571225E-08  2.180968E-08
    146  5.193558292952E-02  5.708271E-14  1.065398E-12  5.090424E-11  3.084717E-10  4.759953E-09  8.502197E-09  4.600082E-08  2.853424E-08
    147  5.207655208218E-02  6.335484E-14  1.203374E-12  5.896493E-11  3.632633E-10  5.738012E-09  1.040484E-08  5.750645E-08  3.617612E-08
    148  5.220437120847E-02  6.933062E-14  1.338002E-12  6.707994E-11  4.194941E-10  6.768373E-09  1.244231E-08  7.010977E-08  4.467113E-08
    149  5.240275279905E-02  7.902764E-14  1.563321E-12  8.121524E-11  5.198533E-10  8.669019E-09  1.627899E-08  9.452791E-08  6.143675E-08
    150  5.258707116153E-02  8.829858E-14  1.787391E-12  9.598395E-11  6.278479E-10  1.079655E-08  2.067971E-08  1.234883E-07  8.175505E-08
    151  5.276353482958E-02  9.716314E-14  2.010715E-12  1.114621E-10  7.444027E-10  1.318355E-08  2.573611E-08  1.578615E-07  1.063796E-07
    152  5.293536770993E-02  1.055165E-13  2.231075E-12  1.275696E-10  8.694195E-10  1.584647E-08  3.151315E-08  1.984222E-07  1.360432E-07
    153  5.310288915571E-02  1.131250E-13  2.442715E-12  1.439596E-10  1.000726E-09  1.875864E-08  3.798580E-08  2.453677E-07  1.710932E-07
    154  5.325369291828E-02  1.192888E-13  2.625051E-12  1.589828E-10  1.125051E-09  2.162936E-08  4.451964E-08  2.942745E-07  2.083414E-07
    155  5.339308966526E-02  1.242404E-13  2.782339E-12  1.728155E-10  1.243295E-09  2.446874E-08  5.113057E-08  3.452561E-07  2.479021E-07
    156  5.362726198018E-02  1.305641E-13  3.011455E-12  1.951613E-10  1.443610E-09  2.955262E-08  6.334440E-08  4.433552E-07  3.259743E-07
    157  5.383816121000E-02  1.337650E-13  3.168537E-12  2.133858E-10  1.618522E-09  3.433523E-08  7.530563E-08  5.444490E-07  4.089631E-07
    158  5.403768730975E-02  1.344443E-13  3.266076E-12  2.281330E-10  1.772042E-09  3.888579E-08  8.716416E-08  6.498850E-07  4.981701E-07
    159  5.422986619970E-02  1.329553E-13  3.309552E-12  2.394587E-10  1.903207E-09  4.315040E-08  9.877839E-08  7.586878E-07  5.930775E-07
    160  5.440569294967E-02  1.298608E-13  3.305505E-12  2.470150E-10  2.005006E-09  4.683965E-08  1.093100E-07  8.627519E-07  6.866428E-07
    161  5.456994612052E-02  1.256405E-13  3.265569E-12  2.515155E-10  2.082117E-09  5.002251E-08  1.188621E-07  9.623526E-07  7.788882E-07
    162  5.485681963417E-02  1.157642E-13  3.120910E-12  2.534274E-10  2.171483E-09  5.479022E-08  1.343662E-07  1.137473E-06  9.480865E-07
    163  5.511708850657E-02  1.048697E-13  2.922709E-12  2.490202E-10  2.201622E-09  5.808297E-08  1.465924E-07  1.292346E-06  1.106384E-06
