 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                pd108         pd109         pd110         pd111         pd112         pd113         pd114         pd115
    197  6.614173306661E-02  1.874590E-22  4.725266E-21  2.000054E-19  1.656144E-18  2.637417E-17  9.722132E-17  5.513283E-16  8.529866E-16
    198  6.666431851744E-02  2.415927E-22  6.509008E-21  3.024883E-19  2.658442E-18  4.632912E-17  1.805582E-16  1.114178E-15  1.812594E-15
    199  6.714973898932E-02  3.024990E-22  8.672102E-21  4.397358E-19  4.085628E-18  7.745417E-17  3.179699E-16  2.123202E-15  3.620037E-15
    200  6.763365269933E-02  3.725456E-22  1.136584E-20  6.291274E-19  6.180311E-18  1.275027E-16  5.514242E-16  3.985585E-15  7.122541E-15
    201  6.810748363549E-02  4.467420E-22  1.448960E-20  8.742859E-19  9.072797E-18  2.034200E-16  9.260226E-16  7.235844E-15  1.354356E-14
    202  6.886988901479E-02  5.551322E-22  1.987048E-20  1.378104E-18  1.562749E-17  4.009148E-16  1.983024E-15  1.758087E-14  3.546878E-14
    203  6.932442343830E-02  5.894362E-22  2.239893E-20  1.689945E-18  2.021448E-17  5.623363E-16  2.923446E-15  2.796035E-14  5.900547E-14
    204  6.977291475786E-02  5.848114E-22  2.357216E-20  1.932987E-18  2.437626E-17  7.348605E-16  4.013710E-15  4.138899E-14  9.133043E-14
    205  7.051837306122E-02  4.867183E-22  2.163993E-20  2.038954E-18  2.808492E-17  9.684074E-16  5.744605E-15  6.718641E-14  1.597496E-13
    206  7.120724846930E-02  3.422562E-22  1.667678E-20  1.788983E-18  2.675592E-17  1.045627E-15  6.698275E-15  8.808752E-14  2.245306E-13
    207  7.185571854523E-02  2.177639E-22  1.157505E-20  1.404628E-18  2.271265E-17  9.996768E-16  6.888049E-15  1.012521E-13  2.756836E-13
    208  7.250556240022E-02  1.284659E-22  7.453559E-21  1.024064E-18  1.791528E-17  8.889691E-16  6.592594E-15  1.084279E-13  3.155431E-13
    209  7.308358088908E-02  7.717987E-23  4.843057E-21  7.435932E-19  1.395859E-17  7.711321E-16  6.107807E-15  1.110844E-13  3.431337E-13
    210  7.365083251161E-02  4.561023E-23  3.091932E-21  5.298090E-19  1.066211E-17  6.550073E-16  5.536443E-15  1.112237E-13  3.644028E-13
    211  7.420607479025E-02  2.670377E-23  1.953205E-21  3.727819E-19  8.034055E-18  5.479103E-16  4.937269E-15  1.093884E-13  3.797899E-13
    212  7.477269193766E-02  1.513316E-23  1.196472E-21  2.549348E-19  5.894426E-18  4.474302E-16  4.305542E-15  1.054705E-13  3.886561E-13
    213  7.532671922740E-02  8.455583E-24  7.215938E-22  1.713020E-19  4.244315E-18  3.580301E-16  3.675202E-15  9.939622E-14  3.883772E-13
    214  7.590819975934E-02  4.452040E-24  4.117433E-22  1.094587E-19  2.917460E-18  2.750799E-16  3.023099E-15  9.076694E-14  3.773056E-13
    215  7.648106882397E-02  2.286903E-24  2.289391E-22  6.797524E-20  1.947699E-18  2.049985E-16  2.410464E-15  8.026068E-14  3.547407E-13
    216  7.706864365518E-02  1.108877E-24  1.204086E-22  3.998422E-20  1.234409E-18  1.455095E-16  1.834503E-15  6.796604E-14  3.200342E-13
    217  7.765097184480E-02  5.186285E-25  6.102245E-23  2.257886E-20  7.508776E-19  9.906964E-17  1.338946E-15  5.518341E-14  2.767888E-13
    218  7.824188421090E-02  2.306082E-25  2.940041E-23  1.207373E-20  4.330793E-19  6.403970E-17  9.290608E-16  4.267691E-14  2.283088E-13
    219  7.883216312169E-02  9.874051E-26  1.362043E-23  6.157634E-21  2.382636E-19  3.945807E-17  6.146105E-16  3.147541E-14  1.796464E-13
    220  7.934760137230E-02  4.560698E-26  6.730759E-24  3.279903E-21  1.356634E-19  2.479718E-17  4.111793E-16  2.317134E-14  1.400033E-13
    221  7.991019390762E-02  1.922387E-26  3.046898E-24  1.587817E-21  7.062497E-20  1.434858E-17  2.547644E-16  1.593656E-14  1.024940E-13
    222  8.044081450283E-02  8.396693E-27  1.420085E-24  7.742008E-22  3.687555E-20  8.255244E-18  1.563704E-16  1.079296E-14  7.364717E-14
    223  8.103419684334E-02  3.286145E-27  5.969051E-25  3.339987E-22  1.717694E-20  4.269071E-18  8.694710E-17  6.698806E-15  4.885506E-14
    224  8.158988408622E-02  1.367883E-27  2.650378E-25  1.477763E-22  8.158943E-21  2.221908E-18  4.843394E-17  4.134148E-15  3.210122E-14
    225  8.219791245697E-02  5.269269E-28  1.096700E-25  5.916525E-23  3.528766E-21  1.051649E-18  2.469035E-17  2.354008E-15  1.958218E-14
    226  8.273529679330E-02  2.276864E-28  5.058156E-26  2.596127E-23  1.656628E-21  5.286959E-19  1.325179E-17  1.390875E-15  1.230055E-14
    227  8.327310875316E-02  9.834470E-29  2.339282E-26  1.129316E-23  7.705254E-22  2.598936E-19  6.952451E-18  8.014600E-16  7.537688E-15
    228  8.381967664174E-02  4.184686E-29  1.070681E-26  4.849927E-24  3.538983E-22  1.242474E-19  3.548444E-18  4.482007E-16  4.488117E-15
    229  8.442137901789E-02  1.618821E-29  4.508162E-27  1.921794E-24  1.509927E-22  5.433795E-20  1.666333E-18  2.313733E-16  2.483068E-15
    230  8.496109010092E-02  6.796980E-30  2.049628E-27  8.411659E-25  7.063879E-23  2.557452E-20  8.351836E-19  1.254409E-16  1.432841E-15
    231  8.556251684447E-02  2.529581E-30  8.379880E-28  3.373633E-25  3.055110E-23  1.097995E-20  3.842137E-19  6.240579E-17  7.642371E-16
    232  8.609514523980E-02  1.032163E-30  3.732623E-28  1.509630E-25  1.463220E-23  5.186294E-21  1.927456E-19  3.324025E-17  4.329998E-16
    233  8.668730402486E-02  1.000000E-30  1.483205E-28  6.163433E-26  6.455955E-24  2.250636E-21  8.939528E-20  1.630390E-17  2.275049E-16
    234  8.725638446658E-02  1.000000E-30  5.964417E-29  2.591968E-26  2.930226E-24  1.010442E-21  4.277813E-20  8.146539E-18  1.214479E-16
    235  8.784892152766E-02  1.000000E-30  2.252424E-29  1.042043E-26  1.277763E-24  4.401815E-22  1.992724E-20  3.932006E-18  6.279958E-17
    236  8.837914431516E-02  1.000000E-30  9.210059E-30  4.556066E-27  6.016012E-25  2.094349E-22  1.007779E-20  2.040420E-18  3.466657E-17
    237  8.927467123273E-02  1.000000E-30  1.876489E-30  1.068362E-27  1.616579E-25  5.882395E-23  3.173821E-21  6.716383E-19  1.268158E-17
    238  9.009385267910E-02  1.000000E-30  1.000000E-30  2.701981E-28  4.669755E-26  1.825712E-23  1.102046E-21  2.433071E-19  5.044038E-18
    239  9.088007009323E-02  1.000000E-30  1.000000E-30  7.233712E-29  1.402747E-26  6.061995E-24  3.969440E-22  9.098719E-20  2.068928E-18
    240  9.160938796651E-02  1.000000E-30  1.000000E-30  2.075036E-29  4.402412E-27  2.061220E-24  1.489154E-22  3.652365E-20  9.122688E-19
    241  9.231864750676E-02  1.000000E-30  1.000000E-30  5.806214E-30  1.372796E-27  7.132082E-25  5.691066E-23  1.507538E-20  4.106837E-19
    242  9.335415502949E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.281648E-28  1.327642E-25  1.268397E-23  3.858157E-21  1.240998E-19
    243  9.429165011748E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.394948E-29  2.749785E-26  3.108160E-24  1.109454E-21  4.177167E-20
    244  9.514750284226E-02  1.000000E-30  1.000000E-30  1.000000E-30  8.966045E-30  7.035758E-27  9.042474E-25  3.770771E-22  1.531522E-20
    245  9.592869681963E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.207899E-30  2.082476E-27  2.883389E-25  1.333850E-22  5.867683E-21
    246  9.638259128200E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.008555E-27  1.444870E-25  7.150168E-23  3.304386E-21
    247  9.686466198075E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.370534E-28  6.714478E-26  3.576038E-23  1.761499E-21
    248  9.745016881397E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.550914E-28  2.601220E-26  1.511581E-23  8.053865E-22
