 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                fe60          fe61          fe62          fe63          fe64          fe65          fe66          fe67 
    117  4.721637454993E-02  6.554359E-09  1.887733E-09  2.248296E-09  2.308229E-10  3.982500E-11  2.295319E-12  3.359822E-13  1.618322E-14
    118  4.732862910872E-02  7.386476E-09  2.147834E-09  2.598059E-09  2.687505E-10  4.699384E-11  2.728179E-12  4.047567E-13  1.963530E-14
    119  4.750539400184E-02  8.863897E-09  2.616630E-09  3.243501E-09  3.395335E-10  6.063898E-11  3.560741E-12  5.396200E-13  2.647332E-14
    120  4.767210524850E-02  1.046247E-08  3.132890E-09  3.974208E-09  4.207305E-10  7.665681E-11  4.550078E-12  7.035432E-13  3.488333E-14
    121  4.783406579930E-02  1.222692E-08  3.712424E-09  4.816442E-09  5.155086E-10  9.577083E-11  5.744494E-12  9.057685E-13  4.537580E-14
    122  4.799263518131E-02  1.417731E-08  4.363655E-09  5.787565E-09  6.261412E-10  1.185670E-10  7.185250E-12  1.154893E-12  5.844401E-14
    123  4.815339657435E-02  1.640428E-08  5.119474E-09  6.944008E-09  7.595007E-10  1.466398E-10  8.979570E-12  1.471723E-12  7.524554E-14
    124  4.832264594384E-02  1.904679E-08  6.031603E-09  8.377011E-09  9.268521E-10  1.826560E-10  1.130855E-11  1.891977E-12  9.778400E-14
    125  4.849826454798E-02  2.214555E-08  7.120226E-09  1.013507E-08  1.134885E-09  2.284723E-10  1.430741E-11  2.445492E-12  1.278198E-13
    126  4.867786870736E-02  2.573069E-08  8.402726E-09  1.226566E-08  1.390435E-09  2.861055E-10  1.812700E-11  3.167097E-12  1.674521E-13
    127  4.885872256535E-02  2.981144E-08  9.889540E-09  1.480743E-08  1.699514E-09  3.575076E-10  2.291915E-11  4.094056E-12  2.189885E-13
    128  4.903755607841E-02  3.435975E-08  1.157729E-08  1.777620E-08  2.065486E-09  4.441050E-10  2.880454E-11  5.259588E-12  2.845822E-13
    129  4.921259737621E-02  3.935545E-08  1.346471E-08  2.119064E-08  2.492096E-09  5.474620E-10  3.591613E-11  6.700941E-12  3.666745E-13
