 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                nb97          nb98          nb99          nb100         nb101         nb102         nb103         nb104
    143  5.146205644840E-02  3.619749E-19  2.067188E-19  2.190184E-19  5.061380E-20  5.091398E-20  1.004069E-20  3.563618E-21  3.655051E-22
    144  5.162089365231E-02  5.184972E-19  3.011699E-19  3.246766E-19  7.626528E-20  7.824014E-20  1.566155E-20  5.668750E-21  5.886260E-22
    145  5.177902725711E-02  7.373300E-19  4.355826E-19  4.777803E-19  1.140697E-19  1.193397E-19  2.424653E-20  8.949651E-21  9.407868E-22
    146  5.193558292952E-02  1.038482E-18  6.238415E-19  6.961023E-19  1.688907E-19  1.801547E-19  3.714504E-20  1.397899E-20  1.487429E-21
    147  5.207655208218E-02  1.406051E-18  8.575234E-19  9.717874E-19  2.392323E-19  2.597003E-19  5.426235E-20  2.078146E-20  2.235606E-21
    148  5.220437120847E-02  1.841586E-18  1.138678E-18  1.308682E-18  3.264503E-19  3.600687E-19  7.614722E-20  2.963071E-20  3.219480E-21
    149  5.240275279905E-02  2.771317E-18  1.750657E-18  2.056753E-18  5.237695E-19  5.923216E-19  1.276613E-19  5.093559E-20  5.621736E-21
    150  5.258707116153E-02  4.004390E-18  2.580283E-18  3.093637E-18  8.029687E-19  9.291673E-19  2.037763E-19  8.319331E-20  9.314707E-21
    151  5.276353482958E-02  5.630227E-18  3.697712E-18  4.520783E-18  1.195072E-18  1.413802E-18  3.152965E-19  1.315985E-19  1.493906E-20
    152  5.293536770993E-02  7.754208E-18  5.188235E-18  6.465086E-18  1.739850E-18  2.103183E-18  4.767650E-19  2.033340E-19  2.339541E-20
    153  5.310288915571E-02  1.046832E-17  7.132363E-18  9.054344E-18  2.479454E-18  3.060967E-18  7.050249E-19  3.070809E-19  3.579929E-20
    154  5.325369291828E-02  1.357469E-17  9.401559E-18  1.213707E-17  3.376308E-18  4.248142E-18  9.926420E-19  4.406553E-19  5.198352E-20
    155  5.339308966526E-02  1.710175E-17  1.202510E-17  1.576686E-17  4.450294E-18  5.698782E-18  1.349445E-18  6.096842E-19  7.271627E-20
    156  5.362726198018E-02  2.470852E-17  1.782580E-17  2.399735E-17  6.943057E-18  9.161498E-18  2.219233E-18  1.033274E-18  1.255663E-19
    157  5.383816121000E-02  3.367570E-17  2.485891E-17  3.426138E-17  1.013298E-17  1.373107E-17  3.393732E-18  1.622805E-18  2.005056E-19
    158  5.403768730975E-02  4.429886E-17  3.342212E-17  4.710607E-17  1.422649E-17  1.977299E-17  4.981541E-18  2.443258E-18  3.066688E-19
    159  5.422986619970E-02  5.673090E-17  4.371169E-17  6.295279E-17  1.939985E-17  2.763081E-17  7.091070E-18  3.564176E-18  4.542187E-19
    160  5.440569294967E-02  7.019293E-17  5.513891E-17  8.099969E-17  2.542780E-17  3.703871E-17  9.668103E-18  4.970031E-18  6.422800E-19
    161  5.456994612052E-02  8.470657E-17  6.775255E-17  1.013919E-16  3.238543E-17  4.817493E-17  1.277613E-17  6.707546E-18  8.782110E-19
    162  5.485681963417E-02  1.149935E-16  9.495207E-17  1.468228E-16  4.835226E-17  7.464699E-17  2.035945E-17  1.109387E-17  1.486327E-18
    163  5.511708850657E-02  1.484077E-16  1.261062E-16  2.008214E-16  6.797671E-17  1.085062E-16  3.035054E-17  1.710300E-17  2.339630E-18
    164  5.536560227933E-02  1.862253E-16  1.626552E-16  2.664515E-16  9.259999E-17  1.526183E-16  4.373275E-17  2.544778E-17  3.550920E-18
    165  5.559867087093E-02  2.275413E-16  2.039565E-16  3.431237E-16  1.222408E-16  2.076405E-16  6.086891E-17  3.650755E-17  5.190315E-18
    166  5.582344501454E-02  2.732641E-16  2.511473E-16  4.335315E-16  1.581960E-16  2.766705E-16  8.290907E-17  5.120478E-17  7.412654E-18
    167  5.608267729631E-02  3.338778E-16  3.158688E-16  5.617453E-16  2.107452E-16  3.812398E-16  1.171923E-16  7.487629E-17  1.106869E-17
    168  5.632179590432E-02  3.979661E-16  3.867134E-16  7.069493E-16  2.721037E-16  5.078549E-16  1.598318E-16  1.053741E-16  1.588119E-17
    169  5.658568452696E-02  4.785495E-16  4.789971E-16  9.027786E-16  3.574715E-16  6.906647E-16  2.231042E-16  1.522897E-16  2.344842E-17
    170  5.682194908758E-02  5.601249E-16  5.757492E-16  1.115257E-15  4.529817E-16  9.027912E-16  2.985257E-16  2.102293E-16  3.299699E-17
    171  5.707748662895E-02  6.590364E-16  6.972269E-16  1.391297E-15  5.809007E-16  1.197389E-15  4.061108E-16  2.958423E-16  4.741156E-17
    172  5.730159219632E-02  7.554591E-16  8.197407E-16  1.679066E-15  7.182452E-16  1.524981E-15  5.288762E-16  3.969166E-16  6.478432E-17
    173  5.769211250520E-02  9.464862E-16  1.073549E-15  2.301791E-15  1.027204E-15  2.296733E-15  8.281059E-16  6.545893E-16  1.102975E-16
    174  5.804755660481E-02  1.147365E-15  1.355088E-15  3.029373E-15  1.405208E-15  3.294407E-15  1.230936E-15  1.020564E-15  1.770696E-16
    175  5.837706807704E-02  1.358435E-15  1.665866E-15  3.871814E-15  1.861758E-15  4.561619E-15  1.761919E-15  1.527216E-15  2.722969E-16
    176  5.868213309337E-02  1.576609E-15  2.002142E-15  4.824608E-15  2.398655E-15  6.122779E-15  2.438827E-15  2.202945E-15  4.028201E-16
