 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                si28          si29          si30          si31          si32          si33          si34          si35 
     86  4.118445936105E-02  1.012989E-13  2.397458E-12  3.831005E-10  3.724865E-10  1.949647E-09  4.738931E-11  1.209365E-11  1.414734E-14
     87  4.137235583218E-02  1.005493E-13  2.418829E-12  3.967355E-10  3.930030E-10  2.109113E-09  5.184683E-11  1.347769E-11  1.583795E-14
     88  4.152714488067E-02  9.932664E-14  2.421665E-12  4.058316E-10  4.082482E-10  2.236730E-09  5.549910E-11  1.464967E-11  1.727978E-14
     89  4.165981986900E-02  9.784732E-14  2.413101E-12  4.119123E-10  4.198761E-10  2.341744E-09  5.857249E-11  1.566623E-11  1.853850E-14
     90  4.188596337322E-02  9.444610E-14  2.374952E-12  4.183046E-10  4.361198E-10  2.507551E-09  6.358541E-11  1.739605E-11  2.069930E-14
     91  4.208159634323E-02  9.067753E-14  2.318569E-12  4.195703E-10  4.460843E-10  2.633692E-09  6.758454E-11  1.885827E-11  2.254710E-14
     92  4.230932596557E-02  8.546529E-14  2.227738E-12  4.160069E-10  4.525134E-10  2.755800E-09  7.170948E-11  2.047707E-11  2.462032E-14
     93  4.251598135750E-02  8.011379E-14  2.124495E-12  4.081872E-10  4.533375E-10  2.840182E-09  7.484925E-11  2.183033E-11  2.638214E-14
     94  4.274368410830E-02  7.375449E-14  1.992434E-12  3.949203E-10  4.487921E-10  2.901268E-09  7.753980E-11  2.315067E-11  2.813684E-14
     95  4.294191711445E-02  6.799587E-14  1.865821E-12  3.798822E-10  4.404412E-10  2.926414E-09  7.917719E-11  2.412853E-11  2.947115E-14
     96  4.316569238790E-02  6.144918E-14  1.715002E-12  3.597730E-10  4.266915E-10  2.924467E-09  8.023142E-11  2.502327E-11  3.073643E-14
     97  4.339365876136E-02  5.491589E-14  1.557812E-12  3.367193E-10  4.087009E-10  2.891492E-09  8.046141E-11  2.569650E-11  3.174570E-14
     98  4.362382833621E-02  4.862087E-14  1.400314E-12  3.117392E-10  3.873472E-10  2.829932E-09  7.988958E-11  2.613261E-11  3.247373E-14
     99  4.384703699487E-02  4.292249E-14  1.252641E-12  2.867271E-10  3.644696E-10  2.747324E-09  7.865071E-11  2.633293E-11  3.290954E-14
    100  4.408801045744E-02  3.730023E-14  1.102066E-12  2.596823E-10  3.383223E-10  2.637988E-09  7.667423E-11  2.632465E-11  3.310311E-14
    101  4.430336182063E-02  3.276168E-14  9.768382E-13  2.360072E-10  3.143382E-10  2.526607E-09  7.444181E-11  2.614058E-11  3.305452E-14
    102  4.453208602613E-02  2.846115E-14  8.550705E-13  2.119269E-10  2.889761E-10  2.399207E-09  7.171917E-11  2.579547E-11  3.281176E-14
    103  4.474836808964E-02  2.486624E-14  7.509808E-13  1.904777E-10  2.655751E-10  2.273680E-09  6.890667E-11  2.535330E-11  3.243117E-14
    104  4.497736119052E-02  2.151594E-14  6.522609E-13  1.693761E-10  2.417992E-10  2.138772E-09  6.577079E-11  2.479094E-11  3.190208E-14
    105  4.517199675598E-02  1.899656E-14  5.771622E-13  1.528157E-10  2.225892E-10  2.024392E-09  6.303270E-11  2.425440E-11  3.137140E-14
    106  4.536038532241E-02  1.680588E-14  5.115006E-13  1.379721E-10  2.049276E-10  1.914847E-09  6.034667E-11  2.369322E-11  3.079801E-14
    107  4.552484255766E-02  1.506802E-14  4.593468E-13  1.259365E-10  1.902701E-10  1.820531E-09  5.798468E-11  2.317331E-11  3.025347E-14
    108  4.581275722245E-02  1.235783E-14  3.782226E-13  1.067667E-10  1.662186E-10  1.658297E-09  5.381076E-11  2.219391E-11  2.919751E-14
    109  4.603616864208E-02  1.051127E-14  3.232705E-13  9.344361E-11  1.489080E-10  1.534911E-09  5.053543E-11  2.136826E-11  2.827962E-14
    110  4.624194314299E-02  8.977044E-15  2.778203E-13  8.218711E-11  1.338259E-10  1.422045E-09  4.745337E-11  2.053966E-11  2.733362E-14
    111  4.641297951594E-02  7.824889E-15  2.437548E-13  7.357944E-11  1.219833E-10  1.329607E-09  4.486958E-11  1.980792E-11  2.648167E-14
    112  4.656990459822E-02  6.862534E-15  2.152875E-13  6.625121E-11  1.116655E-10  1.246053E-09  4.248689E-11  1.910251E-11  2.564726E-14
    113  4.671253119976E-02  6.064448E-15  1.916231E-13  6.004825E-11  1.027464E-10  1.171366E-09  4.031852E-11  1.843478E-11  2.484677E-14
    114  4.684580987606E-02  5.382820E-15  1.713323E-13  5.463524E-11  9.481194E-11  1.102866E-09  3.829756E-11  1.779033E-11  2.406533E-14
    115  4.697520204195E-02  4.778590E-15  1.532508E-13  4.972627E-11  8.748472E-11  1.037770E-09  3.634830E-11  1.714857E-11  2.327929E-14
    116  4.709649788536E-02  4.261859E-15  1.376897E-13  4.542725E-11  8.095719E-11  9.781981E-10  3.453972E-11  1.653543E-11  2.252159E-14
