 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                y87           y88           y89           y90           y91           y92           y93           y94  
     67  3.563385967804E-02  1.000000E-30  1.000000E-30  6.210172E-30  1.168285E-29  6.837694E-30  1.003268E-30  1.000000E-30  1.000000E-30
     68  3.619390900501E-02  1.000000E-30  1.000000E-30  6.027188E-30  1.126223E-29  6.947849E-30  1.067862E-30  1.000000E-30  1.000000E-30
     69  3.661379630041E-02  1.000000E-30  1.000000E-30  4.653327E-30  9.126031E-30  5.301941E-30  1.000000E-30  1.000000E-30  1.000000E-30
     70  3.704099468238E-02  1.000000E-30  1.000000E-30  4.817158E-30  1.007787E-29  6.961496E-30  1.152995E-30  1.121535E-30  1.000000E-30
     71  3.731378163516E-02  1.000000E-30  1.000000E-30  2.959795E-30  6.340799E-30  4.427264E-30  1.000000E-30  1.000000E-30  1.000000E-30
     72  3.757630769329E-02  1.000000E-30  1.000000E-30  2.774733E-30  6.046117E-30  4.466771E-30  1.000000E-30  1.000000E-30  1.000000E-30
     73  3.788075418501E-02  1.000000E-30  1.000000E-30  3.243454E-30  7.000262E-30  5.170092E-30  1.000000E-30  1.000000E-30  1.000000E-30
     74  3.819794660071E-02  1.000000E-30  1.000000E-30  3.419527E-30  7.552056E-30  5.625272E-30  1.040048E-30  1.144383E-30  1.000000E-30
     75  3.838080203158E-02  1.000000E-30  1.000000E-30  1.964108E-30  4.751437E-30  3.493885E-30  1.000000E-30  1.000000E-30  1.000000E-30
     76  3.859219912978E-02  1.000000E-30  1.000000E-30  2.336888E-30  5.564321E-30  4.534313E-30  1.000000E-30  1.001771E-30  1.000000E-30
     77  3.884096228080E-02  1.000000E-30  1.000000E-30  2.675764E-30  6.415113E-30  5.276972E-30  1.037096E-30  1.216461E-30  1.000000E-30
     78  3.907668434759E-02  1.000000E-30  1.000000E-30  2.588387E-30  6.395153E-30  5.480924E-30  1.100154E-30  1.318886E-30  1.000000E-30
     79  3.934936577490E-02  1.000000E-30  1.000000E-30  2.828261E-30  7.068987E-30  5.934994E-30  1.218607E-30  1.500556E-30  1.000000E-30
     80  3.961640452516E-02  1.000000E-30  1.000000E-30  2.782920E-30  7.145608E-30  6.190699E-30  1.302212E-30  1.645544E-30  1.000000E-30
     81  3.991996766101E-02  1.000000E-30  1.000000E-30  3.174567E-30  8.366634E-30  7.284269E-30  1.568884E-30  2.086385E-30  1.000000E-30
     82  4.019473378510E-02  1.000000E-30  1.000000E-30  2.830782E-30  7.664795E-30  7.001908E-30  1.551229E-30  2.117323E-30  1.000000E-30
     83  4.046928694587E-02  1.000000E-30  1.000000E-30  2.955815E-30  8.277809E-30  7.975799E-30  1.810142E-30  2.640611E-30  1.000000E-30
     84  4.074955599116E-02  1.000000E-30  1.000000E-30  3.117390E-30  9.370053E-30  9.698473E-30  2.254690E-30  3.320587E-30  1.000000E-30
     85  4.099011663524E-02  1.000000E-30  1.000000E-30  2.698959E-30  8.096675E-30  8.283336E-30  1.976966E-30  2.957028E-30  1.000000E-30
     86  4.118445936105E-02  1.000000E-30  1.000000E-30  2.315535E-30  7.117985E-30  7.493109E-30  1.827707E-30  2.774854E-30  1.000000E-30
     87  4.137235583218E-02  1.000000E-30  1.000000E-30  2.513733E-30  7.905106E-30  8.536353E-30  2.138434E-30  3.221027E-30  1.000000E-30
     88  4.152714488067E-02  1.000000E-30  1.000000E-30  2.558379E-30  8.120746E-30  8.842143E-30  2.250107E-30  3.502086E-30  1.000000E-30
     89  4.165981986900E-02  1.000000E-30  1.000000E-30  2.960224E-30  9.445421E-30  1.037009E-29  2.681087E-30  4.199892E-30  1.077084E-30
     90  4.188596337322E-02  1.000000E-30  1.000000E-30  5.845464E-30  1.907462E-29  2.148640E-29  5.649896E-30  9.061776E-30  2.384958E-30
     91  4.208159634323E-02  1.000000E-30  1.000000E-30  9.075977E-30  3.021080E-29  3.476238E-29  9.280617E-30  1.512679E-29  4.055744E-30
     92  4.230932596557E-02  1.000000E-30  1.000000E-30  1.826215E-29  6.229646E-29  7.371667E-29  2.015782E-29  3.367976E-29  9.233662E-30
     93  4.251598135750E-02  1.000000E-30  1.000000E-30  3.552684E-29  1.238030E-28  1.501354E-28  4.192447E-29  7.158302E-29  2.004983E-29
     94  4.274368410830E-02  1.000000E-30  1.000000E-30  7.825810E-29  2.790432E-28  3.476477E-28  9.936481E-29  1.738695E-28  4.989251E-29
     95  4.294191711445E-02  1.000000E-30  1.620030E-30  1.582149E-28  5.753526E-28  7.337412E-28  2.140015E-28  3.825526E-28  1.121205E-28
     96  4.316569238790E-02  1.000000E-30  3.513694E-30  3.577020E-28  1.329848E-27  1.741137E-27  5.195195E-28  9.513456E-28  2.855359E-28
     97  4.339365876136E-02  1.000000E-30  7.883510E-30  8.363221E-28  3.180201E-27  4.277598E-27  1.306557E-27  2.452428E-27  7.542673E-28
     98  4.362382833621E-02  1.000000E-30  1.817492E-29  2.008982E-27  7.814912E-27  1.080199E-26  3.378403E-27  6.501798E-27  2.049809E-27
     99  4.384703699487E-02  1.000000E-30  4.176030E-29  4.802180E-27  1.909645E-26  2.710424E-26  8.674483E-27  1.710422E-26  5.523710E-27
    100  4.408801045744E-02  1.000000E-30  1.053505E-28  1.263809E-26  5.146488E-26  7.516840E-26  2.466369E-26  4.992221E-26  1.654671E-26
    101  4.430336182063E-02  1.551515E-30  2.476869E-28  3.085486E-26  1.283509E-25  1.923557E-25  6.454357E-26  1.337526E-25  4.538016E-26
    102  4.453208602613E-02  3.838796E-30  6.311404E-28  8.181124E-26  3.480925E-25  5.361487E-25  1.842354E-25  3.914353E-25  1.361441E-25
    103  4.474836808964E-02  9.274843E-30  1.565281E-27  2.106687E-25  9.158196E-25  1.447863E-24  5.089516E-25  1.107344E-24  3.943607E-25
    104  4.497736119052E-02  2.401813E-29  4.164568E-27  5.831308E-25  2.593227E-24  4.214445E-24  1.517477E-24  3.385485E-24  1.236181E-24
    105  4.517199675598E-02  5.425368E-29  9.625715E-27  1.393967E-24  6.320257E-24  1.051573E-23  3.864615E-24  8.807686E-24  3.285103E-24
    106  4.536038532241E-02  1.190344E-28  2.159874E-26  3.232092E-24  1.493309E-23  2.541997E-23  9.529786E-24  2.217316E-23  8.442722E-24
    107  4.552484255766E-02  2.340569E-28  4.332107E-26  6.671388E-24  3.133499E-23  5.441257E-23  2.075558E-23  4.916931E-23  1.906109E-23
    108  4.581275722245E-02  7.350510E-28  1.409915E-25  2.284313E-23  1.104492E-22  1.986204E-22  7.810889E-23  1.909800E-22  7.641226E-23
    109  4.603616864208E-02  1.712881E-27  3.381991E-25  5.704412E-23  2.821722E-22  5.214869E-22  2.100138E-22  5.262620E-22  2.157908E-22
    110  4.624194314299E-02  3.576915E-27  7.260401E-25  1.271926E-22  6.426950E-22  1.218401E-21  5.016788E-22  1.286250E-21  5.396462E-22
