 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                sc57          sc58          sc59          sc60          sc61          sc62          sc63          sc64 
    122  4.799263518131E-02  6.659602E-22  2.004857E-25  6.495641E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    123  4.815339657435E-02  7.782016E-22  2.351432E-25  7.706844E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    124  4.832264594384E-02  9.134454E-22  2.770875E-25  9.192681E-28  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    125  4.849826454798E-02  1.074654E-21  3.273144E-25  1.099722E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    126  4.867786870736E-02  1.264395E-21  3.867102E-25  1.316238E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    127  4.885872256535E-02  1.484227E-21  4.558550E-25  1.572026E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    128  4.903755607841E-02  1.733686E-21  5.346934E-25  1.867982E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    129  4.921259737621E-02  2.012642E-21  6.232680E-25  2.205317E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    130  4.938368810460E-02  2.322548E-21  7.221234E-25  2.587163E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    131  4.955132280349E-02  2.665958E-21  8.321606E-25  3.018131E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    132  4.971624312404E-02  3.046310E-21  9.545777E-25  3.504179E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    133  4.987811857735E-02  3.464718E-21  1.089836E-24  4.048504E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    134  5.003799836445E-02  3.926021E-21  1.239610E-24  4.659332E-27  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    135  5.019682549602E-02  4.435512E-21  1.405751E-24  5.346003E-27  1.000213E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    136  5.035511419132E-02  4.997968E-21  1.589968E-24  6.117649E-27  1.147723E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    137  5.051299755300E-02  5.617064E-21  1.793634E-24  6.982373E-27  1.313541E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    138  5.067010535678E-02  6.294001E-21  2.017328E-24  7.945188E-27  1.498751E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    139  5.082726902819E-02  7.034679E-21  2.263202E-24  9.018237E-27  1.705826E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    140  5.098506829486E-02  7.844171E-21  2.533178E-24  1.021329E-26  1.937198E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    141  5.114361869269E-02  8.724713E-21  2.828269E-24  1.153870E-26  2.194670E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    142  5.130328078870E-02  9.678690E-21  3.149578E-24  1.300384E-26  2.480269E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    143  5.146205644840E-02  1.069144E-20  3.492471E-24  1.459207E-26  2.790970E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    144  5.162089365231E-02  1.176314E-20  3.857312E-24  1.630971E-26  3.128228E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    145  5.177902725711E-02  1.287989E-20  4.239696E-24  1.814100E-26  3.489190E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    146  5.193558292952E-02  1.402313E-20  4.633578E-24  2.006180E-26  3.869313E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    147  5.207655208218E-02  1.507113E-20  4.996937E-24  2.186647E-26  4.227920E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    148  5.220437120847E-02  1.602516E-20  5.329799E-24  2.354958E-26  4.563688E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    149  5.240275279905E-02  1.748342E-20  5.842970E-24  2.620750E-26  5.096695E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    150  5.258707116153E-02  1.877216E-20  6.302016E-24  2.866529E-26  5.593027E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    151  5.276353482958E-02  1.990019E-20  6.709661E-24  3.093238E-26  6.054426E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    152  5.293536770993E-02  2.085600E-20  7.061668E-24  3.298484E-26  6.476047E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    153  5.310288915571E-02  2.161401E-20  7.348588E-24  3.476793E-26  6.846674E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    154  5.325369291828E-02  2.211902E-20  7.548304E-24  3.612775E-26  7.133763E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    155  5.339308966526E-02  2.241917E-20  7.677135E-24  3.713961E-26  7.351984E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    156  5.362726198018E-02  2.252861E-20  7.759358E-24  3.821717E-26  7.597224E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    157  5.383816121000E-02  2.219358E-20  7.684170E-24  3.846854E-26  7.676481E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    158  5.403768730975E-02  2.150631E-20  7.483324E-24  3.804588E-26  7.619682E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    159  5.422986619970E-02  2.054253E-20  7.182400E-24  3.706496E-26  7.449245E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    160  5.440569294967E-02  1.943861E-20  6.826402E-24  3.571228E-26  7.200422E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    161  5.456994612052E-02  1.825823E-20  6.438359E-24  3.411580E-26  6.899197E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    162  5.485681963417E-02  1.595793E-20  5.667696E-24  3.070682E-26  6.242261E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    163  5.511708850657E-02  1.377595E-20  4.925041E-24  2.723346E-26  5.562765E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    164  5.536560227933E-02  1.172356E-20  4.217905E-24  2.378593E-26  4.881020E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    165  5.559867087093E-02  9.899044E-21  3.582663E-24  2.057844E-26  4.241096E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    166  5.582344501454E-02  8.281898E-21  3.014640E-24  1.762652E-26  3.647930E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    167  5.608267729631E-02  6.630827E-21  2.429712E-24  1.450137E-26  3.015685E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
    168  5.632179590432E-02  5.325334E-21  1.963369E-24  1.194306E-26  2.494793E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
