 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                v50           v51           v52           v53           v54           v55           v56           v57  
     90  4.188596337322E-02  8.306280E-15  3.365363E-12  9.954426E-12  2.838452E-11  4.234945E-12  2.238172E-12  5.839026E-14  3.965213E-15
     91  4.208159634323E-02  1.064128E-14  4.342930E-12  1.311786E-11  3.832504E-11  5.811945E-12  3.140458E-12  8.300986E-14  5.740099E-15
     92  4.230932596557E-02  1.415542E-14  5.813425E-12  1.799388E-11  5.408287E-11  8.359150E-12  4.635320E-12  1.244130E-13  8.787105E-15
     93  4.251598135750E-02  1.829957E-14  7.543381E-12  2.387264E-11  7.362452E-11  1.157809E-11  6.573208E-12  1.788991E-13  1.288079E-14
     94  4.274368410830E-02  2.422162E-14  1.000601E-11  3.245156E-11  1.029679E-10  1.650519E-11  9.617448E-12  2.658122E-13  1.955007E-14
     95  4.294191711445E-02  3.086340E-14  1.275568E-11  4.226193E-11  1.374571E-10  2.240415E-11  1.335423E-11  3.740793E-13  2.802812E-14
     96  4.316569238790E-02  4.050750E-14  1.673098E-11  5.678745E-11  1.899466E-10  3.154983E-11  1.929499E-11  5.487755E-13  4.199082E-14
     97  4.339365876136E-02  5.335758E-14  2.200729E-11  7.655943E-11  2.635071E-10  4.462113E-11  2.801490E-11  8.092655E-13  6.326807E-14
     98  4.362382833621E-02  7.036362E-14  2.897412E-11  1.033413E-10  3.661310E-10  6.322301E-11  4.076317E-11  1.196206E-12  9.557610E-14
     99  4.384703699487E-02  9.185848E-14  3.777957E-11  1.380560E-10  5.030956E-10  8.854221E-11  5.858357E-11  1.745677E-12  1.424625E-13
    100  4.408801045744E-02  1.221695E-13  5.023286E-11  1.884533E-10  7.080628E-10  1.272116E-10  8.656257E-11  2.622553E-12  2.189901E-13
    101  4.430336182063E-02  1.572013E-13  6.471561E-11  2.485880E-10  9.600416E-10  1.757023E-10  1.226052E-10  3.770169E-12  3.213601E-13
    102  4.453208602613E-02  2.045050E-13  8.446174E-11  3.327226E-10  1.323329E-09  2.470167E-10  1.770614E-10  5.531741E-12  4.819684E-13
    103  4.474836808964E-02  2.605399E-13  1.081729E-10  4.364623E-10  1.785219E-09  3.395351E-10  2.496647E-10  7.918178E-12  7.043970E-13
    104  4.497736119052E-02  3.335561E-13  1.396376E-10  5.779801E-10  2.435743E-09  4.725829E-10  3.570538E-10  1.150647E-11  1.046499E-12
    105  4.517199675598E-02  4.076028E-13  1.722473E-10  7.286771E-10  3.150353E-09  6.217114E-10  4.807270E-10  1.570440E-11  1.455474E-12
    106  4.536038532241E-02  4.899561E-13  2.094030E-10  9.048608E-10  4.010783E-09  8.046977E-10  6.363768E-10  2.106591E-11  1.988448E-12
    107  4.552484255766E-02  5.701020E-13  2.465229E-10  1.085280E-09  4.916957E-09  1.000884E-09  8.072819E-10  2.703440E-11  2.593039E-12
    108  4.581275722245E-02  7.263528E-13  3.219108E-10  1.464450E-09  6.896394E-09  1.440032E-09  1.202501E-09  4.109755E-11  4.054606E-12
    109  4.603616864208E-02  8.578888E-13  3.888873E-10  1.815050E-09  8.809570E-09  1.876346E-09  1.609736E-09  5.589285E-11  5.636491E-12
    110  4.624194314299E-02  9.828384E-13  4.561023E-10  2.179979E-09  1.088227E-08  2.360729E-09  2.076591E-09  7.316520E-11  7.529379E-12
    111  4.641297951594E-02  1.086906E-12  5.152042E-10  2.511845E-09  1.283684E-08  2.827672E-09  2.539750E-09  9.058092E-11  9.480380E-12
    112  4.656990459822E-02  1.180585E-12  5.713070E-10  2.836785E-09  1.481469E-08  3.309616E-09  3.030222E-09  1.092919E-10  1.161779E-11
