 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                cl29          cl30          cl31          cl32          cl33          cl34          cl35          cl36 
     81  3.991996766101E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.401396E-29  2.607123E-23  7.764894E-20  3.280948E-16  2.144372E-14
     82  4.019473378510E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.409529E-29  2.785277E-23  8.677693E-20  3.802831E-16  2.454803E-14
     83  4.046928694587E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.410163E-29  2.961435E-23  9.652588E-20  4.385752E-16  2.781789E-14
     84  4.074955599116E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.402264E-29  3.135189E-23  1.070214E-19  5.044587E-16  3.124778E-14
     85  4.099011663524E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.388101E-29  3.275374E-23  1.163356E-19  5.659223E-16  3.417944E-14
     86  4.118445936105E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.371430E-29  3.380250E-23  1.239762E-19  6.187013E-16  3.648452E-14
     87  4.137235583218E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.350771E-29  3.472793E-23  1.313838E-19  6.721755E-16  3.861558E-14
     88  4.152714488067E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.330390E-29  3.541401E-23  1.374454E-19  7.178628E-16  4.027143E-14
     89  4.165981986900E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.310531E-29  3.594055E-23  1.425731E-19  7.580655E-16  4.160213E-14
     90  4.188596337322E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.271764E-29  3.669298E-23  1.510728E-19  8.284337E-16  4.364738E-14
     91  4.208159634323E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.233524E-29  3.718511E-23  1.580896E-19  8.908560E-16  4.516251E-14
     92  4.230932596557E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.183925E-29  3.756427E-23  1.657477E-19  9.648373E-16  4.660995E-14
     93  4.251598135750E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.134657E-29  3.772003E-23  1.721093E-19  1.032708E-15  4.762207E-14
     94  4.274368410830E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.076937E-29  3.767667E-23  1.783153E-19  1.107391E-15  4.840873E-14
     95  4.294191711445E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.024443E-29  3.745273E-23  1.829208E-19  1.171634E-15  4.883238E-14
     96  4.316569238790E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.637475E-30  3.700156E-23  1.871466E-19  1.242578E-15  4.905902E-14
     97  4.339365876136E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.012571E-30  3.633101E-23  1.902756E-19  1.312074E-15  4.905898E-14
     98  4.362382833621E-02  1.000000E-30  1.000000E-30  1.000000E-30  8.383586E-30  3.544567E-23  1.921139E-19  1.378041E-15  4.886806E-14
     99  4.384703699487E-02  1.000000E-30  1.000000E-30  1.000000E-30  7.783013E-30  3.439684E-23  1.925308E-19  1.436522E-15  4.853893E-14
    100  4.408801045744E-02  1.000000E-30  1.000000E-30  1.000000E-30  7.150857E-30  3.306309E-23  1.913610E-19  1.491622E-15  4.805379E-14
