 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                tc93          tc94          tc95          tc96          tc97          tc98          tc99          tc100
    132  4.971624312404E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.405238E-30  8.618817E-29  7.365048E-28  1.132859E-26  3.090851E-26
    133  4.987811857735E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.291897E-30  1.209305E-28  1.054132E-27  1.662119E-26  4.618795E-26
    134  5.003799836445E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.466660E-30  1.682021E-28  1.495328E-27  2.416412E-26  6.837813E-26
    135  5.019682549602E-02  1.000000E-30  1.000000E-30  1.000000E-30  6.022257E-30  2.324631E-28  2.107485E-27  3.489935E-26  1.005549E-25
    136  5.035511419132E-02  1.000000E-30  1.000000E-30  1.000000E-30  8.077249E-30  3.196065E-28  2.954734E-27  5.013899E-26  1.470912E-25
    137  5.051299755300E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.078035E-29  4.372743E-28  4.122324E-27  7.167987E-26  2.141045E-25
    138  5.067010535678E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.430811E-29  5.949120E-28  5.718726E-27  1.018874E-25  3.098416E-25
    139  5.082726902819E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.891204E-29  8.061072E-28  7.901594E-27  1.442534E-25  4.466330E-25
    140  5.098506829486E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.491600E-29  1.088901E-27  1.088514E-26  2.036566E-25  6.420549E-25
    141  5.114361869269E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.271771E-29  1.466313E-27  1.495031E-26  2.867075E-25  9.204727E-25
    142  5.130328078870E-02  1.000000E-30  1.000000E-30  1.146225E-30  4.283390E-29  1.969049E-27  2.048013E-26  4.026626E-25  1.316676E-24
    143  5.146205644840E-02  1.000000E-30  1.000000E-30  1.455328E-30  5.570126E-29  2.626265E-27  2.786339E-26  5.615949E-25  1.870227E-24
    144  5.162089365231E-02  1.000000E-30  1.000000E-30  1.840187E-30  7.204073E-29  3.483989E-27  3.770583E-26  7.791175E-25  2.642549E-24
    145  5.177902725711E-02  1.000000E-30  1.000000E-30  2.310416E-30  9.251539E-29  4.588953E-27  5.065914E-26  1.073076E-24  3.706603E-24
    146  5.193558292952E-02  1.000000E-30  1.000000E-30  2.875788E-30  1.177651E-28  5.990000E-27  6.743707E-26  1.464036E-24  5.149218E-24
    147  5.207655208218E-02  1.000000E-30  1.000000E-30  3.481321E-30  1.454814E-28  7.570001E-27  8.675301E-26  1.925776E-24  6.884787E-24
    148  5.220437120847E-02  1.000000E-30  1.000000E-30  4.118732E-30  1.753197E-28  9.312956E-27  1.084622E-25  2.456833E-24  8.914538E-24
    149  5.240275279905E-02  1.000000E-30  1.000000E-30  5.290937E-30  2.317840E-28  1.271284E-26  1.518048E-25  3.548194E-24  1.317459E-23
    150  5.258707116153E-02  1.000000E-30  1.000000E-30  6.596191E-30  2.967954E-28  1.677326E-26  2.050214E-25  4.934320E-24  1.871830E-23
    151  5.276353482958E-02  1.000000E-30  1.000000E-30  8.048917E-30  3.715721E-28  2.161060E-26  2.701250E-25  6.686213E-24  2.589103E-23
