 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                po232         po233         po234         po235         po236         po237         at211         neut 
    124  4.832264594384E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.436706E-30  1.529799E-30  1.976147E-30  1.000000E-30  7.718100E-01
    125  4.849826454798E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.381901E-30  1.474871E-30  1.930022E-30  1.000000E-30  7.717916E-01
    126  4.867786870736E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.325480E-30  1.418068E-30  1.881932E-30  1.000000E-30  7.717728E-01
    127  4.885872256535E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.269254E-30  1.361286E-30  1.833542E-30  1.000000E-30  7.717539E-01
    128  4.903755607841E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.215249E-30  1.306662E-30  1.786752E-30  1.000000E-30  7.717352E-01
    129  4.921259737621E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.164480E-30  1.255273E-30  1.742553E-30  1.000000E-30  7.717170E-01
    130  4.938368810460E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.116969E-30  1.207156E-30  1.701021E-30  1.000000E-30  7.716991E-01
    131  4.955132280349E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.072371E-30  1.161961E-30  1.661885E-30  1.000000E-30  7.716817E-01
    132  4.971624312404E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.030235E-30  1.119226E-30  1.624767E-30  1.000000E-30  7.716646E-01
    133  4.987811857735E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.079031E-30  1.589760E-30  1.000000E-30  7.716477E-01
    134  5.003799836445E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.040685E-30  1.556262E-30  1.000000E-30  7.716311E-01
    135  5.019682549602E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.003806E-30  1.523958E-30  1.000000E-30  7.716146E-01
    136  5.035511419132E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.492654E-30  1.000000E-30  7.715981E-01
    137  5.051299755300E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.462291E-30  1.000000E-30  7.715816E-01
    138  5.067010535678E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.432995E-30  1.000000E-30  7.715652E-01
    139  5.082726902819E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.404450E-30  1.000000E-30  7.715486E-01
    140  5.098506829486E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.376453E-30  1.000000E-30  7.715319E-01
    141  5.114361869269E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.348968E-30  1.000000E-30  7.715150E-01
    142  5.130328078870E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.321882E-30  1.000000E-30  7.714979E-01
    143  5.146205644840E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.295846E-30  1.000000E-30  7.714806E-01
    144  5.162089365231E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.270528E-30  1.000000E-30  7.714631E-01
    145  5.177902725711E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.246142E-30  1.000000E-30  7.714454E-01
    146  5.193558292952E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.222824E-30  1.000000E-30  7.714276E-01
    147  5.207655208218E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.204327E-30  1.000000E-30  7.714113E-01
    148  5.220437120847E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.189425E-30  1.000000E-30  7.713962E-01
    149  5.240275279905E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.155168E-30  1.000000E-30  7.713721E-01
    150  5.258707116153E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.126564E-30  1.000000E-30  7.713490E-01
    151  5.276353482958E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.101171E-30  1.000000E-30  7.713260E-01
    152  5.293536770993E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.077837E-30  1.000000E-30  7.713029E-01
    153  5.310288915571E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.056306E-30  1.000000E-30  7.712795E-01
    154  5.325369291828E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.039311E-30  1.000000E-30  7.712577E-01
    155  5.339308966526E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.025130E-30  1.000000E-30  7.712369E-01
    156  5.362726198018E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.712004E-01
