 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                c14           c15           c16           c17           c18           n11           n12           n13  
    117  4.721637454993E-02  3.362903E-11  4.945112E-22  3.062145E-25  5.753785E-30  1.000000E-30  1.815303E-27  1.107079E-28  7.876779E-18
    118  4.732862910872E-02  3.453308E-11  4.944955E-22  3.061826E-25  5.751466E-30  1.000000E-30  1.815303E-27  1.085202E-28  7.867827E-18
    119  4.750539400184E-02  3.613579E-11  4.944708E-22  3.061324E-25  5.747816E-30  1.000000E-30  1.815303E-27  1.048480E-28  7.838561E-18
    120  4.767210524850E-02  3.784621E-11  4.944475E-22  3.060850E-25  5.744375E-30  1.000000E-30  1.815303E-27  1.011917E-28  7.796189E-18
    121  4.783406579930E-02  3.969320E-11  4.944248E-22  3.060390E-25  5.741035E-30  1.000000E-30  1.815303E-27  9.751611E-29  7.743327E-18
    122  4.799263518131E-02  4.168161E-11  4.944026E-22  3.059940E-25  5.737766E-30  1.000000E-30  1.815303E-27  9.384063E-29  7.681950E-18
    123  4.815339657435E-02  4.388983E-11  4.943801E-22  3.059484E-25  5.734455E-30  1.000000E-30  1.815303E-27  9.005907E-29  7.610830E-18
    124  4.832264594384E-02  4.642093E-11  4.943564E-22  3.059003E-25  5.730970E-30  1.000000E-30  1.815303E-27  8.607205E-29  7.528505E-18
    125  4.849826454798E-02  4.927788E-11  4.943318E-22  3.058505E-25  5.727356E-30  1.000000E-30  1.815303E-27  8.196005E-29  7.436364E-18
    126  4.867786870736E-02  5.245145E-11  4.943067E-22  3.057995E-25  5.723663E-30  1.000000E-30  1.815303E-27  7.780900E-29  7.336335E-18
    127  4.885872256535E-02  5.591490E-11  4.942814E-22  3.057482E-25  5.719947E-30  1.000000E-30  1.815303E-27  7.370755E-29  7.230819E-18
    128  4.903755607841E-02  5.961553E-11  4.942564E-22  3.056975E-25  5.716274E-30  1.000000E-30  1.815303E-27  6.974704E-29  7.122698E-18
    129  4.921259737621E-02  6.351541E-11  4.942319E-22  3.056478E-25  5.712682E-30  1.000000E-30  1.815303E-27  6.597494E-29  7.013984E-18
    130  4.938368810460E-02  6.760494E-11  4.942080E-22  3.055993E-25  5.709173E-30  1.000000E-30  1.815303E-27  6.239674E-29  6.905560E-18
    131  4.955132280349E-02  7.189014E-11  4.941845E-22  3.055518E-25  5.705737E-30  1.000000E-30  1.815303E-27  5.900109E-29  6.797719E-18
    132  4.971624312404E-02  7.638670E-11  4.941615E-22  3.055050E-25  5.702358E-30  1.000000E-30  1.815303E-27  5.577077E-29  6.690441E-18
    133  4.987811857735E-02  8.108279E-11  4.941388E-22  3.054591E-25  5.699044E-30  1.000000E-30  1.815303E-27  5.270880E-29  6.584294E-18
    134  5.003799836445E-02  8.602420E-11  4.941165E-22  3.054138E-25  5.695772E-30  1.000000E-30  1.815303E-27  4.978004E-29  6.478153E-18
    135  5.019682549602E-02  9.122945E-11  4.940943E-22  3.053688E-25  5.692524E-30  1.000000E-30  1.815303E-27  4.697618E-29  6.372278E-18
    136  5.035511419132E-02  9.672052E-11  4.940721E-22  3.053239E-25  5.689289E-30  1.000000E-30  1.815303E-27  4.428745E-29  6.266566E-18
    137  5.051299755300E-02  1.025100E-10  4.940500E-22  3.052792E-25  5.686064E-30  1.000000E-30  1.815303E-27  4.171006E-29  6.161077E-18
    138  5.067010535678E-02  1.085910E-10  4.940281E-22  3.052347E-25  5.682857E-30  1.000000E-30  1.815303E-27  3.924782E-29  6.056178E-18
    139  5.082726902819E-02  1.150037E-10  4.940061E-22  3.051902E-25  5.679650E-30  1.000000E-30  1.815303E-27  3.688559E-29  5.951410E-18
    140  5.098506829486E-02  1.217836E-10  4.939840E-22  3.051455E-25  5.676432E-30  1.000000E-30  1.815303E-27  3.461359E-29  5.846462E-18
    141  5.114361869269E-02  1.289496E-10  4.939619E-22  3.051006E-25  5.673201E-30  1.000000E-30  1.815303E-27  3.242946E-29  5.741314E-18
    142  5.130328078870E-02  1.365331E-10  4.939395E-22  3.050554E-25  5.669948E-30  1.000000E-30  1.815303E-27  3.032775E-29  5.635769E-18
    143  5.146205644840E-02  1.444484E-10  4.939174E-22  3.050105E-25  5.666716E-30  1.000000E-30  1.815303E-27  2.833257E-29  5.531169E-18
    144  5.162089365231E-02  1.527472E-10  4.938951E-22  3.049655E-25  5.663485E-30  1.000000E-30  1.815303E-27  2.642881E-29  5.426887E-18
    145  5.177902725711E-02  1.613940E-10  4.938730E-22  3.049208E-25  5.660269E-30  1.000000E-30  1.815303E-27  2.462253E-29  5.323411E-18
    146  5.193558292952E-02  1.703640E-10  4.938512E-22  3.048765E-25  5.657087E-30  1.000000E-30  1.815303E-27  2.291406E-29  5.220774E-18
    147  5.207655208218E-02  1.787759E-10  4.938315E-22  3.048366E-25  5.654224E-30  1.000000E-30  1.815303E-27  2.144554E-29  5.128514E-18
    148  5.220437120847E-02  1.866762E-10  4.938136E-22  3.048005E-25  5.651629E-30  1.000000E-30  1.815303E-27  2.017071E-29  5.045051E-18
