 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                la133         la134         la135         la136         la137         la138         la139         la140
    107  4.552484255766E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.837187E-30  7.436628E-30  3.714267E-29  7.581888E-29  2.285206E-29
    108  4.581275722245E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.993121E-30  1.303849E-29  6.618309E-29  1.373135E-28  4.106510E-29
    109  4.603616864208E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.245697E-30  9.508629E-30  5.125147E-29  1.148807E-28  3.643550E-29
    110  4.624194314299E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.009137E-30  8.748137E-30  4.750583E-29  1.076835E-28  3.468651E-29
    111  4.641297951594E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.557168E-30  7.180049E-30  4.032184E-29  9.413386E-29  3.059360E-29
    112  4.656990459822E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.389026E-30  6.544099E-30  3.730083E-29  8.830469E-29  2.905899E-29
    113  4.671253119976E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.228094E-30  5.874520E-30  3.415069E-29  8.258065E-29  2.746750E-29
    114  4.684580987606E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.110435E-30  5.429499E-30  3.211648E-29  7.911890E-29  2.658559E-29
    115  4.697520204195E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.040670E-30  5.223196E-30  3.138248E-29  7.865956E-29  2.667343E-29
    116  4.709649788536E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.860535E-30  2.971912E-29  7.585151E-29  2.597078E-29
    117  4.721637454993E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.743198E-30  2.941101E-29  7.628151E-29  2.634251E-29
    118  4.732862910872E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.378834E-30  2.755837E-29  7.277637E-29  2.537793E-29
