 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ag116         ag117         ag118         ag119         ag120         ag121         ag122         ag123
    147  5.207655208218E-02  4.394421E-28  7.037627E-28  2.076123E-28  9.865861E-29  1.762351E-29  4.192453E-30  1.000000E-30  1.000000E-30
    148  5.220437120847E-02  4.834306E-28  7.861496E-28  2.344309E-28  1.131601E-28  2.045713E-29  4.997888E-30  1.000000E-30  1.000000E-30
    149  5.240275279905E-02  8.614068E-28  1.461180E-27  4.482493E-28  2.245879E-28  4.161511E-29  1.037526E-29  1.256530E-30  1.000000E-30
    150  5.258707116153E-02  1.085791E-27  1.881930E-27  5.871440E-28  3.023437E-28  5.735846E-29  1.477904E-29  1.813239E-30  1.000000E-30
    151  5.276353482958E-02  1.514280E-27  2.675936E-27  8.442306E-28  4.401710E-28  8.429974E-29  2.232861E-29  2.816223E-30  1.000000E-30
    152  5.293536770993E-02  2.173390E-27  3.918045E-27  1.251409E-27  6.623372E-28  1.281928E-28  3.438506E-29  4.438523E-30  1.000000E-30
    153  5.310288915571E-02  3.150229E-27  5.780537E-27  1.865281E-27  9.984031E-28  1.946351E-28  5.260689E-29  6.819767E-30  1.248179E-30
    154  5.325369291828E-02  4.451988E-27  8.330145E-27  2.721637E-27  1.479998E-27  2.918143E-28  7.999138E-29  1.047369E-29  1.974021E-30
    155  5.339308966526E-02  6.175598E-27  1.176971E-26  3.890949E-27  2.147935E-27  4.281185E-28  1.189453E-28  1.572324E-29  2.994460E-30
    156  5.362726198018E-02  1.146293E-26  2.274128E-26  7.722039E-27  4.418750E-27  9.044036E-28  2.599565E-28  3.520837E-29  6.929301E-30
    157  5.383816121000E-02  1.853333E-26  3.779649E-26  1.306962E-26  7.665202E-27  1.598256E-27  4.710364E-28  6.500525E-29  1.315723E-29
    158  5.403768730975E-02  2.915522E-26  6.104266E-26  2.146442E-26  1.286248E-26  2.723835E-27  8.186901E-28  1.145845E-28  2.365315E-29
    159  5.422986619970E-02  4.464709E-26  9.604938E-26  3.436858E-26  2.106762E-26  4.535155E-27  1.391754E-27  1.976998E-28  4.165286E-29
    160  5.440569294967E-02  6.524510E-26  1.439243E-25  5.234430E-26  3.278274E-26  7.168525E-27  2.244763E-27  3.235341E-28  6.956387E-29
    161  5.456994612052E-02  9.211597E-26  2.080565E-25  7.684115E-26  4.911452E-26  1.090081E-26  3.479804E-27  5.085292E-28  1.114859E-28
    162  5.485681963417E-02  1.666453E-25  3.928725E-25  1.492166E-25  9.899031E-26  2.257636E-26  7.464609E-27  1.118657E-27  2.539980E-28
    163  5.511708850657E-02  2.764880E-25  6.765400E-25  2.632685E-25  1.804164E-25  4.214135E-26  1.437750E-26  2.204214E-27  5.170935E-28
    164  5.536560227933E-02  4.430361E-25  1.123939E-24  4.477405E-25  3.165259E-25  7.562749E-26  2.657192E-26  4.160568E-27  1.005625E-27
    165  5.559867087093E-02  6.829737E-25  1.792641E-24  7.300936E-25  5.315493E-25  1.297564E-25  4.688003E-26  7.488562E-27  1.861910E-27
    166  5.582344501454E-02  1.028324E-24  2.789587E-24  1.160721E-24  8.695853E-25  2.167450E-25  8.046642E-26  1.310639E-26  3.349963E-27
    167  5.608267729631E-02  1.636231E-24  4.611776E-24  1.967168E-24  1.523508E-24  3.890292E-25  1.490614E-25  2.483423E-26  6.554781E-27
    168  5.632179590432E-02  2.493248E-24  7.279847E-24  3.177169E-24  2.537153E-24  6.624601E-25  2.613325E-25  4.445492E-26  1.208616E-26
    169  5.658568452696E-02  3.942493E-24  1.197124E-23  5.359029E-24  4.427578E-24  1.184993E-24  4.828444E-25  8.405605E-26  2.361753E-26
    170  5.682194908758E-02  5.905237E-24  1.857196E-23  8.505234E-24  7.244606E-24  1.982359E-24  8.315353E-25  1.477853E-25  4.276805E-26
    171  5.707748662895E-02  9.085563E-24  2.968391E-23  1.393372E-23  1.226821E-23  3.438614E-24  1.488596E-24  2.705706E-25  8.085380E-26
    172  5.730159219632E-02  1.318718E-23  4.455197E-23  2.137111E-23  1.937264E-23  5.545694E-24  2.468257E-24  4.575726E-25  1.406468E-25
    173  5.769211250520E-02  2.495825E-23  8.941021E-23  4.454538E-23  4.248954E-23  1.261959E-23  5.895261E-24  1.131084E-24  3.651868E-25
