 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                ca41          ca42          ca43          ca44          ca45          ca46          ca47          ca48 
    106  4.536038532241E-02  2.144745E-18  9.711947E-16  3.764854E-14  6.036196E-12  6.680124E-11  2.572032E-09  1.484536E-08  2.717561E-07
    107  4.552484255766E-02  2.039342E-18  9.574851E-16  3.805324E-14  6.302209E-12  7.124339E-11  2.819504E-09  1.662461E-08  3.128327E-07
    108  4.581275722245E-02  1.857120E-18  9.272547E-16  3.844553E-14  6.732668E-12  7.900011E-11  3.280921E-09  2.008254E-08  3.966104E-07
    109  4.603616864208E-02  1.716617E-18  8.976446E-16  3.842370E-14  7.021391E-12  8.480807E-11  3.656702E-09  2.304329E-08  4.725108E-07
    110  4.624194314299E-02  1.586249E-18  8.646750E-16  3.809528E-14  7.237979E-12  8.979643E-11  4.008796E-09  2.595079E-08  5.510132E-07
    111  4.641297951594E-02  1.478158E-18  8.335758E-16  3.760473E-14  7.378498E-12  9.360342E-11  4.301617E-09  2.847709E-08  6.224775E-07
    112  4.656990459822E-02  1.379579E-18  8.022873E-16  3.698141E-14  7.472827E-12  9.676215E-11  4.566820E-09  3.086127E-08  6.928405E-07
    113  4.671253119976E-02  1.290922E-18  7.718147E-16  3.627642E-14  7.528488E-12  9.931739E-11  4.802474E-09  3.306712E-08  7.606131E-07
    114  4.684580987606E-02  1.209312E-18  7.418481E-16  3.550601E-14  7.554236E-12  1.014107E-10  5.016246E-09  3.514929E-08  8.270863E-07
    115  4.697520204195E-02  1.131624E-18  7.116391E-16  3.466368E-14  7.555149E-12  1.031573E-10  5.216456E-09  3.717963E-08  8.943909E-07
    116  4.709649788536E-02  1.060520E-18  6.825610E-16  3.379840E-14  7.534992E-12  1.045322E-10  5.396573E-09  3.908259E-08  9.598457E-07
    117  4.721637454993E-02  9.921773E-19  6.533236E-16  3.288011E-14  7.495858E-12  1.056393E-10  5.566612E-09  4.095593E-08  1.026674E-06
    118  4.732862910872E-02  9.301521E-19  6.256864E-16  3.197132E-14  7.442744E-12  1.064500E-10  5.718106E-09  4.269803E-08  1.091093E-06
    119  4.750539400184E-02  8.367832E-19  5.820616E-16  3.046246E-14  7.329080E-12  1.072922E-10  5.940556E-09  4.540643E-08  1.195945E-06
    120  4.767210524850E-02  7.540035E-19  5.412891E-16  2.897533E-14  7.191440E-12  1.076164E-10  6.131426E-09  4.790964E-08  1.298450E-06
    121  4.783406579930E-02  6.787955E-19  5.024434E-16  2.749264E-14  7.032881E-12  1.075182E-10  6.298741E-09  5.028341E-08  1.401184E-06
    122  4.799263518131E-02  6.102559E-19  4.654358E-16  2.602123E-14  6.856780E-12  1.070474E-10  6.444821E-09  5.254254E-08  1.504599E-06
    123  4.815339657435E-02  5.457405E-19  4.290340E-16  2.451556E-14  6.658239E-12  1.061898E-10  6.573861E-09  5.475333E-08  1.612159E-06
    124  4.832264594384E-02  4.835312E-19  3.924383E-16  2.294638E-14  6.433835E-12  1.049458E-10  6.690652E-09  5.699698E-08  1.728201E-06
    125  4.849826454798E-02  4.249985E-19  3.565217E-16  2.135051E-14  6.187916E-12  1.033226E-10  6.791547E-09  5.922813E-08  1.851459E-06
    126  4.867786870736E-02  3.711945E-19  3.220818E-16  1.976580E-14  5.926237E-12  1.013520E-10  6.873869E-09  6.140186E-08  1.980297E-06
    127  4.885872256535E-02  3.228416E-19  2.898066E-16  1.822916E-14  5.655666E-12  9.908972E-11  6.936021E-09  6.347435E-08  2.112620E-06
    128  4.903755607841E-02  2.803713E-19  2.602701E-16  1.677575E-14  5.384015E-12  9.661425E-11  6.977577E-09  6.540278E-08  2.245727E-06
    129  4.921259737621E-02  2.435369E-19  2.336128E-16  1.542182E-14  5.116522E-12  9.399280E-11  6.999580E-09  6.716754E-08  2.377855E-06
    130  4.938368810460E-02  2.116711E-19  2.096456E-16  1.416698E-14  4.855390E-12  9.126690E-11  7.003631E-09  6.876837E-08  2.508382E-06
