 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                na22          na23          na24          na25          na26          na27          na28          na29 
     60  3.304841700500E-02  7.426389E-19  3.907078E-15  3.585164E-15  5.034159E-14  2.175808E-15  2.926704E-16  1.769939E-19  6.043649E-22
     61  3.362823507679E-02  8.881357E-19  5.379646E-15  5.165302E-15  7.822122E-14  3.509552E-15  4.898102E-16  3.017294E-19  1.060742E-21
     62  3.417743618412E-02  1.038163E-18  7.124887E-15  7.117727E-15  1.152026E-13  5.354255E-15  7.740518E-16  4.854291E-19  1.755272E-21
     63  3.448472684867E-02  1.127651E-18  8.270342E-15  8.437877E-15  1.414999E-13  6.707289E-15  9.891432E-16  6.266569E-19  2.302412E-21
     64  3.459225947862E-02  1.160270E-18  8.706842E-15  8.947975E-15  1.519010E-13  7.250235E-15  1.076752E-15  6.846069E-19  2.529499E-21
     65  3.468161085917E-02  1.188070E-18  9.086842E-15  9.394911E-15  1.611134E-13  7.734322E-15  1.155415E-15  7.368155E-19  2.735169E-21
     66  3.501586344154E-02  1.295831E-18  1.062635E-14  1.123242E-14  1.999382E-13  9.807348E-15  1.497926E-15  9.660398E-19  3.649862E-21
     67  3.563385967804E-02  1.511519E-18  1.400616E-14  1.540002E-14  2.929170E-13  1.495447E-14  2.381210E-15  1.568483E-18  6.125092E-21
     68  3.619390900501E-02  1.726520E-18  1.773502E-14  2.018122E-14  4.066407E-13  2.153230E-14  3.563728E-15  2.393793E-18  9.637846E-21
     69  3.661379630041E-02  1.901396E-18  2.100137E-14  2.450483E-14  5.149118E-13  2.802668E-14  4.777740E-15  3.257399E-18  1.342248E-20
     70  3.704099468238E-02  2.092461E-18  2.478211E-14  2.964945E-14  6.495892E-13  3.636948E-14  6.392981E-15  4.426015E-18  1.867802E-20
     71  3.731378163516E-02  2.219486E-18  2.739738E-14  3.329323E-14  7.486120E-13  4.267884E-14  7.652158E-15  5.350474E-18  2.292898E-20
