 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                n14           n15           n16           n17           n18           n19           n20           n21  
    119  4.750539400184E-02  4.915580E-15  8.973808E-12  7.319348E-22  2.461204E-24  8.532053E-28  1.165392E-30  1.000000E-30  1.000000E-30
    120  4.767210524850E-02  5.019540E-15  9.188986E-12  7.319230E-22  2.461136E-24  8.530485E-28  1.164895E-30  1.000000E-30  1.000000E-30
    121  4.783406579930E-02  5.127653E-15  9.418889E-12  7.319115E-22  2.461070E-24  8.528963E-28  1.164413E-30  1.000000E-30  1.000000E-30
    122  4.799263518131E-02  5.239717E-15  9.663323E-12  7.319002E-22  2.461005E-24  8.527473E-28  1.163941E-30  1.000000E-30  1.000000E-30
    123  4.815339657435E-02  5.359334E-15  9.931194E-12  7.318889E-22  2.460939E-24  8.525962E-28  1.163462E-30  1.000000E-30  1.000000E-30
    124  4.832264594384E-02  5.490897E-15  1.023330E-11  7.318769E-22  2.460870E-24  8.524372E-28  1.162959E-30  1.000000E-30  1.000000E-30
    125  4.849826454798E-02  5.632951E-15  1.056822E-11  7.318644E-22  2.460798E-24  8.522723E-28  1.162436E-30  1.000000E-30  1.000000E-30
    126  4.867786870736E-02  5.783492E-15  1.093317E-11  7.318517E-22  2.460725E-24  8.521036E-28  1.161902E-30  1.000000E-30  1.000000E-30
    127  4.885872256535E-02  5.939900E-15  1.132358E-11  7.318389E-22  2.460651E-24  8.519338E-28  1.161365E-30  1.000000E-30  1.000000E-30
    128  4.903755607841E-02  6.098788E-15  1.173238E-11  7.318262E-22  2.460578E-24  8.517659E-28  1.160834E-30  1.000000E-30  1.000000E-30
    129  4.921259737621E-02  6.257881E-15  1.215473E-11  7.318138E-22  2.460506E-24  8.516016E-28  1.160314E-30  1.000000E-30  1.000000E-30
    130  4.938368810460E-02  6.416342E-15  1.258918E-11  7.318017E-22  2.460436E-24  8.514411E-28  1.159807E-30  1.000000E-30  1.000000E-30
    131  4.955132280349E-02  6.573999E-15  1.303605E-11  7.317898E-22  2.460368E-24  8.512838E-28  1.159310E-30  1.000000E-30  1.000000E-30
    132  4.971624312404E-02  6.730993E-15  1.349669E-11  7.317781E-22  2.460300E-24  8.511291E-28  1.158821E-30  1.000000E-30  1.000000E-30
    133  4.987811857735E-02  6.886492E-15  1.396968E-11  7.317666E-22  2.460234E-24  8.509773E-28  1.158341E-30  1.000000E-30  1.000000E-30
    134  5.003799836445E-02  7.041404E-15  1.445981E-11  7.317553E-22  2.460169E-24  8.508274E-28  1.157867E-30  1.000000E-30  1.000000E-30
    135  5.019682549602E-02  7.195812E-15  1.496829E-11  7.317441E-22  2.460104E-24  8.506785E-28  1.157397E-30  1.000000E-30  1.000000E-30
    136  5.035511419132E-02  7.349713E-15  1.549694E-11  7.317328E-22  2.460039E-24  8.505301E-28  1.156929E-30  1.000000E-30  1.000000E-30
    137  5.051299755300E-02  7.502745E-15  1.604673E-11  7.317217E-22  2.459975E-24  8.503822E-28  1.156461E-30  1.000000E-30  1.000000E-30
    138  5.067010535678E-02  7.654044E-15  1.661689E-11  7.317105E-22  2.459911E-24  8.502350E-28  1.155997E-30  1.000000E-30  1.000000E-30
    139  5.082726902819E-02  7.803877E-15  1.721109E-11  7.316994E-22  2.459846E-24  8.500877E-28  1.155532E-30  1.000000E-30  1.000000E-30
    140  5.098506829486E-02  7.952216E-15  1.783258E-11  7.316882E-22  2.459782E-24  8.499399E-28  1.155066E-30  1.000000E-30  1.000000E-30
    141  5.114361869269E-02  8.098530E-15  1.848312E-11  7.316770E-22  2.459717E-24  8.497914E-28  1.154598E-30  1.000000E-30  1.000000E-30
    142  5.130328078870E-02  8.242450E-15  1.916572E-11  7.316657E-22  2.459652E-24  8.496419E-28  1.154126E-30  1.000000E-30  1.000000E-30
    143  5.146205644840E-02  8.381484E-15  1.987306E-11  7.316544E-22  2.459587E-24  8.494933E-28  1.153658E-30  1.000000E-30  1.000000E-30
    144  5.162089365231E-02  8.515776E-15  2.061039E-11  7.316432E-22  2.459522E-24  8.493446E-28  1.153189E-30  1.000000E-30  1.000000E-30
    145  5.177902725711E-02  8.643969E-15  2.137534E-11  7.316320E-22  2.459458E-24  8.491966E-28  1.152723E-30  1.000000E-30  1.000000E-30
    146  5.193558292952E-02  8.764891E-15  2.216725E-11  7.316209E-22  2.459394E-24  8.490501E-28  1.152261E-30  1.000000E-30  1.000000E-30
    147  5.207655208218E-02  8.867890E-15  2.290921E-11  7.316109E-22  2.459336E-24  8.489183E-28  1.151846E-30  1.000000E-30  1.000000E-30
    148  5.220437120847E-02  8.955891E-15  2.360634E-11  7.316018E-22  2.459284E-24  8.487987E-28  1.151469E-30  1.000000E-30  1.000000E-30
    149  5.240275279905E-02  9.081173E-15  2.473651E-11  7.315878E-22  2.459203E-24  8.486132E-28  1.150885E-30  1.000000E-30  1.000000E-30
    150  5.258707116153E-02  9.184067E-15  2.584163E-11  7.315747E-22  2.459128E-24  8.484408E-28  1.150343E-30  1.000000E-30  1.000000E-30
    151  5.276353482958E-02  9.268988E-15  2.695245E-11  7.315622E-22  2.459055E-24  8.482759E-28  1.149824E-30  1.000000E-30  1.000000E-30
    152  5.293536770993E-02  9.337718E-15  2.808659E-11  7.315500E-22  2.458985E-24  8.481153E-28  1.149318E-30  1.000000E-30  1.000000E-30
    153  5.310288915571E-02  9.390343E-15  2.924513E-11  7.315382E-22  2.458917E-24  8.479587E-28  1.148826E-30  1.000000E-30  1.000000E-30
    154  5.325369291828E-02  9.424805E-15  3.033442E-11  7.315275E-22  2.458855E-24  8.478178E-28  1.148383E-30  1.000000E-30  1.000000E-30
    155  5.339308966526E-02  9.445097E-15  3.138269E-11  7.315176E-22  2.458798E-24  8.476876E-28  1.147974E-30  1.000000E-30  1.000000E-30
    156  5.362726198018E-02  9.452672E-15  3.323645E-11  7.315010E-22  2.458703E-24  8.474689E-28  1.147286E-30  1.000000E-30  1.000000E-30
    157  5.383816121000E-02  9.429583E-15  3.501438E-11  7.314861E-22  2.458617E-24  8.472720E-28  1.146668E-30  1.000000E-30  1.000000E-30
    158  5.403768730975E-02  9.380414E-15  3.679459E-11  7.314720E-22  2.458535E-24  8.470857E-28  1.146083E-30  1.000000E-30  1.000000E-30
    159  5.422986619970E-02  9.307600E-15  3.859912E-11  7.314584E-22  2.458457E-24  8.469063E-28  1.145519E-30  1.000000E-30  1.000000E-30
    160  5.440569294967E-02  9.219407E-15  4.032610E-11  7.314459E-22  2.458385E-24  8.467423E-28  1.145004E-30  1.000000E-30  1.000000E-30
    161  5.456994612052E-02  9.118778E-15  4.200487E-11  7.314343E-22  2.458318E-24  8.465890E-28  1.144523E-30  1.000000E-30  1.000000E-30
    162  5.485681963417E-02  8.903525E-15  4.507893E-11  7.314140E-22  2.458201E-24  8.463215E-28  1.143684E-30  1.000000E-30  1.000000E-30
    163  5.511708850657E-02  8.669387E-15  4.801699E-11  7.313955E-22  2.458094E-24  8.460788E-28  1.142923E-30  1.000000E-30  1.000000E-30
    164  5.536560227933E-02  8.417258E-15  5.093911E-11  7.313779E-22  2.457993E-24  8.458471E-28  1.142197E-30  1.000000E-30  1.000000E-30
    165  5.559867087093E-02  8.160974E-15  5.376964E-11  7.313614E-22  2.457898E-24  8.456299E-28  1.141516E-30  1.000000E-30  1.000000E-30
    166  5.582344501454E-02  7.899382E-15  5.658203E-11  7.313455E-22  2.457806E-24  8.454205E-28  1.140860E-30  1.000000E-30  1.000000E-30
    167  5.608267729631E-02  7.585942E-15  5.991310E-11  7.313271E-22  2.457700E-24  8.451790E-28  1.140104E-30  1.000000E-30  1.000000E-30
    168  5.632179590432E-02  7.290191E-15  6.306357E-11  7.313102E-22  2.457603E-24  8.449564E-28  1.139406E-30  1.000000E-30  1.000000E-30
    169  5.658568452696E-02  6.960256E-15  6.662987E-11  7.312915E-22  2.457495E-24  8.447107E-28  1.138638E-30  1.000000E-30  1.000000E-30
    170  5.682194908758E-02  6.664326E-15  6.990724E-11  7.312748E-22  2.457398E-24  8.444908E-28  1.137950E-30  1.000000E-30  1.000000E-30
    171  5.707748662895E-02  6.345787E-15  7.355043E-11  7.312567E-22  2.457294E-24  8.442531E-28  1.137206E-30  1.000000E-30  1.000000E-30
    172  5.730159219632E-02  6.069104E-15  7.683691E-11  7.312408E-22  2.457203E-24  8.440446E-28  1.136555E-30  1.000000E-30  1.000000E-30
    173  5.769211250520E-02  5.595238E-15  8.279646E-11  7.312132E-22  2.457043E-24  8.436815E-28  1.135420E-30  1.000000E-30  1.000000E-30
    174  5.804755660481E-02  5.175624E-15  8.851062E-11  7.311880E-22  2.456898E-24  8.433511E-28  1.134388E-30  1.000000E-30  1.000000E-30
    175  5.837706807704E-02  4.799878E-15  9.406397E-11  7.311647E-22  2.456764E-24  8.430450E-28  1.133433E-30  1.000000E-30  1.000000E-30
    176  5.868213309337E-02  4.464998E-15  9.943713E-11  7.311431E-22  2.456639E-24  8.427617E-28  1.132548E-30  1.000000E-30  1.000000E-30
    177  5.897372529375E-02  4.157663E-15  1.047908E-10  7.311224E-22  2.456520E-24  8.424909E-28  1.131704E-30  1.000000E-30  1.000000E-30
