 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                f22           f23           f24           f25           f26           ne16          ne17          ne18 
    128  4.903755607841E-02  5.640717E-18  7.387202E-18  5.213262E-21  7.162788E-23  3.304247E-27  1.000000E-30  1.000000E-30  3.304132E-27
    129  4.921259737621E-02  4.643125E-18  6.171337E-18  4.398836E-21  6.028856E-23  2.782161E-27  1.000000E-30  1.000000E-30  3.177964E-27
    130  4.938368810460E-02  3.851486E-18  5.184764E-18  3.731729E-21  5.084160E-23  2.347054E-27  1.000000E-30  1.000000E-30  3.058907E-27
    131  4.955132280349E-02  3.221816E-18  4.382958E-18  3.184741E-21  4.295409E-23  1.983647E-27  1.000000E-30  1.000000E-30  2.946205E-27
    132  4.971624312404E-02  2.719241E-18  3.729494E-18  2.735277E-21  3.634396E-23  1.678990E-27  1.000000E-30  1.000000E-30  2.839016E-27
    133  4.987811857735E-02  2.319366E-18  3.198967E-18  2.367634E-21  3.081815E-23  1.424219E-27  1.000000E-30  1.000000E-30  2.737247E-27
    134  5.003799836445E-02  1.998417E-18  2.764598E-18  2.064548E-21  2.614494E-23  1.208691E-27  1.000000E-30  1.000000E-30  2.639874E-27
    135  5.019682549602E-02  1.741260E-18  2.409957E-18  1.815711E-21  2.219792E-23  1.026559E-27  1.000000E-30  1.000000E-30  2.546220E-27
    136  5.035511419132E-02  1.535630E-18  2.121227E-18  1.612268E-21  1.886247E-23  8.725921E-28  1.000000E-30  1.000000E-30  2.455850E-27
    137  5.051299755300E-02  1.372076E-18  1.887637E-18  1.447291E-21  1.604782E-23  7.426197E-28  1.000000E-30  1.000000E-30  2.368567E-27
    138  5.067010535678E-02  1.243249E-18  1.700737E-18  1.315321E-21  1.368332E-23  6.333946E-28  1.000000E-30  1.000000E-30  2.284457E-27
    139  5.082726902819E-02  1.142216E-18  1.552119E-18  1.210804E-21  1.169132E-23  5.413433E-28  1.000000E-30  1.000000E-30  2.202968E-27
    140  5.098506829486E-02  1.063772E-18  1.435432E-18  1.129546E-21  1.001262E-23  4.637408E-28  1.000000E-30  1.000000E-30  2.123733E-27
    141  5.114361869269E-02  1.003965E-18  1.345840E-18  1.068359E-21  8.602635E-24  3.985354E-28  1.000000E-30  1.000000E-30  2.046643E-27
    142  5.130328078870E-02  9.594770E-19  1.279194E-18  1.024497E-21  7.421242E-24  3.438802E-28  1.000000E-30  1.000000E-30  1.971484E-27
    143  5.146205644840E-02  9.280168E-19  1.232671E-18  9.960450E-22  6.447913E-24  2.988328E-28  1.000000E-30  1.000000E-30  1.899119E-27
    144  5.162089365231E-02  9.069413E-19  1.202749E-18  9.806176E-22  5.644622E-24  2.616404E-28  1.000000E-30  1.000000E-30  1.829018E-27
    145  5.177902725711E-02  8.943811E-19  1.186920E-18  9.764693E-22  4.988257E-24  2.312386E-28  1.000000E-30  1.000000E-30  1.761428E-27
    146  5.193558292952E-02  8.886601E-19  1.182807E-18  9.818906E-22  4.454874E-24  2.065249E-28  1.000000E-30  1.000000E-30  1.696532E-27
    147  5.207655208218E-02  8.882546E-19  1.187629E-18  9.940002E-22  4.060982E-24  1.882622E-28  1.000000E-30  1.000000E-30  1.639811E-27
    148  5.220437120847E-02  8.911241E-19  1.198086E-18  1.010281E-21  3.765144E-24  1.745413E-28  1.000000E-30  1.000000E-30  1.589747E-27
    149  5.240275279905E-02  9.005637E-19  1.224186E-18  1.044443E-21  3.403512E-24  1.577670E-28  1.000000E-30  1.000000E-30  1.514530E-27
    150  5.258707116153E-02  9.136696E-19  1.257616E-18  1.084801E-21  3.155641E-24  1.462630E-28  1.000000E-30  1.000000E-30  1.447266E-27
