 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                br79          br80          br81          br82          br83          br84          br85          br86 
    140  5.098506829486E-02  2.074557E-17  7.406815E-16  5.950116E-14  7.995606E-13  2.680844E-11  9.093293E-11  7.499335E-10  1.687520E-10
    141  5.114361869269E-02  2.514201E-17  9.171735E-16  7.579698E-14  1.040123E-12  3.582070E-11  1.237623E-10  1.047766E-09  2.385756E-10
    142  5.130328078870E-02  3.037665E-17  1.132439E-15  9.630081E-14  1.349730E-12  4.775587E-11  1.680945E-10  1.461179E-09  3.366995E-10
    143  5.146205644840E-02  3.649012E-17  1.390063E-15  1.216234E-13  1.740931E-12  6.327704E-11  2.268883E-10  2.024844E-09  4.721554E-10
    144  5.162089365231E-02  4.361534E-17  1.697848E-15  1.528537E-13  2.234625E-12  8.344078E-11  3.047886E-10  2.792749E-09  6.590035E-10
    145  5.177902725711E-02  5.180724E-17  2.060733E-15  1.908802E-13  2.849886E-12  1.093146E-10  4.067516E-10  3.826351E-09  9.136634E-10
    146  5.193558292952E-02  6.107935E-17  2.482098E-15  2.365060E-13  3.605529E-12  1.420411E-10  5.382999E-10  5.197793E-09  1.255790E-09
    147  5.207655208218E-02  7.045130E-17  2.918841E-15  2.853264E-13  4.432562E-12  1.788871E-10  6.892501E-10  6.814213E-09  1.663844E-09
    148  5.220437120847E-02  7.980838E-17  3.365048E-15  3.366738E-13  5.320499E-12  2.194777E-10  8.584444E-10  8.670667E-09  2.137585E-09
    149  5.240275279905E-02  9.592790E-17  4.156441E-15  4.311252E-13  6.996509E-12  2.986070E-10  1.195531E-09  1.248459E-08  3.124206E-09
    150  5.258707116153E-02  1.125023E-16  4.999943E-15  5.363593E-13  8.922503E-12  3.930763E-10  1.608328E-09  1.732390E-08  4.395836E-09
    151  5.276353482958E-02  1.295794E-16  5.900795E-15  6.537493E-13  1.113654E-11  5.057635E-10  2.112975E-09  2.344649E-08  6.029170E-09
    152  5.293536770993E-02  1.470093E-16  6.855334E-15  7.837850E-13  1.366436E-11  6.392466E-10  2.725468E-09  3.113299E-08  8.110364E-09
