 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                mg23          mg24          mg25          mg26          mg27          mg28          mg29          mg30 
    110  4.624194314299E-02  3.382549E-22  3.395495E-15  2.421593E-14  6.048360E-12  4.702857E-12  2.540797E-11  2.345048E-13  1.299954E-14
    111  4.641297951594E-02  3.100585E-22  3.108008E-15  2.102679E-14  5.293327E-12  4.154843E-12  2.297028E-11  2.140608E-13  1.204556E-14
    112  4.656990459822E-02  2.876945E-22  2.883340E-15  1.842723E-14  4.665568E-12  3.695611E-12  2.087063E-11  1.962285E-13  1.119597E-14
    113  4.671253119976E-02  2.701269E-22  2.709026E-15  1.631801E-14  4.146024E-12  3.312512E-12  1.907424E-11  1.807950E-13  1.044658E-14
    114  4.684580987606E-02  2.559516E-22  2.569965E-15  1.455180E-14  3.702250E-12  2.982656E-12  1.749102E-11  1.670493E-13  9.767465E-15
    115  4.697520204195E-02  2.441329E-22  2.455444E-15  1.301502E-14  3.308151E-12  2.687309E-12  1.604165E-11  1.543404E-13  9.129245E-15
    116  4.709649788536E-02  2.346747E-22  2.365167E-15  1.172394E-14  2.970032E-12  2.431787E-12  1.476096E-11  1.430051E-13  8.551190E-15
    117  4.721637454993E-02  2.267538E-22  2.291068E-15  1.058110E-14  2.664167E-12  2.198666E-12  1.356869E-11  1.323585E-13  8.000284E-15
    118  4.732862910872E-02  2.205215E-22  2.234386E-15  9.623163E-15  2.401972E-12  1.997105E-12  1.251765E-11  1.228935E-13  7.503707E-15
    119  4.750539400184E-02  2.128002E-22  2.168012E-15  8.316786E-15  2.033484E-12  1.710658E-12  1.098805E-11  1.089767E-13  6.761186E-15
    120  4.767210524850E-02  2.075823E-22  2.128686E-15  7.289768E-15  1.731970E-12  1.472961E-12  9.682281E-12  9.695180E-14  6.106798E-15
    121  4.783406579930E-02  2.041578E-22  2.109813E-15  6.460543E-15  1.477739E-12  1.269694E-12  8.535243E-12  8.626792E-14  5.514523E-15
    122  4.799263518131E-02  2.021465E-22  2.107896E-15  5.790110E-15  1.261990E-12  1.094700E-12  7.521644E-12  7.672278E-14  4.975843E-15
    123  4.815339657435E-02  2.012719E-22  2.121145E-15  5.233849E-15  1.072615E-12  9.387899E-13  6.594731E-12  6.789693E-14  4.468716E-15
    124  4.832264594384E-02  2.014013E-22  2.149829E-15  4.768005E-15  9.025547E-13  7.965089E-13  5.726083E-12  5.953518E-14  3.979677E-15
    125  4.849826454798E-02  2.024751E-22  2.193906E-15  4.396138E-15  7.539195E-13  6.699453E-13  4.931719E-12  5.180195E-14  3.519068E-15
    126  4.867786870736E-02  2.043789E-22  2.252519E-15  4.115602E-15  6.272476E-13  5.600075E-13  4.221788E-12  4.481102E-14  3.094869E-15
    127  4.885872256535E-02  2.069579E-22  2.324041E-15  3.919065E-15  5.218373E-13  4.666278E-13  3.601106E-12  3.862820E-14  2.712641E-15
