 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                be9           be10          be11          be12          b8            b9            b10           b11  
     71  3.731378163516E-02  9.393139E-13  3.627428E-16  1.253331E-20  7.101463E-25  4.999270E-27  2.362188E-18  3.082755E-15  9.606855E-13
     72  3.757630769329E-02  9.361107E-13  3.627428E-16  1.253315E-20  7.041612E-25  4.319605E-27  2.200943E-18  2.993276E-15  1.033081E-12
     73  3.788075418501E-02  9.327101E-13  3.627428E-16  1.253295E-20  6.972836E-25  3.699172E-27  2.039915E-18  2.901280E-15  1.112949E-12
     74  3.819794660071E-02  9.295158E-13  3.627428E-16  1.253275E-20  6.901894E-25  3.205315E-27  1.898786E-18  2.819553E-15  1.188643E-12
     75  3.838080203158E-02  9.278300E-13  3.627428E-16  1.253264E-20  6.861326E-25  2.978065E-27  1.828584E-18  2.779158E-15  1.227655E-12
     76  3.859219912978E-02  9.259935E-13  3.627428E-16  1.253251E-20  6.814723E-25  2.753468E-27  1.755374E-18  2.737046E-15  1.269046E-12
     77  3.884096228080E-02  9.240177E-13  3.627428E-16  1.253235E-20  6.760288E-25  2.542896E-27  1.681398E-18  2.696394E-15  1.309674E-12
     78  3.907668434759E-02  9.223243E-13  3.627428E-16  1.253220E-20  6.709108E-25  2.389749E-27  1.622590E-18  2.666973E-15  1.339075E-12
     79  3.934936577490E-02  9.205733E-13  3.627428E-16  1.253203E-20  6.650386E-25  2.261490E-27  1.567241E-18  2.644202E-15  1.360978E-12
     80  3.961640452516E-02  9.190652E-13  3.627428E-16  1.253186E-20  6.593377E-25  2.181086E-27  1.525306E-18  2.633834E-15  1.369054E-12
     81  3.991996766101E-02  9.175882E-13  3.627428E-16  1.253167E-20  6.529165E-25  2.139628E-27  1.491485E-18  2.636761E-15  1.361565E-12
     82  4.019473378510E-02  9.164609E-13  3.627428E-16  1.253150E-20  6.471583E-25  2.146777E-27  1.473104E-18  2.653434E-15  1.339302E-12
     83  4.046928694587E-02  9.155221E-13  3.627428E-16  1.253133E-20  6.414553E-25  2.196971E-27  1.465986E-18  2.683645E-15  1.302806E-12
     84  4.074955599116E-02  9.147627E-13  3.627428E-16  1.253115E-20  6.356854E-25  2.299377E-27  1.471014E-18  2.730065E-15  1.250863E-12
     85  4.099011663524E-02  9.142774E-13  3.627428E-16  1.253100E-20  6.307744E-25  2.436953E-27  1.486054E-18  2.783985E-15  1.194820E-12
     86  4.118445936105E-02  9.139999E-13  3.627428E-16  1.253088E-20  6.268346E-25  2.588533E-27  1.505999E-18  2.837908E-15  1.142415E-12
     87  4.137235583218E-02  9.138314E-13  3.627428E-16  1.253076E-20  6.230489E-25  2.776704E-27  1.532462E-18  2.899597E-15  1.086308E-12
     88  4.152714488067E-02  9.137675E-13  3.627428E-16  1.253066E-20  6.199475E-25  2.968443E-27  1.559973E-18  2.957969E-15  1.036590E-12
     89  4.165981986900E-02  9.137675E-13  3.627428E-16  1.253058E-20  6.173014E-25  3.163964E-27  1.587956E-18  3.013756E-15  9.918569E-13
     90  4.188596337322E-02  9.138848E-13  3.627428E-16  1.253044E-20  6.128172E-25  3.577176E-27  1.645737E-18  3.121799E-15  9.121839E-13
     91  4.208159634323E-02  9.141067E-13  3.627428E-16  1.253031E-20  6.089642E-25  4.035349E-27  1.706916E-18  3.229270E-15  8.410615E-13
     92  4.230932596557E-02  9.145047E-13  3.627428E-16  1.253017E-20  6.045097E-25  4.720149E-27  1.792576E-18  3.371716E-15  7.575856E-13
     93  4.251598135750E-02  9.149939E-13  3.627428E-16  1.253004E-20  6.004956E-25  5.523160E-27  1.885118E-18  3.517954E-15  6.829260E-13
     94  4.274368410830E-02  9.156665E-13  3.627428E-16  1.252990E-20  5.961035E-25  6.666093E-27  2.004658E-18  3.698196E-15  6.039972E-13
     95  4.294191711445E-02  9.163569E-13  3.627428E-16  1.252977E-20  5.923060E-25  7.942500E-27  2.124766E-18  3.871481E-15  5.395723E-13
     96  4.316569238790E-02  9.172397E-13  3.627428E-16  1.252963E-20  5.880482E-25  9.785559E-27  2.279349E-18  4.085095E-15  4.729045E-13
     97  4.339365876136E-02  9.182326E-13  3.627428E-16  1.252949E-20  5.837422E-25  1.221862E-26  2.458327E-18  4.321411E-15  4.125244E-13
     98  4.362382833621E-02  9.193043E-13  3.627428E-16  1.252934E-20  5.794266E-25  1.539116E-26  2.661215E-18  4.577386E-15  3.597302E-13
     99  4.384703699487E-02  9.203802E-13  3.627428E-16  1.252920E-20  5.752719E-25  1.931288E-26  2.878557E-18  4.839828E-15  3.163223E-13
    100  4.408801045744E-02  9.215427E-13  3.627428E-16  1.252905E-20  5.708200E-25  2.465912E-26  3.133599E-18  5.134940E-15  2.775724E-13
    101  4.430336182063E-02  9.225466E-13  3.627428E-16  1.252891E-20  5.668707E-25  3.055547E-26  3.376312E-18  5.405110E-15  2.493574E-13
