 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                p32           p33           p34           p35           p36           p37           p38           p39  
    117  4.721637454993E-02  4.083544E-13  3.846349E-11  2.158509E-11  8.300681E-11  6.052949E-13  1.039706E-13  5.544735E-16  4.037512E-17
    118  4.732862910872E-02  3.793313E-13  3.608244E-11  2.046850E-11  7.991900E-11  5.853516E-13  1.017987E-13  5.459227E-16  4.020041E-17
    119  4.750539400184E-02  3.359542E-13  3.250260E-11  1.875556E-11  7.502299E-11  5.533289E-13  9.813148E-14  5.309010E-16  3.979192E-17
    120  4.767210524850E-02  2.979368E-13  2.933176E-11  1.720255E-11  7.041384E-11  5.227649E-13  9.444328E-14  5.152096E-16  3.926722E-17
    121  4.783406579930E-02  2.638613E-13  2.645195E-11  1.576131E-11  6.598669E-11  4.930508E-13  9.069613E-14  4.987862E-16  3.863996E-17
    122  4.799263518131E-02  2.332678E-13  2.382700E-11  1.442028E-11  6.173147E-11  4.641717E-13  8.690909E-14  4.817675E-16  3.792315E-17
    123  4.815339657435E-02  2.049249E-13  2.135415E-11  1.313071E-11  5.750691E-11  4.351865E-13  8.296317E-14  4.636174E-16  3.709264E-17
    124  4.832264594384E-02  1.780891E-13  1.896740E-11  1.186072E-11  5.321440E-11  4.054374E-13  7.877544E-14  4.439767E-16  3.613593E-17
    125  4.849826454798E-02  1.533407E-13  1.671864E-11  1.063916E-11  4.895190E-11  3.755985E-13  7.443551E-14  4.232456E-16  3.506883E-17
    126  4.867786870736E-02  1.310769E-13  1.464790E-11  9.490479E-12  4.481284E-11  3.463348E-13  7.004202E-14  4.018927E-16  3.391435E-17
    127  4.885872256535E-02  1.115165E-13  1.278302E-11  8.434040E-12  4.088229E-11  3.182735E-13  6.569798E-14  3.804343E-16  3.270180E-17
    128  4.903755607841E-02  9.472987E-14  1.114108E-11  7.484407E-12  3.723605E-11  2.919950E-13  6.150879E-14  3.594228E-16  3.146624E-17
    129  4.921259737621E-02  8.050679E-14  9.713283E-12  6.641748E-12  3.389986E-11  2.677313E-13  5.753126E-14  3.391864E-16  3.023245E-17
    130  4.938368810460E-02  6.848506E-14  8.474636E-12  5.896194E-12  3.085907E-11  2.454220E-13  5.377542E-14  3.198201E-16  2.901192E-17
    131  4.955132280349E-02  5.830466E-14  7.398055E-12  5.235645E-12  2.808596E-11  2.249038E-13  5.023183E-14  3.013144E-16  2.780913E-17
    132  4.971624312404E-02  4.965291E-14  6.459013E-12  4.648565E-12  2.555063E-11  2.059903E-13  4.688371E-14  2.836151E-16  2.662481E-17
    133  4.987811857735E-02  4.231954E-14  5.642108E-12  4.128346E-12  2.324092E-11  1.886210E-13  4.373432E-14  2.667694E-16  2.546597E-17
    134  5.003799836445E-02  3.604091E-14  4.924430E-12  3.662747E-12  2.111581E-11  1.725077E-13  4.074006E-14  2.505555E-16  2.431770E-17
    135  5.019682549602E-02  3.066384E-14  4.293508E-12  3.245997E-12  1.916150E-11  1.575736E-13  3.790005E-14  2.350037E-16  2.318745E-17
    136  5.035511419132E-02  2.605361E-14  3.738079E-12  2.872486E-12  1.736215E-11  1.437173E-13  3.520424E-14  2.200783E-16  2.207513E-17
    137  5.051299755300E-02  2.210477E-14  3.249473E-12  2.537988E-12  1.570683E-11  1.308718E-13  3.264780E-14  2.057696E-16  2.098206E-17
    138  5.067010535678E-02  1.873593E-14  2.821268E-12  2.239566E-12  1.418985E-11  1.190092E-13  3.023316E-14  1.921080E-16  1.991265E-17
