 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                tb155         tb156         tb157         tb158         tb159         tb160         tb161         tb162
     93  4.251598135750E-02  4.574888E-30  9.293758E-30  1.860054E-29  1.880131E-29  1.993242E-29  9.056202E-30  5.353255E-30  1.070480E-30
     94  4.274368410830E-02  5.083726E-30  1.036843E-29  2.115655E-29  2.178697E-29  2.358201E-29  1.076901E-29  6.620183E-30  1.358982E-30
     95  4.294191711445E-02  4.465939E-30  9.131808E-30  1.963905E-29  2.130375E-29  2.440303E-29  1.123864E-29  6.867430E-30  1.426884E-30
     96  4.316569238790E-02  5.077419E-30  1.087797E-29  2.402299E-29  2.657700E-29  3.119045E-29  1.512182E-29  9.579192E-30  2.027671E-30
     97  4.339365876136E-02  5.137297E-30  1.124244E-29  2.497406E-29  2.761742E-29  3.242047E-29  1.568491E-29  1.049544E-29  2.366470E-30
     98  4.362382833621E-02  5.174097E-30  1.158959E-29  2.657418E-29  3.021305E-29  3.660576E-29  1.804946E-29  1.210300E-29  2.683227E-30
     99  4.384703699487E-02  4.972292E-30  1.146145E-29  2.709405E-29  3.157318E-29  3.935063E-29  1.987906E-29  1.360938E-29  3.214650E-30
    100  4.408801045744E-02  5.356429E-30  1.254067E-29  3.059535E-29  3.667608E-29  4.710966E-29  2.432210E-29  1.684884E-29  3.933753E-30
    101  4.430336182063E-02  4.687384E-30  1.147391E-29  2.885021E-29  3.529420E-29  4.650167E-29  2.464151E-29  1.770094E-29  4.259587E-30
    102  4.453208602613E-02  4.921761E-30  1.214443E-29  3.155362E-29  3.983513E-29  5.428931E-29  2.949972E-29  2.155494E-29  5.217487E-30
    103  4.474836808964E-02  4.629912E-30  1.180898E-29  3.183776E-29  4.143790E-29  5.834011E-29  3.261094E-29  2.464268E-29  6.106126E-30
    104  4.497736119052E-02  4.751151E-30  1.249484E-29  3.491569E-29  4.680927E-29  6.819487E-29  3.923481E-29  3.058978E-29  7.669974E-30
    105  4.517199675598E-02  3.916843E-30  1.071200E-29  3.034811E-29  4.087465E-29  5.993810E-29  3.480907E-29  2.764260E-29  7.316756E-30
    106  4.536038532241E-02  3.705034E-30  1.027672E-29  2.985512E-29  4.120659E-29  6.227519E-29  3.697663E-29  2.990104E-29  8.077872E-30
    107  4.552484255766E-02  3.153731E-30  8.701566E-30  2.667867E-29  3.859911E-29  6.102757E-29  3.789892E-29  3.243845E-29  8.910106E-30
    108  4.581275722245E-02  5.294446E-30  1.534503E-29  4.778859E-29  6.983374E-29  1.122225E-28  7.004453E-29  5.989699E-29  1.688824E-29
    109  4.603616864208E-02  3.940908E-30  1.142082E-29  3.777492E-29  5.836125E-29  9.992137E-29  6.613841E-29  6.055777E-29  1.748532E-29
    110  4.624194314299E-02  3.560341E-30  1.071704E-29  3.585382E-29  5.580342E-29  9.666007E-29  6.495459E-29  6.089744E-29  1.812461E-29
    111  4.641297951594E-02  2.819537E-30  8.655399E-30  3.002074E-29  4.805490E-29  8.560566E-29  5.858369E-29  5.573185E-29  1.662807E-29
    112  4.656990459822E-02  2.519219E-30  7.973559E-30  2.816648E-29  4.565591E-29  8.241460E-29  5.710739E-29  5.520882E-29  1.689877E-29
    113  4.671253119976E-02  2.212102E-30  7.087363E-30  2.558102E-29  4.216588E-29  7.748591E-29  5.444075E-29  5.338971E-29  1.654039E-29
    114  4.684580987606E-02  2.015019E-30  6.583240E-30  2.415318E-29  4.029553E-29  7.505031E-29  5.330671E-29  5.289914E-29  1.663922E-29
    115  4.697520204195E-02  1.907725E-30  6.315113E-30  2.355477E-29  3.980459E-29  7.526881E-29  5.408152E-29  5.432761E-29  1.734888E-29
    116  4.709649788536E-02  1.741414E-30  5.836804E-30  2.213971E-29  3.799914E-29  7.307695E-29  5.325610E-29  5.432057E-29  1.755075E-29
    117  4.721637454993E-02  1.674203E-30  5.693245E-30  2.196162E-29  3.813844E-29  7.440829E-29  5.481478E-29  5.656341E-29  1.851601E-29
    118  4.732862910872E-02  1.522809E-30  5.272819E-30  2.066655E-29  3.642945E-29  7.222596E-29  5.394952E-29  5.651273E-29  1.869207E-29
    119  4.750539400184E-02  2.300515E-30  8.116973E-30  3.260535E-29  5.853849E-29  1.191032E-28  9.097090E-29  9.784263E-29  3.327750E-29
    120  4.767210524850E-02  2.080697E-30  7.574998E-30  3.061335E-29  5.583158E-29  1.161439E-28  8.983190E-29  9.708489E-29  3.219039E-29
    121  4.783406579930E-02  1.934248E-30  7.135657E-30  2.954471E-29  5.498007E-29  1.170686E-28  9.241359E-29  1.024065E-28  3.497659E-29
    122  4.799263518131E-02  1.824971E-30  6.803929E-30  2.879583E-29  5.464482E-29  1.190599E-28  9.583010E-29  1.085685E-28  3.784529E-29
    123  4.815339657435E-02  1.762441E-30  6.691622E-30  2.907584E-29  5.628922E-29  1.253916E-28  1.029339E-28  1.193337E-28  4.253149E-29
    124  4.832264594384E-02  1.744863E-30  6.808397E-30  3.050112E-29  6.030752E-29  1.372888E-28  1.147736E-28  1.358073E-28  4.940679E-29
    125  4.849826454798E-02  1.710833E-30  6.827766E-30  3.137773E-29  6.333289E-29  1.476790E-28  1.259021E-28  1.521903E-28  5.637259E-29
    126  4.867786870736E-02  1.655088E-30  6.731584E-30  3.171961E-29  6.539833E-29  1.563573E-28  1.360658E-28  1.682329E-28  6.352386E-29
    127  4.885872256535E-02  1.580896E-30  6.521920E-30  3.147582E-29  6.631551E-29  1.627079E-28  1.446493E-28  1.831311E-28  7.054885E-29
    128  4.903755607841E-02  1.474557E-30  6.216487E-30  3.074749E-29  6.618973E-29  1.666460E-28  1.513181E-28  1.960920E-28  7.701870E-29
    129  4.921259737621E-02  1.341337E-30  5.858233E-30  2.974016E-29  6.535756E-29  1.686241E-28  1.561394E-28  2.067927E-28  8.272077E-29
    130  4.938368810460E-02  1.218325E-30  5.525322E-30  2.875508E-29  6.439705E-29  1.698547E-28  1.601525E-28  2.164473E-28  8.812483E-29
    131  4.955132280349E-02  1.138582E-30  5.232807E-30  2.774441E-29  6.320533E-29  1.701570E-28  1.632645E-28  2.250910E-28  9.330264E-29
    132  4.971624312404E-02  1.084483E-30  4.935722E-30  2.664975E-29  6.193986E-29  1.707359E-28  1.670979E-28  2.356906E-28  9.974536E-29
    133  4.987811857735E-02  1.000000E-30  4.646531E-30  2.572847E-29  6.104786E-29  1.723147E-28  1.719416E-28  2.478340E-28  1.068618E-28
    134  5.003799836445E-02  1.000000E-30  4.412472E-30  2.506852E-29  6.056739E-29  1.745454E-28  1.771557E-28  2.602733E-28  1.140998E-28
    135  5.019682549602E-02  1.000000E-30  4.203288E-30  2.441019E-29  6.003355E-29  1.766499E-28  1.824134E-28  2.733148E-28  1.219297E-28
    136  5.035511419132E-02  1.000000E-30  4.025272E-30  2.384084E-29  5.973963E-29  1.796475E-28  1.888715E-28  2.888274E-28  1.312058E-28
    137  5.051299755300E-02  1.000000E-30  3.834835E-30  2.322999E-29  5.930788E-29  1.822745E-28  1.950860E-28  3.043771E-28  1.406810E-28
    138  5.067010535678E-02  1.000000E-30  3.652576E-30  2.259594E-29  5.873496E-29  1.843597E-28  2.007719E-28  3.194494E-28  1.501326E-28
    139  5.082726902819E-02  1.000000E-30  3.493208E-30  2.201539E-29  5.830965E-29  1.870663E-28  2.074360E-28  3.369315E-28  1.611732E-28
    140  5.098506829486E-02  1.000000E-30  3.336970E-30  2.158115E-29  5.829795E-29  1.913139E-28  2.161214E-28  3.584680E-28  1.745490E-28
    141  5.114361869269E-02  1.000000E-30  3.195089E-30  2.121135E-29  5.833228E-29  1.954592E-28  2.246058E-28  3.797514E-28  1.879328E-28
    142  5.130328078870E-02  1.000000E-30  3.067743E-30  2.071017E-29  5.800191E-29  1.985840E-28  2.322920E-28  4.007697E-28  2.017872E-28
    143  5.146205644840E-02  1.000000E-30  2.897435E-30  1.999907E-29  5.711873E-29  2.001470E-28  2.385941E-28  4.204624E-28  2.155205E-28
    144  5.162089365231E-02  1.000000E-30  2.752380E-30  1.951275E-29  5.676466E-29  2.031393E-28  2.463873E-28  4.428090E-28  2.308047E-28
    145  5.177902725711E-02  1.000000E-30  2.595992E-30  1.879707E-29  5.575305E-29  2.040644E-28  2.520938E-28  4.624705E-28  2.452632E-28
    146  5.193558292952E-02  1.000000E-30  2.373194E-30  1.835142E-29  5.521402E-29  2.036714E-28  2.533537E-28  4.692476E-28  2.513112E-28
    147  5.207655208218E-02  1.000000E-30  2.038377E-30  1.599316E-29  4.915267E-29  1.856065E-28  2.352264E-28  4.447280E-28  2.422578E-28
    148  5.220437120847E-02  1.000000E-30  1.777014E-30  1.415376E-29  4.417174E-29  1.698173E-28  2.183167E-28  4.192697E-28  2.313581E-28
    149  5.240275279905E-02  1.000000E-30  2.567661E-30  2.120202E-29  6.754310E-29  2.660846E-28  3.491397E-28  6.868228E-28  3.873084E-28
    150  5.258707116153E-02  1.000000E-30  2.242978E-30  1.838637E-29  6.012822E-29  2.472659E-28  3.357572E-28  6.840706E-28  3.958936E-28
    151  5.276353482958E-02  1.000000E-30  2.024272E-30  1.692166E-29  5.650398E-29  2.376191E-28  3.288976E-28  6.858248E-28  4.051382E-28
    152  5.293536770993E-02  1.000000E-30  1.848353E-30  1.587276E-29  5.411113E-29  2.328329E-28  3.283954E-28  6.999376E-28  4.214381E-28
    153  5.310288915571E-02  1.000000E-30  1.651606E-30  1.521624E-29  5.272551E-29  2.291621E-28  3.258454E-28  7.015156E-28  4.265671E-28
    154  5.325369291828E-02  1.000000E-30  1.413911E-30  1.315184E-29  4.655391E-29  2.075003E-28  3.010287E-28  6.625798E-28  4.102546E-28
    155  5.339308966526E-02  1.000000E-30  1.227173E-30  1.171790E-29  4.182982E-29  1.893746E-28  2.780793E-28  6.190287E-28  3.859719E-28
    156  5.362726198018E-02  1.000000E-30  1.869100E-30  1.880928E-29  6.961215E-29  3.249973E-28  4.893452E-28  1.124934E-27  7.236497E-28
    157  5.383816121000E-02  1.000000E-30  1.556822E-30  1.531734E-29  5.828516E-29  2.865705E-28  4.502637E-28  1.081766E-27  7.192918E-28
    158  5.403768730975E-02  1.000000E-30  1.364851E-30  1.384204E-29  5.395475E-29  2.713679E-28  4.350454E-28  1.072916E-27  7.308490E-28
    159  5.422986619970E-02  1.000000E-30  1.190873E-30  1.309265E-29  5.204486E-29  2.652791E-28  4.293678E-28  1.070192E-27  7.364012E-28
    160  5.440569294967E-02  1.000000E-30  1.034559E-30  1.136069E-29  4.616605E-29  2.423915E-28  4.017415E-28  1.027607E-27  7.220265E-28
    161  5.456994612052E-02  1.000000E-30  1.000000E-30  1.003179E-29  4.147968E-29  2.226935E-28  3.755462E-28  9.768403E-28  6.941167E-28
    162  5.485681963417E-02  1.000000E-30  1.333362E-30  1.642076E-29  7.070327E-29  3.941075E-28  6.852833E-28  1.853469E-27  1.367191E-27
    163  5.511708850657E-02  1.000000E-30  1.082351E-30  1.307486E-29  5.821502E-29  3.427003E-28  6.245083E-28  1.780270E-27  1.369116E-27
    164  5.536560227933E-02  1.000000E-30  1.000000E-30  1.220265E-29  5.573049E-29  3.335659E-28  6.151492E-28  1.779664E-27  1.389947E-27
    165  5.559867087093E-02  1.000000E-30  1.000000E-30  1.058469E-29  4.973939E-29  3.095089E-28  5.885775E-28  1.759403E-27  1.409912E-27
    166  5.582344501454E-02  1.000000E-30  1.000000E-30  9.276439E-30  4.500124E-29  2.908374E-28  5.693824E-28  1.750148E-27  1.428875E-27
    167  5.608267729631E-02  1.000000E-30  1.000000E-30  9.648507E-30  4.866316E-29  3.287905E-28  6.652085E-28  2.115708E-27  1.774758E-27
    168  5.632179590432E-02  1.000000E-30  1.000000E-30  8.154374E-30  4.217925E-29  2.966288E-28  6.219056E-28  2.068393E-27  1.805784E-27
    169  5.658568452696E-02  1.000000E-30  1.000000E-30  8.203990E-30  4.424873E-29  3.226380E-28  6.942421E-28  2.367320E-27  2.104425E-27
    170  5.682194908758E-02  1.000000E-30  1.000000E-30  6.930689E-30  3.807269E-29  2.848868E-28  6.280554E-28  2.210304E-27  2.022459E-27
    171  5.707748662895E-02  1.000000E-30  1.000000E-30  6.642957E-30  3.807139E-29  2.986454E-28  6.820805E-28  2.489984E-27  2.344269E-27
    172  5.730159219632E-02  1.000000E-30  1.000000E-30  5.509760E-30  3.196903E-29  2.575151E-28  6.028753E-28  2.272570E-27  2.202720E-27
    173  5.769211250520E-02  1.000000E-30  1.000000E-30  8.136469E-30  5.093353E-29  4.406962E-28  1.087239E-27  4.327249E-27  4.379586E-27
    174  5.804755660481E-02  1.000000E-30  1.000000E-30  6.873700E-30  4.325722E-29  3.727049E-28  9.290073E-28  3.853145E-27  4.121637E-27
    175  5.837706807704E-02  1.000000E-30  1.000000E-30  5.300840E-30  3.639889E-29  3.446525E-28  9.141558E-28  3.964250E-27  4.319696E-27
    176  5.868213309337E-02  1.000000E-30  1.000000E-30  4.234415E-30  3.042911E-29  3.039707E-28  8.420282E-28  3.837175E-27  4.357173E-27
    177  5.897372529375E-02  1.000000E-30  1.000000E-30  3.521855E-30  2.610014E-29  2.747619E-28  7.955088E-28  3.814352E-27  4.515936E-27
    178  5.927019313219E-02  1.000000E-30  1.000000E-30  3.062808E-30  2.370639E-29  2.631330E-28  7.961671E-28  4.012147E-27  4.945187E-27
    179  5.955970264735E-02  1.000000E-30  1.000000E-30  2.587596E-30  2.078282E-29  2.423433E-28  7.625188E-28  4.014159E-27  5.127318E-27
    180  5.987296131417E-02  1.000000E-30  1.000000E-30  2.379519E-30  1.973104E-29  2.434963E-28  8.019676E-28  4.439457E-27  5.902490E-27
    181  6.018239261751E-02  1.000000E-30  1.000000E-30  2.044742E-30  1.748963E-29  2.217865E-28  7.475085E-28  4.262785E-27  5.824762E-27
    182  6.051941164510E-02  1.000000E-30  1.000000E-30  1.911523E-30  1.691984E-29  2.246914E-28  7.867738E-28  4.693737E-27  6.664415E-27
    183  6.081686890997E-02  1.000000E-30  1.000000E-30  1.410087E-30  1.305602E-29  1.821596E-28  6.642425E-28  4.157250E-27  6.147204E-27
    184  6.107970107709E-02  1.000000E-30  1.000000E-30  1.066233E-30  1.039079E-29  1.522375E-28  5.768988E-28  3.778793E-27  5.810063E-27
    185  6.149099227918E-02  1.000000E-30  1.000000E-30  1.336367E-30  1.379637E-29  2.139096E-28  8.489869E-28  5.874150E-27  9.458404E-27
    186  6.184187848266E-02  1.000000E-30  1.000000E-30  1.000000E-30  9.801177E-30  1.625785E-28  6.810263E-28  5.009725E-27  8.483241E-27
    187  6.212841772032E-02  1.000000E-30  1.000000E-30  1.000000E-30  7.163395E-30  1.232134E-28  5.313454E-28  4.042863E-27  7.044002E-27
    188  6.241083345826E-02  1.000000E-30  1.000000E-30  1.000000E-30  6.389764E-30  1.141369E-28  5.068439E-28  3.989110E-27  7.150301E-27
    189  6.286334795077E-02  1.000000E-30  1.000000E-30  1.000000E-30  8.301222E-30  1.579170E-28  7.384787E-28  6.180022E-27  1.166762E-26
    190  6.324448148531E-02  1.000000E-30  1.000000E-30  1.000000E-30  5.556273E-30  1.140471E-28  5.666812E-28  5.076285E-27  1.012511E-26
    191  6.354755735680E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.920505E-30  8.228929E-29  4.161553E-28  3.823686E-27  7.815464E-27
    192  6.382753282149E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.157179E-30  7.060478E-29  3.742115E-28  3.603520E-27  7.626706E-27
    193  6.429792763326E-02  1.000000E-30  1.000000E-30  1.000000E-30  4.474329E-30  1.057186E-28  5.811400E-28  5.826546E-27  1.277500E-26
    194  6.470641913937E-02  1.000000E-30  1.000000E-30  1.000000E-30  3.273127E-30  8.001487E-29  4.563769E-28  4.843394E-27  1.122158E-26
    195  6.514351188605E-02  1.000000E-30  1.000000E-30  1.000000E-30  2.722244E-30  7.299197E-29  4.426084E-28  4.983102E-27  1.206696E-26
    196  6.551961572666E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.247899E-30  4.217003E-29  3.017874E-28  3.967800E-27  1.059030E-26
    197  6.614173306661E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.592876E-30  6.319243E-29  4.791808E-28  6.438128E-27  1.740931E-26
    198  6.666431851744E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.749136E-29  2.721197E-28  4.679831E-27  1.493550E-26
    199  6.714973898932E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.136416E-29  1.940276E-28  3.327736E-27  1.118581E-26
    200  6.763365269933E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.163636E-29  1.657071E-28  2.787942E-27  9.904355E-27
    201  6.810748363549E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.333889E-29  1.932548E-28  3.099047E-27  1.020137E-26
    202  6.886988901479E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.101645E-29  3.593098E-28  5.532125E-27  1.529109E-26
    203  6.932442343830E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.701311E-30  6.598040E-29  1.760387E-27  8.025330E-27
    204  6.977291475786E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.282413E-30  5.523668E-29  1.475170E-27  7.003255E-27
    205  7.051837306122E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.750927E-30  3.761363E-29  1.462013E-27  9.422758E-27
    206  7.120724846930E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.803485E-30  4.635657E-29  9.757777E-28  5.054007E-27
    207  7.185571854523E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.140535E-30  1.973456E-29  8.144665E-28  5.625457E-27
    208  7.250556240022E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.497731E-30  2.196597E-29  7.465543E-28  4.672626E-27
    209  7.308358088908E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.269276E-29  4.671452E-28  3.119583E-27
    210  7.365083251161E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  7.373020E-30  3.092224E-28  2.241308E-27
    211  7.420607479025E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.861939E-30  1.872952E-28  1.493136E-27
    212  7.477269193766E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.085922E-30  1.175059E-28  1.036122E-27
    213  7.532671922740E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.228391E-30  7.813027E-29  7.556726E-28
    214  7.590819975934E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.630641E-29  5.918456E-28
    215  7.648106882397E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  4.326305E-29  4.885532E-28
    216  7.706864365518E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  2.945765E-29  3.594692E-28
    217  7.765097184480E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.928326E-29  2.548319E-28
    218  7.824188421090E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.154368E-29  1.673040E-28
    219  7.883216312169E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  6.659270E-30  1.048257E-28
    220  7.934760137230E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  3.582896E-30  6.075328E-29
    221  7.991019390762E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.808718E-30  3.349861E-29
    222  8.044081450283E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.761251E-29
    223  8.103419684334E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  6.551160E-30
    224  8.158988408622E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  5.059116E-30
    225  8.219791245697E-02  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.131813E-30
