 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                sn119         sn120         sn121         sn122         sn123         sn124         sn125         sn126
    136  5.035511419132E-02  5.962835E-29  2.565412E-28  9.537964E-28  2.480899E-27  4.685945E-27  8.631565E-27  8.578288E-27  8.173842E-27
    137  5.051299755300E-02  5.810631E-29  2.553327E-28  9.668795E-28  2.567312E-27  4.937777E-27  9.285857E-27  9.397449E-27  9.144428E-27
    138  5.067010535678E-02  5.644009E-29  2.534033E-28  9.776301E-28  2.650522E-27  5.189606E-27  9.955917E-27  1.025122E-26  1.017711E-26
    139  5.082726902819E-02  5.498343E-29  2.523710E-28  9.928902E-28  2.749858E-27  5.481970E-27  1.072782E-26  1.123154E-26  1.136087E-26
    140  5.098506829486E-02  5.366593E-29  2.518992E-28  1.010496E-27  2.858920E-27  5.803420E-27  1.158699E-26  1.233891E-26  1.272209E-26
    141  5.114361869269E-02  5.233547E-29  2.513575E-28  1.028090E-27  2.971556E-27  6.142570E-27  1.251428E-26  1.355660E-26  1.425069E-26
    142  5.130328078870E-02  5.105408E-29  2.509826E-28  1.046972E-27  3.092624E-27  6.511797E-27  1.354160E-26  1.492688E-26  1.600257E-26
    143  5.146205644840E-02  4.921655E-29  2.475568E-28  1.052882E-27  3.177599E-27  6.813982E-27  1.446218E-26  1.622061E-26  1.773541E-26
    144  5.162089365231E-02  4.760306E-29  2.453326E-28  1.064714E-27  3.284087E-27  7.171088E-27  1.552710E-26  1.771058E-26  1.973810E-26
    145  5.177902725711E-02  4.579703E-29  2.418141E-28  1.070499E-27  3.375202E-27  7.507054E-27  1.658885E-26  1.924691E-26  2.186374E-26
    146  5.193558292952E-02  4.269254E-29  2.308180E-28  1.042937E-27  3.365160E-27  7.632847E-27  1.723767E-26  2.036445E-26  2.359717E-26
    147  5.207655208218E-02  3.733665E-29  2.064818E-28  9.506300E-28  3.132231E-27  7.230695E-27  1.665063E-26  1.999191E-26  2.358385E-26
    148  5.220437120847E-02  3.293515E-29  1.857032E-28  8.698275E-28  2.922586E-27  6.860218E-27  1.609650E-26  1.963397E-26  2.357491E-26
    149  5.240275279905E-02  4.792631E-29  2.792797E-28  1.345535E-27  4.666007E-27  1.124491E-26  2.716106E-26  3.393364E-26  4.184099E-26
    150  5.258707116153E-02  4.317413E-29  2.568868E-28  1.256076E-27  4.428259E-27  1.083111E-26  2.665485E-26  3.390322E-26  4.279650E-26
    151  5.276353482958E-02  3.957623E-29  2.423046E-28  1.212948E-27  4.389877E-27  1.097182E-26  2.764608E-26  3.584817E-26  4.621952E-26
    152  5.293536770993E-02  3.682913E-29  2.310836E-28  1.183305E-27  4.394819E-27  1.122730E-26  2.899226E-26  3.836820E-26  5.060241E-26
    153  5.310288915571E-02  3.300936E-29  2.128049E-28  1.116939E-27  4.273874E-27  1.120669E-26  2.981995E-26  4.047219E-26  5.489760E-26
    154  5.325369291828E-02  2.841450E-29  1.875834E-28  1.004749E-27  3.932940E-27  1.050853E-26  2.855390E-26  3.943324E-26  5.454517E-26
    155  5.339308966526E-02  2.433076E-29  1.639843E-28  8.927374E-28  3.560816E-27  9.668751E-27  2.676601E-26  3.755853E-26  5.292110E-26
    156  5.362726198018E-02  3.816197E-29  2.677678E-28  1.511532E-27  6.291010E-27  1.769957E-26  5.093784E-26  7.371702E-26  1.072927E-25
    157  5.383816121000E-02  3.340669E-29  2.403531E-28  1.380482E-27  5.846995E-27  1.668611E-26  4.887913E-26  7.197582E-26  1.073551E-25
    158  5.403768730975E-02  2.972889E-29  2.206170E-28  1.299000E-27  5.663403E-27  1.656504E-26  4.992205E-26  7.530212E-26  1.154446E-25
    159  5.422986619970E-02  2.556189E-29  1.961853E-28  1.190567E-27  5.381471E-27  1.623083E-26  5.064610E-26  7.859314E-26  1.242688E-25
    160  5.440569294967E-02  2.217701E-29  1.741110E-28  1.077379E-27  4.984882E-27  1.534061E-26  4.901757E-26  7.763376E-26  1.257349E-25
    161  5.456994612052E-02  1.936530E-29  1.551829E-28  9.765893E-28  4.610116E-27  1.443565E-26  4.709543E-26  7.596468E-26  1.257868E-25
    162  5.485681963417E-02  3.076104E-29  2.557219E-28  1.665107E-27  8.210192E-27  2.672006E-26  9.123477E-26  1.528799E-25  2.641384E-25
    163  5.511708850657E-02  2.595648E-29  2.259324E-28  1.518953E-27  7.732339E-27  2.576725E-26  9.028926E-26  1.546781E-25  2.748872E-25
    164  5.536560227933E-02  2.138224E-29  1.944017E-28  1.356943E-27  7.225961E-27  2.500674E-26  9.149537E-26  1.623991E-25  3.001791E-25
    165  5.559867087093E-02  1.824530E-29  1.721800E-28  1.237751E-27  6.821223E-27  2.428406E-26  9.180424E-26  1.674699E-25  3.195837E-25
    166  5.582344501454E-02  1.618341E-29  1.569251E-28  1.154733E-27  6.551080E-27  2.391994E-26  9.326853E-26  1.748244E-25  3.449067E-25
    167  5.608267729631E-02  1.682217E-29  1.696733E-28  1.288391E-27  7.583112E-27  2.854172E-26  1.153059E-25  2.226913E-25  4.551588E-25
    168  5.632179590432E-02  1.384992E-29  1.451595E-28  1.136485E-27  6.929806E-27  2.683625E-26  1.119710E-25  2.220098E-25  4.675747E-25
    169  5.658568452696E-02  1.382422E-29  1.517131E-28  1.232048E-27  7.843477E-27  3.146895E-26  1.368379E-25  2.808539E-25  6.160734E-25
    170  5.682194908758E-02  1.133875E-29  1.296063E-28  1.088275E-27  7.204874E-27  2.983405E-26  1.344908E-25  2.842579E-25  6.448343E-25
    171  5.707748662895E-02  1.133466E-29  1.349336E-28  1.169605E-27  8.042596E-27  3.435553E-26  1.606420E-25  3.500703E-25  8.233626E-25
    172  5.730159219632E-02  9.804262E-30  1.206987E-28  1.075732E-27  7.650799E-27  3.360166E-26  1.623246E-25  3.634367E-25  8.823092E-25
    173  5.769211250520E-02  1.494646E-29  1.943360E-28  1.812933E-27  1.365545E-26  6.293631E-26  3.220623E-25  7.565146E-25  1.942723E-24
    174  5.804755660481E-02  1.434323E-29  1.992057E-28  1.956033E-27  1.563394E-26  7.546677E-26  4.070071E-25  9.974495E-25  2.691633E-24
    175  5.837706807704E-02  1.588851E-29  2.325890E-28  2.379363E-27  1.997883E-26  1.003863E-25  5.680067E-25  1.448983E-24  4.102438E-24
    176  5.868213309337E-02  1.929310E-29  2.965619E-28  3.153743E-27  2.775753E-26  1.448668E-25  8.573364E-25  2.269544E-24  6.714676E-24
