 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                er192         er193         er194         er195         er196         er197         er198         tm150
     75  1.778618195039E-03  1.022837E-30  1.034630E-30  1.060512E-30  1.015005E-30  1.044400E-30  1.000000E-30  1.000000E-30  1.000000E-30
     76  1.835303663832E-03  1.023566E-30  1.035753E-30  1.062426E-30  1.015475E-30  1.045802E-30  1.000000E-30  1.000000E-30  1.000000E-30
     77  1.892344396716E-03  1.024299E-30  1.036884E-30  1.064352E-30  1.015947E-30  1.047211E-30  1.000000E-30  1.000000E-30  1.000000E-30
     78  1.949739812628E-03  1.025037E-30  1.038023E-30  1.066288E-30  1.016422E-30  1.048629E-30  1.000000E-30  1.000000E-30  1.000000E-30
     79  2.007489276907E-03  1.025780E-30  1.039171E-30  1.068236E-30  1.016899E-30  1.050054E-30  1.000000E-30  1.000000E-30  1.000000E-30
     80  2.065592139419E-03  1.026527E-30  1.040326E-30  1.070195E-30  1.017378E-30  1.051487E-30  1.000000E-30  1.000000E-30  1.000000E-30
     81  2.124047755162E-03  1.027279E-30  1.041490E-30  1.072165E-30  1.017860E-30  1.052928E-30  1.000000E-30  1.000000E-30  1.000000E-30
     82  2.182855495215E-03  1.028035E-30  1.042663E-30  1.074145E-30  1.018344E-30  1.054376E-30  1.000000E-30  1.000000E-30  1.000000E-30
     83  2.242014752368E-03  1.028796E-30  1.043843E-30  1.076137E-30  1.018831E-30  1.055833E-30  1.000000E-30  1.000000E-30  1.000000E-30
     84  2.301524943777E-03  1.029562E-30  1.045032E-30  1.078139E-30  1.019320E-30  1.057297E-30  1.000000E-30  1.000000E-30  1.000000E-30
     85  2.361385511936E-03  1.030332E-30  1.046229E-30  1.080153E-30  1.019811E-30  1.058769E-30  1.000000E-30  1.000000E-30  1.000000E-30
     86  2.421595924701E-03  1.031107E-30  1.047434E-30  1.082177E-30  1.020304E-30  1.060248E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  2.482155674804E-03  1.031887E-30  1.048647E-30  1.084212E-30  1.020800E-30  1.061735E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  2.543064279071E-03  1.032671E-30  1.049869E-30  1.086257E-30  1.021298E-30  1.063230E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  2.604321277494E-03  1.033460E-30  1.051099E-30  1.088313E-30  1.021798E-30  1.064732E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  2.665926232237E-03  1.034254E-30  1.052338E-30  1.090380E-30  1.022300E-30  1.066242E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  2.727878734382E-03  1.035052E-30  1.053584E-30  1.092458E-30  1.022805E-30  1.067760E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  2.790178404165E-03  1.035855E-30  1.054839E-30  1.094546E-30  1.023312E-30  1.069285E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  2.852824875480E-03  1.036662E-30  1.056103E-30  1.096645E-30  1.023821E-30  1.070817E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  2.915817796872E-03  1.037475E-30  1.057374E-30  1.098754E-30  1.024332E-30  1.072357E-30  1.000000E-30  1.000000E-30  1.000000E-30
     95  2.979156831833E-03  1.038292E-30  1.058654E-30  1.100874E-30  1.024846E-30  1.073904E-30  1.000000E-30  1.000000E-30  1.000000E-30
