 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                br95          br96          br97          br98          br99          br100         br101         br102
     77  1.892344396716E-03  1.027181E-30  1.012846E-30  1.028285E-30  1.042804E-30  1.122291E-30  1.000000E-30  1.006338E-30  1.079653E-30
     78  1.949739812628E-03  1.028014E-30  1.013256E-30  1.029181E-30  1.044181E-30  1.126073E-30  1.000000E-30  1.006513E-30  1.081839E-30
     79  2.007489276907E-03  1.028854E-30  1.013669E-30  1.030084E-30  1.045570E-30  1.129881E-30  1.000000E-30  1.006688E-30  1.084027E-30
     80  2.065592139419E-03  1.029699E-30  1.014086E-30  1.030995E-30  1.046973E-30  1.133717E-30  1.000000E-30  1.006864E-30  1.086215E-30
     81  2.124047755162E-03  1.030549E-30  1.014507E-30  1.031914E-30  1.048388E-30  1.137579E-30  1.000000E-30  1.007040E-30  1.088403E-30
     82  2.182855495215E-03  1.031406E-30  1.014931E-30  1.032840E-30  1.049817E-30  1.141468E-30  1.000000E-30  1.007215E-30  1.090592E-30
     83  2.242014752368E-03  1.032268E-30  1.015359E-30  1.033774E-30  1.051259E-30  1.145384E-30  1.000000E-30  1.007391E-30  1.092780E-30
     84  2.301524943777E-03  1.033136E-30  1.015791E-30  1.034716E-30  1.052714E-30  1.149326E-30  1.000000E-30  1.007567E-30  1.094969E-30
     85  2.361385511936E-03  1.034009E-30  1.016226E-30  1.035666E-30  1.054182E-30  1.153296E-30  1.000000E-30  1.007743E-30  1.097157E-30
     86  2.421595924701E-03  1.034888E-30  1.016666E-30  1.036624E-30  1.055664E-30  1.157292E-30  1.000000E-30  1.007919E-30  1.099344E-30
     87  2.482155674804E-03  1.035774E-30  1.017109E-30  1.037590E-30  1.057159E-30  1.161315E-30  1.000000E-30  1.008095E-30  1.101531E-30
     88  2.543064279071E-03  1.036664E-30  1.017556E-30  1.038563E-30  1.058667E-30  1.165364E-30  1.000000E-30  1.008271E-30  1.103717E-30
     89  2.604321277494E-03  1.037561E-30  1.018007E-30  1.039545E-30  1.060188E-30  1.169440E-30  1.000000E-30  1.008447E-30  1.105903E-30
     90  2.665926232237E-03  1.038463E-30  1.018461E-30  1.040534E-30  1.061724E-30  1.173543E-30  1.000000E-30  1.008623E-30  1.108087E-30
     91  2.727878734382E-03  1.039372E-30  1.018920E-30  1.041532E-30  1.063272E-30  1.177672E-30  1.000000E-30  1.008799E-30  1.110269E-30
     92  2.790178404165E-03  1.040286E-30  1.019382E-30  1.042537E-30  1.064834E-30  1.181828E-30  1.000000E-30  1.008975E-30  1.112451E-30
     93  2.852824875480E-03  1.041205E-30  1.019848E-30  1.043550E-30  1.066410E-30  1.186010E-30  1.000000E-30  1.009151E-30  1.114630E-30
     94  2.915817796872E-03  1.042131E-30  1.020318E-30  1.044572E-30  1.068000E-30  1.190219E-30  1.000000E-30  1.009327E-30  1.116808E-30
     95  2.979156831833E-03  1.043062E-30  1.020792E-30  1.045602E-30  1.069603E-30  1.194454E-30  1.000000E-30  1.009503E-30  1.118984E-30
