 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                p24           p25           p26           p27           p28           p29           p30           p31  
     68  1.391852718980E-03  1.000000E-30  1.000000E-30  1.005926E-30  1.058423E-30  1.006235E-30  1.005137E-30  1.000000E-30  1.000376E-30
     69  1.446014888479E-03  1.000000E-30  1.000000E-30  1.006154E-30  1.060693E-30  1.006562E-30  1.005346E-30  1.000000E-30  1.000391E-30
     70  1.500546342624E-03  1.000000E-30  1.000000E-30  1.006384E-30  1.062977E-30  1.006898E-30  1.005556E-30  1.000000E-30  1.000406E-30
     71  1.555442065896E-03  1.000000E-30  1.000000E-30  1.006614E-30  1.065276E-30  1.007242E-30  1.005769E-30  1.000000E-30  1.000421E-30
     72  1.610698967280E-03  1.000000E-30  1.000000E-30  1.006846E-30  1.067590E-30  1.007594E-30  1.005983E-30  1.000000E-30  1.000436E-30
     73  1.666314948699E-03  1.000000E-30  1.000000E-30  1.007080E-30  1.069918E-30  1.007956E-30  1.006200E-30  1.000000E-30  1.000451E-30
     74  1.722288445659E-03  1.000000E-30  1.000000E-30  1.007314E-30  1.072262E-30  1.008327E-30  1.006418E-30  1.000000E-30  1.000466E-30
     75  1.778618195039E-03  1.000000E-30  1.000000E-30  1.007550E-30  1.074620E-30  1.008707E-30  1.006639E-30  1.000000E-30  1.000481E-30
     76  1.835303663832E-03  1.000000E-30  1.000000E-30  1.007787E-30  1.076992E-30  1.009096E-30  1.006862E-30  1.000000E-30  1.000497E-30
     77  1.892344396716E-03  1.000000E-30  1.000000E-30  1.008026E-30  1.079379E-30  1.009494E-30  1.007087E-30  1.000000E-30  1.000512E-30
     78  1.949739812628E-03  1.000000E-30  1.000000E-30  1.008265E-30  1.081780E-30  1.009902E-30  1.007314E-30  1.000000E-30  1.000528E-30
     79  2.007489276907E-03  1.000000E-30  1.000000E-30  1.008506E-30  1.084196E-30  1.010320E-30  1.007543E-30  1.000000E-30  1.000544E-30
     80  2.065592139419E-03  1.000000E-30  1.000000E-30  1.008748E-30  1.086626E-30  1.010747E-30  1.007775E-30  1.000000E-30  1.000559E-30
     81  2.124047755162E-03  1.000000E-30  1.000000E-30  1.008992E-30  1.089071E-30  1.011184E-30  1.008008E-30  1.000000E-30  1.000575E-30
     82  2.182855495215E-03  1.000000E-30  1.000000E-30  1.009237E-30  1.091530E-30  1.011631E-30  1.008244E-30  1.000000E-30  1.000591E-30
     83  2.242014752368E-03  1.000000E-30  1.000000E-30  1.009482E-30  1.094003E-30  1.012088E-30  1.008482E-30  1.000000E-30  1.000607E-30
     84  2.301524943777E-03  1.000000E-30  1.000000E-30  1.009730E-30  1.096490E-30  1.012556E-30  1.008722E-30  1.000000E-30  1.000624E-30
     85  2.361385511936E-03  1.000000E-30  1.000000E-30  1.009978E-30  1.098992E-30  1.013033E-30  1.008964E-30  1.000000E-30  1.000640E-30
     86  2.421595924701E-03  1.000000E-30  1.000000E-30  1.010227E-30  1.101508E-30  1.013522E-30  1.009208E-30  1.000000E-30  1.000656E-30
     87  2.482155674804E-03  1.000000E-30  1.000000E-30  1.010478E-30  1.104038E-30  1.014020E-30  1.009455E-30  1.000000E-30  1.000673E-30
     88  2.543064279071E-03  1.000000E-30  1.000000E-30  1.010730E-30  1.106582E-30  1.014530E-30  1.009704E-30  1.000000E-30  1.000689E-30
     89  2.604321277494E-03  1.000000E-30  1.000000E-30  1.010983E-30  1.109141E-30  1.015050E-30  1.009955E-30  1.000000E-30  1.000706E-30
     90  2.665926232237E-03  1.000000E-30  1.000000E-30  1.011238E-30  1.111713E-30  1.015582E-30  1.010208E-30  1.000000E-30  1.000723E-30
     91  2.727878734382E-03  1.000000E-30  1.000000E-30  1.011493E-30  1.114300E-30  1.016124E-30  1.010463E-30  1.000000E-30  1.000740E-30
     92  2.790178404165E-03  1.000000E-30  1.000000E-30  1.011750E-30  1.116901E-30  1.016678E-30  1.010721E-30  1.000000E-30  1.000757E-30
     93  2.852824875480E-03  1.000000E-30  1.000000E-30  1.012008E-30  1.119515E-30  1.017243E-30  1.010981E-30  1.000000E-30  1.000774E-30
     94  2.915817796872E-03  1.000000E-30  1.000000E-30  1.012267E-30  1.122144E-30  1.017820E-30  1.011244E-30  1.000000E-30  1.000791E-30
     95  2.979156831833E-03  1.000000E-30  1.000000E-30  1.012527E-30  1.124787E-30  1.018408E-30  1.011508E-30  1.000000E-30  1.000808E-30
