 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                xe151         xe152         xe153         xe154         xe155         xe156         xe157         xe158
     80  2.065592139419E-03  1.034557E-30  1.044520E-30  1.066544E-30  1.075575E-30  1.103665E-30  1.108889E-30  1.148286E-30  1.192633E-30
     81  2.124047755162E-03  1.035555E-30  1.045815E-30  1.068447E-30  1.077736E-30  1.106503E-30  1.111822E-30  1.152234E-30  1.197671E-30
     82  2.182855495215E-03  1.036560E-30  1.047119E-30  1.070363E-30  1.079911E-30  1.109353E-30  1.114765E-30  1.156192E-30  1.202717E-30
     83  2.242014752368E-03  1.037573E-30  1.048432E-30  1.072291E-30  1.082100E-30  1.112215E-30  1.117717E-30  1.160160E-30  1.207771E-30
     84  2.301524943777E-03  1.038593E-30  1.049756E-30  1.074231E-30  1.084303E-30  1.115088E-30  1.120679E-30  1.164138E-30  1.212834E-30
     85  2.361385511936E-03  1.039621E-30  1.051089E-30  1.076184E-30  1.086519E-30  1.117973E-30  1.123650E-30  1.168126E-30  1.217903E-30
     86  2.421595924701E-03  1.040655E-30  1.052431E-30  1.078149E-30  1.088750E-30  1.120870E-30  1.126630E-30  1.172124E-30  1.222980E-30
     87  2.482155674804E-03  1.041698E-30  1.053783E-30  1.080127E-30  1.090995E-30  1.123778E-30  1.129619E-30  1.176131E-30  1.228064E-30
     88  2.543064279071E-03  1.042748E-30  1.055145E-30  1.082117E-30  1.093253E-30  1.126697E-30  1.132617E-30  1.180147E-30  1.233155E-30
     89  2.604321277494E-03  1.043805E-30  1.056516E-30  1.084119E-30  1.095525E-30  1.129627E-30  1.135624E-30  1.184172E-30  1.238251E-30
     90  2.665926232237E-03  1.044871E-30  1.057897E-30  1.086134E-30  1.097811E-30  1.132568E-30  1.138639E-30  1.188206E-30  1.243354E-30
     91  2.727878734382E-03  1.045943E-30  1.059288E-30  1.088161E-30  1.100111E-30  1.135521E-30  1.141662E-30  1.192248E-30  1.248462E-30
     92  2.790178404165E-03  1.047024E-30  1.060689E-30  1.090200E-30  1.102424E-30  1.138484E-30  1.144694E-30  1.196299E-30  1.253575E-30
     93  2.852824875480E-03  1.048112E-30  1.062099E-30  1.092251E-30  1.104751E-30  1.141457E-30  1.147734E-30  1.200357E-30  1.258694E-30
     94  2.915817796872E-03  1.049208E-30  1.063519E-30  1.094315E-30  1.107092E-30  1.144442E-30  1.150782E-30  1.204424E-30  1.263816E-30
     95  2.979156831833E-03  1.050312E-30  1.064949E-30  1.096391E-30  1.109447E-30  1.147437E-30  1.153837E-30  1.208498E-30  1.268944E-30
