 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                os222         os223         os224         os225         os226         ir172         ir173         ir174
     61  1.029744313280E-03  1.011738E-30  1.034567E-30  1.032379E-30  1.030847E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     62  1.076805333108E-03  1.012264E-30  1.036119E-30  1.033822E-30  1.032212E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     63  1.127478238084E-03  1.012831E-30  1.037788E-30  1.035373E-30  1.033678E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     64  1.179263354774E-03  1.013408E-30  1.039491E-30  1.036954E-30  1.035171E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     65  1.231720185468E-03  1.013992E-30  1.041213E-30  1.038552E-30  1.036679E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     66  1.284679788904E-03  1.014581E-30  1.042949E-30  1.040161E-30  1.038196E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     67  1.338068714676E-03  1.015173E-30  1.044695E-30  1.041779E-30  1.039721E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     68  1.391852718980E-03  1.015769E-30  1.046452E-30  1.043405E-30  1.041252E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     69  1.446014888479E-03  1.016367E-30  1.048217E-30  1.045038E-30  1.042789E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     70  1.500546342624E-03  1.016969E-30  1.049992E-30  1.046678E-30  1.044332E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     71  1.555442065896E-03  1.017574E-30  1.051775E-30  1.048325E-30  1.045880E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     72  1.610698967280E-03  1.018181E-30  1.053567E-30  1.049979E-30  1.047433E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     73  1.666314948699E-03  1.018791E-30  1.055367E-30  1.051639E-30  1.048991E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     74  1.722288445659E-03  1.019404E-30  1.057176E-30  1.053306E-30  1.050553E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     75  1.778618195039E-03  1.020020E-30  1.058993E-30  1.054979E-30  1.052121E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     76  1.835303663832E-03  1.020638E-30  1.060818E-30  1.056658E-30  1.053693E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     77  1.892344396716E-03  1.021259E-30  1.062651E-30  1.058343E-30  1.055269E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     78  1.949739812628E-03  1.021883E-30  1.064492E-30  1.060035E-30  1.056850E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     79  2.007489276907E-03  1.022509E-30  1.066341E-30  1.061732E-30  1.058435E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     80  2.065592139419E-03  1.023138E-30  1.068197E-30  1.063435E-30  1.060024E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     81  2.124047755162E-03  1.023770E-30  1.070062E-30  1.065143E-30  1.061618E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     82  2.182855495215E-03  1.024404E-30  1.071934E-30  1.066858E-30  1.063215E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     83  2.242014752368E-03  1.025041E-30  1.073814E-30  1.068578E-30  1.064817E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     84  2.301524943777E-03  1.025680E-30  1.075701E-30  1.070303E-30  1.066422E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     85  2.361385511936E-03  1.026321E-30  1.077596E-30  1.072034E-30  1.068031E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     86  2.421595924701E-03  1.026965E-30  1.079498E-30  1.073770E-30  1.069643E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  2.482155674804E-03  1.027611E-30  1.081408E-30  1.075511E-30  1.071259E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  2.543064279071E-03  1.028260E-30  1.083324E-30  1.077257E-30  1.072879E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  2.604321277494E-03  1.028911E-30  1.085248E-30  1.079009E-30  1.074502E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  2.665926232237E-03  1.029565E-30  1.087179E-30  1.080765E-30  1.076128E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  2.727878734382E-03  1.030220E-30  1.089117E-30  1.082527E-30  1.077757E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  2.790178404165E-03  1.030878E-30  1.091062E-30  1.084293E-30  1.079390E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  2.852824875480E-03  1.031539E-30  1.093014E-30  1.086063E-30  1.081025E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  2.915817796872E-03  1.032201E-30  1.094973E-30  1.087839E-30  1.082663E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
