 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ru124         ru125         ru126         ru127         ru128         rh89          rh90          rh91 
     78  1.949739812628E-03  1.051006E-30  1.132583E-30  1.133258E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.025763E-30
     79  2.007489276907E-03  1.052578E-30  1.136491E-30  1.137125E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.026526E-30
     80  2.065592139419E-03  1.054163E-30  1.140422E-30  1.141011E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.027293E-30
     81  2.124047755162E-03  1.055762E-30  1.144375E-30  1.144917E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.028066E-30
     82  2.182855495215E-03  1.057375E-30  1.148351E-30  1.148841E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.028843E-30
     83  2.242014752368E-03  1.059002E-30  1.152350E-30  1.152784E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.029625E-30
     84  2.301524943777E-03  1.060643E-30  1.156371E-30  1.156745E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.030411E-30
     85  2.361385511936E-03  1.062299E-30  1.160415E-30  1.160725E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.031202E-30
     86  2.421595924701E-03  1.063968E-30  1.164481E-30  1.164724E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.031997E-30
     87  2.482155674804E-03  1.065652E-30  1.168569E-30  1.168741E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.032798E-30
     88  2.543064279071E-03  1.067351E-30  1.172680E-30  1.172776E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.033602E-30
     89  2.604321277494E-03  1.069064E-30  1.176813E-30  1.176829E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.034412E-30
     90  2.665926232237E-03  1.070792E-30  1.180968E-30  1.180899E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.035226E-30
     91  2.727878734382E-03  1.072535E-30  1.185145E-30  1.184988E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.036044E-30
     92  2.790178404165E-03  1.074292E-30  1.189345E-30  1.189095E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.036868E-30
     93  2.852824875480E-03  1.076065E-30  1.193566E-30  1.193219E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.037695E-30
     94  2.915817796872E-03  1.077853E-30  1.197809E-30  1.197361E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.038528E-30
     95  2.979156831833E-03  1.079657E-30  1.202075E-30  1.201520E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.039365E-30
