 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ti62          ti63          ti64          ti65          ti66          ti67          v40           v41  
     77  1.892344396716E-03  1.323995E-30  1.332377E-30  1.497778E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     78  1.949739812628E-03  1.333452E-30  1.341957E-30  1.512165E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     79  2.007489276907E-03  1.342945E-30  1.351566E-30  1.526600E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     80  2.065592139419E-03  1.352475E-30  1.361205E-30  1.541082E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     81  2.124047755162E-03  1.362040E-30  1.370874E-30  1.555611E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     82  2.182855495215E-03  1.371641E-30  1.380571E-30  1.570185E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     83  2.242014752368E-03  1.381278E-30  1.390296E-30  1.584804E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     84  2.301524943777E-03  1.390949E-30  1.400049E-30  1.599466E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     85  2.361385511936E-03  1.400654E-30  1.409829E-30  1.614172E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     86  2.421595924701E-03  1.410393E-30  1.419635E-30  1.628921E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  2.482155674804E-03  1.420165E-30  1.429468E-30  1.643711E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  2.543064279071E-03  1.429970E-30  1.439326E-30  1.658542E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  2.604321277494E-03  1.439808E-30  1.449209E-30  1.673413E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  2.665926232237E-03  1.449678E-30  1.459116E-30  1.688323E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  2.727878734382E-03  1.459579E-30  1.469047E-30  1.703273E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  2.790178404165E-03  1.469512E-30  1.479002E-30  1.718260E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  2.852824875480E-03  1.479476E-30  1.488979E-30  1.733285E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  2.915817796872E-03  1.489470E-30  1.498980E-30  1.748346E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     95  2.979156831833E-03  1.499494E-30  1.509002E-30  1.763443E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
