 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                mo118         mo119         mo120         mo121         mo122         mo123         mo124         mo125
     78  1.949739812628E-03  1.078556E-30  1.113199E-30  1.108426E-30  1.151974E-30  1.037754E-30  1.235104E-30  1.237966E-30  1.000000E-30
     79  2.007489276907E-03  1.080906E-30  1.116540E-30  1.111609E-30  1.156336E-30  1.039141E-30  1.241921E-30  1.244561E-30  1.000000E-30
     80  2.065592139419E-03  1.083272E-30  1.119902E-30  1.114810E-30  1.160716E-30  1.040551E-30  1.248770E-30  1.251171E-30  1.000000E-30
     81  2.124047755162E-03  1.085655E-30  1.123286E-30  1.118028E-30  1.165115E-30  1.041985E-30  1.255653E-30  1.257795E-30  1.000000E-30
     82  2.182855495215E-03  1.088055E-30  1.126692E-30  1.121263E-30  1.169532E-30  1.043442E-30  1.262569E-30  1.264435E-30  1.000000E-30
     83  2.242014752368E-03  1.090471E-30  1.130119E-30  1.124516E-30  1.173968E-30  1.044922E-30  1.269517E-30  1.271088E-30  1.000000E-30
     84  2.301524943777E-03  1.092905E-30  1.133568E-30  1.127787E-30  1.178421E-30  1.046426E-30  1.276498E-30  1.277754E-30  1.000000E-30
     85  2.361385511936E-03  1.095355E-30  1.137039E-30  1.131074E-30  1.182893E-30  1.047954E-30  1.283511E-30  1.284434E-30  1.000000E-30
     86  2.421595924701E-03  1.097823E-30  1.140532E-30  1.134378E-30  1.187382E-30  1.049505E-30  1.290556E-30  1.291126E-30  1.000000E-30
     87  2.482155674804E-03  1.100308E-30  1.144047E-30  1.137700E-30  1.191888E-30  1.051081E-30  1.297633E-30  1.297830E-30  1.000000E-30
     88  2.543064279071E-03  1.102810E-30  1.147584E-30  1.141039E-30  1.196412E-30  1.052680E-30  1.304741E-30  1.304547E-30  1.000000E-30
     89  2.604321277494E-03  1.105330E-30  1.151144E-30  1.144394E-30  1.200954E-30  1.054304E-30  1.311881E-30  1.311274E-30  1.000000E-30
     90  2.665926232237E-03  1.107867E-30  1.154727E-30  1.147766E-30  1.205512E-30  1.055953E-30  1.319052E-30  1.318013E-30  1.000000E-30
     91  2.727878734382E-03  1.110422E-30  1.158332E-30  1.151155E-30  1.210087E-30  1.057626E-30  1.326254E-30  1.324762E-30  1.000000E-30
     92  2.790178404165E-03  1.112995E-30  1.161960E-30  1.154561E-30  1.214679E-30  1.059323E-30  1.333487E-30  1.331522E-30  1.000000E-30
     93  2.852824875480E-03  1.115586E-30  1.165611E-30  1.157983E-30  1.219287E-30  1.061046E-30  1.340750E-30  1.338291E-30  1.000000E-30
     94  2.915817796872E-03  1.118195E-30  1.169285E-30  1.161422E-30  1.223912E-30  1.062793E-30  1.348044E-30  1.345070E-30  1.000000E-30
     95  2.979156831833E-03  1.120821E-30  1.172983E-30  1.164877E-30  1.228553E-30  1.064566E-30  1.355368E-30  1.351858E-30  1.000000E-30
