 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                tb187         tb188         tb189         tb190         tb191         tb192         dy143         dy144
     70  1.500546342624E-03  1.007427E-30  1.004891E-30  1.026982E-30  1.020845E-30  1.062140E-30  1.000000E-30  1.000000E-30  1.000000E-30
     71  1.555442065896E-03  1.007730E-30  1.005084E-30  1.027996E-30  1.021690E-30  1.064337E-30  1.000000E-30  1.000000E-30  1.000000E-30
     72  1.610698967280E-03  1.008037E-30  1.005281E-30  1.029018E-30  1.022546E-30  1.066543E-30  1.000000E-30  1.000000E-30  1.000000E-30
     73  1.666314948699E-03  1.008348E-30  1.005479E-30  1.030049E-30  1.023414E-30  1.068758E-30  1.000000E-30  1.000000E-30  1.000000E-30
     74  1.722288445659E-03  1.008663E-30  1.005680E-30  1.031088E-30  1.024293E-30  1.070982E-30  1.000000E-30  1.000000E-30  1.000000E-30
     75  1.778618195039E-03  1.008983E-30  1.005884E-30  1.032136E-30  1.025183E-30  1.073214E-30  1.000000E-30  1.000000E-30  1.000000E-30
     76  1.835303663832E-03  1.009307E-30  1.006090E-30  1.033192E-30  1.026084E-30  1.075455E-30  1.000000E-30  1.000000E-30  1.000000E-30
     77  1.892344396716E-03  1.009635E-30  1.006298E-30  1.034256E-30  1.026997E-30  1.077705E-30  1.000000E-30  1.000000E-30  1.000000E-30
     78  1.949739812628E-03  1.009968E-30  1.006510E-30  1.035330E-30  1.027922E-30  1.079962E-30  1.000000E-30  1.000000E-30  1.000000E-30
     79  2.007489276907E-03  1.010305E-30  1.006724E-30  1.036411E-30  1.028858E-30  1.082228E-30  1.000000E-30  1.000000E-30  1.000000E-30
     80  2.065592139419E-03  1.010646E-30  1.006941E-30  1.037502E-30  1.029805E-30  1.084503E-30  1.000000E-30  1.000000E-30  1.000000E-30
     81  2.124047755162E-03  1.010992E-30  1.007160E-30  1.038600E-30  1.030765E-30  1.086785E-30  1.000000E-30  1.000000E-30  1.000000E-30
     82  2.182855495215E-03  1.011343E-30  1.007382E-30  1.039708E-30  1.031736E-30  1.089075E-30  1.000000E-30  1.000000E-30  1.000000E-30
     83  2.242014752368E-03  1.011698E-30  1.007607E-30  1.040824E-30  1.032719E-30  1.091372E-30  1.000000E-30  1.000000E-30  1.000000E-30
     84  2.301524943777E-03  1.012058E-30  1.007835E-30  1.041948E-30  1.033713E-30  1.093678E-30  1.000000E-30  1.000000E-30  1.000000E-30
     85  2.361385511936E-03  1.012422E-30  1.008066E-30  1.043082E-30  1.034720E-30  1.095991E-30  1.000000E-30  1.000000E-30  1.000000E-30
     86  2.421595924701E-03  1.012791E-30  1.008300E-30  1.044223E-30  1.035739E-30  1.098311E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  2.482155674804E-03  1.013165E-30  1.008537E-30  1.045374E-30  1.036769E-30  1.100638E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  2.543064279071E-03  1.013543E-30  1.008777E-30  1.046533E-30  1.037812E-30  1.102973E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  2.604321277494E-03  1.013927E-30  1.009019E-30  1.047701E-30  1.038867E-30  1.105315E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  2.665926232237E-03  1.014315E-30  1.009265E-30  1.048878E-30  1.039935E-30  1.107664E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  2.727878734382E-03  1.014708E-30  1.009514E-30  1.050063E-30  1.041014E-30  1.110020E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  2.790178404165E-03  1.015106E-30  1.009767E-30  1.051257E-30  1.042106E-30  1.112382E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  2.852824875480E-03  1.015509E-30  1.010022E-30  1.052460E-30  1.043210E-30  1.114751E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  2.915817796872E-03  1.015916E-30  1.010281E-30  1.053671E-30  1.044327E-30  1.117127E-30  1.000000E-30  1.000000E-30  1.000000E-30
     95  2.979156831833E-03  1.016329E-30  1.010543E-30  1.054891E-30  1.045456E-30  1.119509E-30  1.000000E-30  1.000000E-30  1.000000E-30
