 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                cr75          mn44          mn45          mn46          mn47          mn48          mn49          mn50 
     55  8.164066374138E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.011554E-30  1.020242E-30  1.009450E-30  1.006617E-30  1.001667E-30
     56  8.482679080764E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.012001E-30  1.021030E-30  1.009826E-30  1.006876E-30  1.001732E-30
     57  8.811699017317E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.012463E-30  1.021843E-30  1.010214E-30  1.007143E-30  1.001800E-30
     58  9.153304977871E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.012941E-30  1.022687E-30  1.010618E-30  1.007421E-30  1.001871E-30
     59  9.510634923056E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.013442E-30  1.023570E-30  1.011041E-30  1.007711E-30  1.001944E-30
     60  9.888739022907E-04  1.000000E-30  1.000000E-30  1.000000E-30  1.013971E-30  1.024504E-30  1.011490E-30  1.008019E-30  1.002023E-30
     61  1.029744313280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.014542E-30  1.025513E-30  1.011975E-30  1.008351E-30  1.002107E-30
     62  1.076805333108E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.015199E-30  1.026674E-30  1.012535E-30  1.008734E-30  1.002205E-30
     63  1.127478238084E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.015906E-30  1.027925E-30  1.013140E-30  1.009146E-30  1.002310E-30
     64  1.179263354774E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.016628E-30  1.029202E-30  1.013758E-30  1.009568E-30  1.002417E-30
     65  1.231720185468E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.017359E-30  1.030495E-30  1.014387E-30  1.009995E-30  1.002526E-30
     66  1.284679788904E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.018095E-30  1.031801E-30  1.015023E-30  1.010426E-30  1.002636E-30
     67  1.338068714676E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.018837E-30  1.033116E-30  1.015665E-30  1.010861E-30  1.002748E-30
     68  1.391852718980E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.019584E-30  1.034441E-30  1.016313E-30  1.011299E-30  1.002860E-30
     69  1.446014888479E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.020334E-30  1.035775E-30  1.016968E-30  1.011740E-30  1.002973E-30
     70  1.500546342624E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.021090E-30  1.037117E-30  1.017628E-30  1.012185E-30  1.003087E-30
     71  1.555442065896E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.021849E-30  1.038467E-30  1.018295E-30  1.012632E-30  1.003202E-30
     72  1.610698967280E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.022612E-30  1.039826E-30  1.018967E-30  1.013083E-30  1.003318E-30
     73  1.666314948699E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.023380E-30  1.041193E-30  1.019645E-30  1.013537E-30  1.003435E-30
     74  1.722288445659E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.024152E-30  1.042569E-30  1.020329E-30  1.013993E-30  1.003552E-30
     75  1.778618195039E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.024927E-30  1.043953E-30  1.021019E-30  1.014453E-30  1.003671E-30
     76  1.835303663832E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.025707E-30  1.045344E-30  1.021715E-30  1.014916E-30  1.003790E-30
     77  1.892344396716E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.026491E-30  1.046745E-30  1.022417E-30  1.015382E-30  1.003911E-30
     78  1.949739812628E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.027278E-30  1.048153E-30  1.023125E-30  1.015851E-30  1.004032E-30
     79  2.007489276907E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.028070E-30  1.049569E-30  1.023839E-30  1.016323E-30  1.004154E-30
     80  2.065592139419E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.028865E-30  1.050994E-30  1.024559E-30  1.016798E-30  1.004277E-30
     81  2.124047755162E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.029665E-30  1.052426E-30  1.025285E-30  1.017276E-30  1.004401E-30
     82  2.182855495215E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.030468E-30  1.053867E-30  1.026017E-30  1.017757E-30  1.004526E-30
     83  2.242014752368E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.031275E-30  1.055315E-30  1.026755E-30  1.018241E-30  1.004652E-30
     84  2.301524943777E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.032086E-30  1.056772E-30  1.027499E-30  1.018728E-30  1.004779E-30
     85  2.361385511936E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.032900E-30  1.058236E-30  1.028250E-30  1.019218E-30  1.004906E-30
     86  2.421595924701E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.033719E-30  1.059709E-30  1.029006E-30  1.019712E-30  1.005035E-30
     87  2.482155674804E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.034541E-30  1.061189E-30  1.029769E-30  1.020208E-30  1.005164E-30
     88  2.543064279071E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.035367E-30  1.062677E-30  1.030538E-30  1.020707E-30  1.005295E-30
     89  2.604321277494E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.036196E-30  1.064174E-30  1.031313E-30  1.021209E-30  1.005426E-30
     90  2.665926232237E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.037029E-30  1.065678E-30  1.032094E-30  1.021714E-30  1.005558E-30
     91  2.727878734382E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.037866E-30  1.067189E-30  1.032882E-30  1.022222E-30  1.005692E-30
     92  2.790178404165E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.038706E-30  1.068709E-30  1.033676E-30  1.022734E-30  1.005826E-30
     93  2.852824875480E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.039550E-30  1.070237E-30  1.034476E-30  1.023248E-30  1.005961E-30
     94  2.915817796872E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.040398E-30  1.071772E-30  1.035283E-30  1.023765E-30  1.006097E-30
     95  2.979156831833E-03  1.000000E-30  1.000000E-30  1.000000E-30  1.041249E-30  1.073315E-30  1.036096E-30  1.024285E-30  1.006234E-30
