 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                sr103         sr104         sr105         sr106         sr107         sr108         sr109         sr110
     81  2.124047755162E-03  1.041937E-30  1.088468E-30  1.096605E-30  1.110617E-30  1.142329E-30  1.139996E-30  1.154324E-30  1.144307E-30
     82  2.182855495215E-03  1.043086E-30  1.090907E-30  1.099290E-30  1.113663E-30  1.146239E-30  1.144003E-30  1.158440E-30  1.148092E-30
     83  2.242014752368E-03  1.044242E-30  1.093361E-30  1.101992E-30  1.116727E-30  1.150170E-30  1.148039E-30  1.162572E-30  1.151889E-30
     84  2.301524943777E-03  1.045404E-30  1.095829E-30  1.104712E-30  1.119808E-30  1.154123E-30  1.152106E-30  1.166720E-30  1.155697E-30
     85  2.361385511936E-03  1.046572E-30  1.098311E-30  1.107450E-30  1.122906E-30  1.158097E-30  1.156203E-30  1.170884E-30  1.159516E-30
     86  2.421595924701E-03  1.047748E-30  1.100808E-30  1.110205E-30  1.126021E-30  1.162093E-30  1.160329E-30  1.175064E-30  1.163346E-30
     87  2.482155674804E-03  1.048929E-30  1.103320E-30  1.112978E-30  1.129153E-30  1.166109E-30  1.164486E-30  1.179260E-30  1.167187E-30
     88  2.543064279071E-03  1.050118E-30  1.105847E-30  1.115769E-30  1.132302E-30  1.170147E-30  1.168672E-30  1.183470E-30  1.171038E-30
     89  2.604321277494E-03  1.051313E-30  1.108389E-30  1.118577E-30  1.135468E-30  1.174206E-30  1.172889E-30  1.187697E-30  1.174900E-30
     90  2.665926232237E-03  1.052515E-30  1.110945E-30  1.121404E-30  1.138651E-30  1.178286E-30  1.177135E-30  1.191938E-30  1.178772E-30
     91  2.727878734382E-03  1.053723E-30  1.113516E-30  1.124249E-30  1.141851E-30  1.182387E-30  1.181411E-30  1.196194E-30  1.182654E-30
     92  2.790178404165E-03  1.054938E-30  1.116102E-30  1.127112E-30  1.145067E-30  1.186508E-30  1.185717E-30  1.200465E-30  1.186546E-30
     93  2.852824875480E-03  1.056160E-30  1.118703E-30  1.129993E-30  1.148301E-30  1.190651E-30  1.190053E-30  1.204751E-30  1.190448E-30
     94  2.915817796872E-03  1.057389E-30  1.121319E-30  1.132892E-30  1.151551E-30  1.194814E-30  1.194418E-30  1.209051E-30  1.194359E-30
     95  2.979156831833E-03  1.058624E-30  1.123950E-30  1.135810E-30  1.154817E-30  1.198997E-30  1.198814E-30  1.213366E-30  1.198279E-30
