 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                sm174         sm175         sm176         sm177         sm178         sm179         sm180         sm181
     76  1.835303663832E-03  1.034606E-30  1.047709E-30  1.056770E-30  1.063579E-30  1.107406E-30  1.038038E-30  1.081495E-30  1.000486E-30
     77  1.892344396716E-03  1.035680E-30  1.049188E-30  1.058537E-30  1.065614E-30  1.110680E-30  1.039164E-30  1.083927E-30  1.000500E-30
     78  1.949739812628E-03  1.036760E-30  1.050677E-30  1.060314E-30  1.067664E-30  1.113970E-30  1.040293E-30  1.086368E-30  1.000515E-30
     79  2.007489276907E-03  1.037847E-30  1.052175E-30  1.062103E-30  1.069731E-30  1.117278E-30  1.041427E-30  1.088819E-30  1.000529E-30
     80  2.065592139419E-03  1.038941E-30  1.053682E-30  1.063904E-30  1.071815E-30  1.120603E-30  1.042563E-30  1.091278E-30  1.000543E-30
     81  2.124047755162E-03  1.040041E-30  1.055199E-30  1.065715E-30  1.073915E-30  1.123944E-30  1.043704E-30  1.093746E-30  1.000557E-30
     82  2.182855495215E-03  1.041148E-30  1.056724E-30  1.067539E-30  1.076031E-30  1.127303E-30  1.044847E-30  1.096223E-30  1.000572E-30
     83  2.242014752368E-03  1.042262E-30  1.058259E-30  1.069373E-30  1.078163E-30  1.130678E-30  1.045994E-30  1.098709E-30  1.000586E-30
     84  2.301524943777E-03  1.043382E-30  1.059802E-30  1.071219E-30  1.080312E-30  1.134070E-30  1.047145E-30  1.101202E-30  1.000600E-30
     85  2.361385511936E-03  1.044508E-30  1.061355E-30  1.073076E-30  1.082478E-30  1.137479E-30  1.048298E-30  1.103704E-30  1.000615E-30
     86  2.421595924701E-03  1.045642E-30  1.062917E-30  1.074945E-30  1.084660E-30  1.140905E-30  1.049455E-30  1.106215E-30  1.000629E-30
     87  2.482155674804E-03  1.046782E-30  1.064488E-30  1.076825E-30  1.086858E-30  1.144348E-30  1.050615E-30  1.108733E-30  1.000644E-30
     88  2.543064279071E-03  1.047928E-30  1.066068E-30  1.078716E-30  1.089074E-30  1.147807E-30  1.051778E-30  1.111260E-30  1.000658E-30
     89  2.604321277494E-03  1.049081E-30  1.067657E-30  1.080619E-30  1.091306E-30  1.151282E-30  1.052943E-30  1.113794E-30  1.000673E-30
     90  2.665926232237E-03  1.050241E-30  1.069256E-30  1.082533E-30  1.093554E-30  1.154775E-30  1.054112E-30  1.116336E-30  1.000687E-30
     91  2.727878734382E-03  1.051407E-30  1.070863E-30  1.084459E-30  1.095820E-30  1.158284E-30  1.055284E-30  1.118886E-30  1.000702E-30
     92  2.790178404165E-03  1.052580E-30  1.072480E-30  1.086397E-30  1.098102E-30  1.161810E-30  1.056459E-30  1.121443E-30  1.000716E-30
     93  2.852824875480E-03  1.053759E-30  1.074106E-30  1.088346E-30  1.100402E-30  1.165352E-30  1.057636E-30  1.124007E-30  1.000731E-30
     94  2.915817796872E-03  1.054945E-30  1.075741E-30  1.090306E-30  1.102718E-30  1.168911E-30  1.058816E-30  1.126579E-30  1.000745E-30
     95  2.979156831833E-03  1.056138E-30  1.077385E-30  1.092278E-30  1.105051E-30  1.172486E-30  1.059999E-30  1.129158E-30  1.000760E-30
