 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                tl219         tl220         tl221         tl222         tl223         tl224         tl225         tl226
     78  1.949739812628E-03  1.010573E-30  1.003060E-30  1.002661E-30  1.006306E-30  1.007634E-30  1.004268E-30  1.006071E-30  1.008874E-30
     79  2.007489276907E-03  1.010886E-30  1.003151E-30  1.002741E-30  1.006494E-30  1.007861E-30  1.004396E-30  1.006253E-30  1.009139E-30
     80  2.065592139419E-03  1.011200E-30  1.003242E-30  1.002820E-30  1.006683E-30  1.008089E-30  1.004524E-30  1.006436E-30  1.009406E-30
     81  2.124047755162E-03  1.011517E-30  1.003334E-30  1.002901E-30  1.006873E-30  1.008319E-30  1.004654E-30  1.006621E-30  1.009675E-30
     82  2.182855495215E-03  1.011836E-30  1.003426E-30  1.002982E-30  1.007064E-30  1.008550E-30  1.004784E-30  1.006806E-30  1.009945E-30
     83  2.242014752368E-03  1.012156E-30  1.003518E-30  1.003063E-30  1.007257E-30  1.008782E-30  1.004916E-30  1.006993E-30  1.010218E-30
     84  2.301524943777E-03  1.012478E-30  1.003612E-30  1.003145E-30  1.007451E-30  1.009016E-30  1.005048E-30  1.007182E-30  1.010492E-30
     85  2.361385511936E-03  1.012803E-30  1.003705E-30  1.003228E-30  1.007646E-30  1.009251E-30  1.005181E-30  1.007371E-30  1.010768E-30
     86  2.421595924701E-03  1.013129E-30  1.003800E-30  1.003311E-30  1.007842E-30  1.009488E-30  1.005315E-30  1.007562E-30  1.011046E-30
     87  2.482155674804E-03  1.013457E-30  1.003895E-30  1.003394E-30  1.008040E-30  1.009726E-30  1.005450E-30  1.007753E-30  1.011325E-30
     88  2.543064279071E-03  1.013787E-30  1.003990E-30  1.003479E-30  1.008238E-30  1.009966E-30  1.005586E-30  1.007947E-30  1.011607E-30
     89  2.604321277494E-03  1.014118E-30  1.004086E-30  1.003563E-30  1.008438E-30  1.010206E-30  1.005722E-30  1.008141E-30  1.011890E-30
     90  2.665926232237E-03  1.014452E-30  1.004183E-30  1.003648E-30  1.008639E-30  1.010449E-30  1.005860E-30  1.008337E-30  1.012174E-30
     91  2.727878734382E-03  1.014787E-30  1.004280E-30  1.003734E-30  1.008842E-30  1.010693E-30  1.005998E-30  1.008533E-30  1.012461E-30
     92  2.790178404165E-03  1.015125E-30  1.004377E-30  1.003820E-30  1.009045E-30  1.010938E-30  1.006138E-30  1.008732E-30  1.012749E-30
     93  2.852824875480E-03  1.015464E-30  1.004475E-30  1.003907E-30  1.009250E-30  1.011184E-30  1.006278E-30  1.008931E-30  1.013040E-30
     94  2.915817796872E-03  1.015805E-30  1.004574E-30  1.003994E-30  1.009456E-30  1.011432E-30  1.006419E-30  1.009131E-30  1.013331E-30
