 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                ca49          ca50          ca51          ca52          ca53          ca54          ca55          ca56 
     84  2.301524943777E-03  1.001278E-30  1.003324E-30  1.004352E-30  1.015935E-30  1.047567E-30  1.001002E-30  1.291591E-30  1.293404E-30
     85  2.361385511936E-03  1.001311E-30  1.003413E-30  1.004469E-30  1.016378E-30  1.049120E-30  1.001014E-30  1.298653E-30  1.300428E-30
     86  2.421595924701E-03  1.001345E-30  1.003501E-30  1.004587E-30  1.016825E-30  1.050697E-30  1.001025E-30  1.305730E-30  1.307464E-30
     87  2.482155674804E-03  1.001379E-30  1.003591E-30  1.004706E-30  1.017277E-30  1.052299E-30  1.001036E-30  1.312824E-30  1.314511E-30
     88  2.543064279071E-03  1.001414E-30  1.003681E-30  1.004826E-30  1.017733E-30  1.053927E-30  1.001047E-30  1.319932E-30  1.321569E-30
     89  2.604321277494E-03  1.001448E-30  1.003771E-30  1.004947E-30  1.018192E-30  1.055580E-30  1.001057E-30  1.327055E-30  1.328637E-30
     90  2.665926232237E-03  1.001483E-30  1.003863E-30  1.005068E-30  1.018656E-30  1.057259E-30  1.001067E-30  1.334192E-30  1.335716E-30
     91  2.727878734382E-03  1.001518E-30  1.003955E-30  1.005191E-30  1.019124E-30  1.058964E-30  1.001076E-30  1.341343E-30  1.342803E-30
     92  2.790178404165E-03  1.001553E-30  1.004047E-30  1.005314E-30  1.019596E-30  1.060695E-30  1.001086E-30  1.348507E-30  1.349900E-30
     93  2.852824875480E-03  1.001588E-30  1.004140E-30  1.005439E-30  1.020073E-30  1.062452E-30  1.001095E-30  1.355684E-30  1.357006E-30
     94  2.915817796872E-03  1.001624E-30  1.004234E-30  1.005564E-30  1.020553E-30  1.064236E-30  1.001103E-30  1.362875E-30  1.364119E-30
     95  2.979156831833E-03  1.001660E-30  1.004328E-30  1.005690E-30  1.021038E-30  1.066047E-30  1.001111E-30  1.370077E-30  1.371241E-30
