 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                pm171         pm172         pm173         pm174         pm175         pm176         pm177         pm178
     59  9.510634923056E-04  1.011107E-30  1.000871E-30  1.000000E-30  1.004694E-30  1.004703E-30  1.007903E-30  1.031282E-30  1.000446E-30
     60  9.888739022907E-04  1.011560E-30  1.000914E-30  1.000000E-30  1.004899E-30  1.004919E-30  1.008266E-30  1.032535E-30  1.000516E-30
     61  1.029744313280E-03  1.012050E-30  1.000961E-30  1.000000E-30  1.005122E-30  1.005156E-30  1.008663E-30  1.033890E-30  1.000597E-30
     62  1.076805333108E-03  1.012617E-30  1.001016E-30  1.000000E-30  1.005382E-30  1.005431E-30  1.009125E-30  1.035451E-30  1.000699E-30
     63  1.127478238084E-03  1.013228E-30  1.001077E-30  1.000000E-30  1.005663E-30  1.005731E-30  1.009629E-30  1.037133E-30  1.000816E-30
     64  1.179263354774E-03  1.013854E-30  1.001140E-30  1.000000E-30  1.005954E-30  1.006042E-30  1.010150E-30  1.038853E-30  1.000945E-30
     65  1.231720185468E-03  1.014489E-30  1.001205E-30  1.000002E-30  1.006251E-30  1.006362E-30  1.010685E-30  1.040596E-30  1.001085E-30
     66  1.284679788904E-03  1.015133E-30  1.001272E-30  1.000006E-30  1.006554E-30  1.006689E-30  1.011232E-30  1.042357E-30  1.001236E-30
     67  1.338068714676E-03  1.015783E-30  1.001341E-30  1.000013E-30  1.006862E-30  1.007023E-30  1.011790E-30  1.044133E-30  1.001397E-30
     68  1.391852718980E-03  1.016440E-30  1.001412E-30  1.000021E-30  1.007175E-30  1.007364E-30  1.012360E-30  1.045924E-30  1.001569E-30
     69  1.446014888479E-03  1.017103E-30  1.001484E-30  1.000033E-30  1.007494E-30  1.007712E-30  1.012941E-30  1.047728E-30  1.001751E-30
     70  1.500546342624E-03  1.017773E-30  1.001558E-30  1.000047E-30  1.007817E-30  1.008067E-30  1.013533E-30  1.049546E-30  1.001945E-30
     71  1.555442065896E-03  1.018449E-30  1.001635E-30  1.000063E-30  1.008146E-30  1.008430E-30  1.014136E-30  1.051376E-30  1.002149E-30
     72  1.610698967280E-03  1.019131E-30  1.001713E-30  1.000082E-30  1.008480E-30  1.008800E-30  1.014750E-30  1.053220E-30  1.002364E-30
     73  1.666314948699E-03  1.019819E-30  1.001793E-30  1.000104E-30  1.008819E-30  1.009177E-30  1.015375E-30  1.055076E-30  1.002590E-30
     74  1.722288445659E-03  1.020514E-30  1.001875E-30  1.000128E-30  1.009164E-30  1.009562E-30  1.016012E-30  1.056946E-30  1.002828E-30
     75  1.778618195039E-03  1.021214E-30  1.001959E-30  1.000156E-30  1.009514E-30  1.009954E-30  1.016661E-30  1.058828E-30  1.003077E-30
     76  1.835303663832E-03  1.021922E-30  1.002045E-30  1.000186E-30  1.009870E-30  1.010353E-30  1.017320E-30  1.060723E-30  1.003336E-30
     77  1.892344396716E-03  1.022635E-30  1.002133E-30  1.000218E-30  1.010231E-30  1.010761E-30  1.017992E-30  1.062630E-30  1.003608E-30
