 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                mg31          mg32          mg33          mg34          mg35          mg36          mg37          al22 
     66  1.284679788904E-03  1.053801E-30  1.056811E-30  1.099605E-30  1.114806E-30  1.000000E-30  1.000000E-30  1.001053E-30  1.022987E-30
     67  1.338068714676E-03  1.056262E-30  1.059159E-30  1.103723E-30  1.119467E-30  1.000000E-30  1.000000E-30  1.001067E-30  1.023939E-30
     68  1.391852718980E-03  1.058758E-30  1.061524E-30  1.107870E-30  1.124154E-30  1.000000E-30  1.000000E-30  1.001080E-30  1.024897E-30
     69  1.446014888479E-03  1.061290E-30  1.063904E-30  1.112044E-30  1.128866E-30  1.000000E-30  1.000000E-30  1.001091E-30  1.025862E-30
     70  1.500546342624E-03  1.063857E-30  1.066300E-30  1.116245E-30  1.133600E-30  1.000000E-30  1.000000E-30  1.001102E-30  1.026833E-30
     71  1.555442065896E-03  1.066460E-30  1.068710E-30  1.120473E-30  1.138357E-30  1.000000E-30  1.000000E-30  1.001112E-30  1.027810E-30
     72  1.610698967280E-03  1.069099E-30  1.071135E-30  1.124726E-30  1.143136E-30  1.000000E-30  1.000000E-30  1.001121E-30  1.028793E-30
     73  1.666314948699E-03  1.071773E-30  1.073575E-30  1.129005E-30  1.147937E-30  1.000000E-30  1.000000E-30  1.001130E-30  1.029782E-30
     74  1.722288445659E-03  1.074484E-30  1.076029E-30  1.133310E-30  1.152760E-30  1.000000E-30  1.000000E-30  1.001138E-30  1.030778E-30
     75  1.778618195039E-03  1.077231E-30  1.078498E-30  1.137641E-30  1.157604E-30  1.000000E-30  1.000000E-30  1.001146E-30  1.031779E-30
     76  1.835303663832E-03  1.080014E-30  1.080981E-30  1.141997E-30  1.162469E-30  1.000000E-30  1.000000E-30  1.001153E-30  1.032786E-30
     77  1.892344396716E-03  1.082835E-30  1.083479E-30  1.146378E-30  1.167355E-30  1.000000E-30  1.000000E-30  1.001159E-30  1.033799E-30
     78  1.949739812628E-03  1.085693E-30  1.085991E-30  1.150785E-30  1.172261E-30  1.000000E-30  1.000000E-30  1.001165E-30  1.034819E-30
     79  2.007489276907E-03  1.088588E-30  1.088517E-30  1.155216E-30  1.177188E-30  1.000000E-30  1.000000E-30  1.001171E-30  1.035844E-30
     80  2.065592139419E-03  1.091521E-30  1.091058E-30  1.159673E-30  1.182135E-30  1.000000E-30  1.000000E-30  1.001175E-30  1.036875E-30
     81  2.124047755162E-03  1.094493E-30  1.093613E-30  1.164156E-30  1.187102E-30  1.000000E-30  1.000000E-30  1.001179E-30  1.037912E-30
     82  2.182855495215E-03  1.097503E-30  1.096182E-30  1.168663E-30  1.192089E-30  1.000000E-30  1.000000E-30  1.001183E-30  1.038955E-30
