 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                po232         po233         po234         po235         po236         po237         at211         neut 
     77  1.892344396716E-03  1.009065E-30  1.008360E-30  1.008858E-30  1.012541E-30  1.019620E-30  1.019104E-30  1.000000E-30  4.999848E-07
     78  1.949739812628E-03  1.009341E-30  1.008614E-30  1.009128E-30  1.012925E-30  1.020218E-30  1.019689E-30  1.000000E-30  4.999848E-07
     79  2.007489276907E-03  1.009619E-30  1.008870E-30  1.009400E-30  1.013312E-30  1.020821E-30  1.020279E-30  1.000000E-30  4.999848E-07
     80  2.065592139419E-03  1.009898E-30  1.009128E-30  1.009674E-30  1.013701E-30  1.021428E-30  1.020872E-30  1.000000E-30  4.999848E-07
     81  2.124047755162E-03  1.010179E-30  1.009387E-30  1.009950E-30  1.014093E-30  1.022038E-30  1.021469E-30  1.000000E-30  4.999848E-07
     82  2.182855495215E-03  1.010461E-30  1.009648E-30  1.010228E-30  1.014487E-30  1.022653E-30  1.022070E-30  1.000000E-30  4.999848E-07
     83  2.242014752368E-03  1.010746E-30  1.009911E-30  1.010507E-30  1.014884E-30  1.023271E-30  1.022675E-30  1.000000E-30  4.999848E-07
     84  2.301524943777E-03  1.011032E-30  1.010175E-30  1.010788E-30  1.015283E-30  1.023894E-30  1.023284E-30  1.000000E-30  4.999848E-07
     85  2.361385511936E-03  1.011320E-30  1.010441E-30  1.011071E-30  1.015686E-30  1.024520E-30  1.023898E-30  1.000000E-30  4.999848E-07
     86  2.421595924701E-03  1.011609E-30  1.010708E-30  1.011356E-30  1.016090E-30  1.025150E-30  1.024515E-30  1.000000E-30  4.999848E-07
     87  2.482155674804E-03  1.011900E-30  1.010977E-30  1.011642E-30  1.016497E-30  1.025784E-30  1.025136E-30  1.000000E-30  4.999848E-07
     88  2.543064279071E-03  1.012194E-30  1.011248E-30  1.011930E-30  1.016907E-30  1.026422E-30  1.025761E-30  1.000000E-30  4.999848E-07
     89  2.604321277494E-03  1.012488E-30  1.011520E-30  1.012220E-30  1.017320E-30  1.027064E-30  1.026389E-30  1.000000E-30  4.999848E-07
     90  2.665926232237E-03  1.012785E-30  1.011794E-30  1.012512E-30  1.017735E-30  1.027710E-30  1.027022E-30  1.000000E-30  4.999848E-07
     91  2.727878734382E-03  1.013083E-30  1.012069E-30  1.012805E-30  1.018152E-30  1.028359E-30  1.027659E-30  1.000000E-30  4.999848E-07
     92  2.790178404165E-03  1.013383E-30  1.012346E-30  1.013101E-30  1.018572E-30  1.029013E-30  1.028300E-30  1.000000E-30  4.999848E-07
     93  2.852824875480E-03  1.013685E-30  1.012625E-30  1.013398E-30  1.018995E-30  1.029670E-30  1.028945E-30  1.000000E-30  4.999848E-07
     94  2.915817796872E-03  1.013988E-30  1.012905E-30  1.013696E-30  1.019420E-30  1.030332E-30  1.029594E-30  1.000000E-30  4.999848E-07
