 *                                      
 * hydrostatic:  btemp=  1.000E+04 bden=  1.000E+02
 *          time                zr116         zr117         zr118         zr119         zr120         zr121         zr122         nb80 
     80  2.065592139419E-03  1.154738E-30  1.228045E-30  1.226892E-30  1.258054E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     81  2.124047755162E-03  1.158863E-30  1.234121E-30  1.232826E-30  1.264747E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     82  2.182855495215E-03  1.163000E-30  1.240214E-30  1.238770E-30  1.271449E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     83  2.242014752368E-03  1.167148E-30  1.246322E-30  1.244724E-30  1.278159E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     84  2.301524943777E-03  1.171306E-30  1.252447E-30  1.250687E-30  1.284877E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     85  2.361385511936E-03  1.175475E-30  1.258586E-30  1.256659E-30  1.291601E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     86  2.421595924701E-03  1.179655E-30  1.264741E-30  1.262639E-30  1.298332E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     87  2.482155674804E-03  1.183845E-30  1.270911E-30  1.268628E-30  1.305069E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     88  2.543064279071E-03  1.188044E-30  1.277094E-30  1.274624E-30  1.311811E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     89  2.604321277494E-03  1.192254E-30  1.283292E-30  1.280627E-30  1.318559E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     90  2.665926232237E-03  1.196472E-30  1.289504E-30  1.286638E-30  1.325311E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     91  2.727878734382E-03  1.200700E-30  1.295729E-30  1.292655E-30  1.332068E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     92  2.790178404165E-03  1.204937E-30  1.301967E-30  1.298678E-30  1.338828E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     93  2.852824875480E-03  1.209183E-30  1.308218E-30  1.304707E-30  1.345592E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     94  2.915817796872E-03  1.213437E-30  1.314481E-30  1.310742E-30  1.352359E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
     95  2.979156831833E-03  1.217700E-30  1.320756E-30  1.316782E-30  1.359128E-30  1.000000E-30  1.000000E-30  1.000000E-30  1.000000E-30
